id,sku,nombre,codigo_barras,principio_activo,presentacion,tipo_ficha,clave_monografia,fuente_texto,estado
429,FC-62746612,Ajolotius Jarabe Sin azucar,7500462746612,Mezcla Herbal con vitamina C yA,250 mL,suplemento_o_natural,,fabricante,pendiente
793,FC-75710113,Alu-Mag suspensión hidróxido de aluminio/magnesio 3.70/4.00 g,7501075710113,,Frasco 240 mL con vaso dosificador,revisar_clasificacion,,fabricante,pendiente
906,EQ-AMS472,Citalopram 14 Tab 20 Mg,7501349024922,Citalopram,Caja con 14 tabletas,medicamento,citalopram,instructivo,pendiente
579,FC-06237407,Shampoo Sedal Ceramidas,7506306237407,Surfactantes / formula capilar,190 mL,cuidado_personal_o_material,,fabricante,pendiente
794,FC-36000828,Argental (Sulfadiazina de plata) crema 1%,7501836000828,Sulfadiazina de plata,Tubo 28 g,medicamento,sulfadiazina de plata,instructivo,pendiente
903,EQ-BEA342,Dexametasona 20 Tab 0.5 Mg,7501342803418,Dexametasona,Caja con 20 tabletas,medicamento,dexametasona,instructivo,pendiente
99,FC-1FFBB505,Supratex levodropropizina jarabe 120 mL,785118754242,Levodropropizina 600 mg/100 mL,Frasco 120 mL + vaso,medicamento,levodropropizina,instructivo,pendiente
1122,FC-09749421,Dexpantenol crema 5% 30 g (Maver Tattoo),7502009749421,Dexpantenol 5%,Caja con tubo 30 g,medicamento,dexpantenol 5%,instructivo,pendiente
796,FC-01166578,Baby Son's pomada dexpantenol 5 g/100 g,7502001166578,,Tubo 30 g,revisar_clasificacion,,fabricante,pendiente
898,EQ-BEA379,Espironolactona 20 Tab 25mg,7501342803814,Espironolactona,Caja con 20 tabletas,medicamento,espironolactona,instructivo,pendiente
911,EQ-BRU016,Brulin (Dexametasona) 3 Fa 8mg/2 Ml,7501537102586,Dexametasona,Caja con 3 ampolletas,medicamento,dexametasona,instructivo,pendiente
885,EQ-COL120,Collicort 1 Cma 1% 60 G,780083142537,Hidrocortisona,Tubo 60 g,medicamento,hidrocortisona,instructivo,pendiente
890,EQ-MAI078,Urezol 20 Tab 100 Mg,785118752477,Fenazopiridina,Caja con 20 tabletas,medicamento,fenazopiridina,instructivo,pendiente
428,FC-52400267,Ajolotius Jarabe Elderberry,7506452400267,Mezcla Herbal y vitaminas C y A,250mL,suplemento_o_natural,,fabricante,pendiente
884,EQ-MAI099,Hidroxin 30 Tab 10 Mg,785120754681,Hidroxizina,Caja con 30 tabletas,medicamento,hidroxizina,instructivo,pendiente
900,EQ-MAV236,Ideliver Pro 14 Tab 60 Mg,7502009745478,Duloxetina,Caja con 14 tabletas,medicamento,duloxetina,instructivo,pendiente
888,EQ-MAV311,Exicort 7 Comp 120 Mg,7502009746499,Etoricoxib,Caja con 7,medicamento,etoricoxib,instructivo,pendiente
798,FC-86100158,Benvia Infantil (Dimenhidrinato) 250 mg/100 mL,7506386100158,Dimenhidrinato,Frasco 120 mL con vaso dosificador,medicamento,dimenhidrinato,instructivo,pendiente
799,FC-25304555,Braxigort (Nifuroxazida) suspensión 4.4 g/100 mL,7501825304555,Nifuroxazida,Frasco 90 mL con vasito,medicamento,nifuroxazida,instructivo,pendiente
910,EQ-QUM043,Histapharm 10 Tab 5 Mg,7502223112346,Desloratadina,Caja con 10 tabletas,medicamento,desloratadina,instructivo,pendiente
912,EQ-MAV320,Cariden 10 Tab 30 Mg,7502009746734,Deflazacort,Caja con 10 tabletas,medicamento,deflazacort,instructivo,pendiente
