sku,ean,codigo,nombre,marca,presentacion,concentracion,forma,categoria,subcategoria,costo,imagen_url,foto_pendiente
FC-08135297,,6474,A-Cuts Artic Orange,Allmax,210 g,,,Suplemento,Deportiva,289,,1
FC-53226590,665553226590,7341,A-Cuts Blue Raspberry,Allmax,210 g,,,Suplemento,Deportiva,289,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553226590.jpg?alt=media&token=12319c70-e0fe-4dc3-8443-0f374bf29409,0
FC-53227306,665553227306,8921,A-Cuts Cotton Candy,Allmax,210 g,,,Suplemento,Deportiva,289,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553227306.jpg?alt=media&token=a995b5d9-840a-4ede-9fd6-e53bc6dff3e7,0
FC-53226828,665553226828,7342,A-Cuts Grape,Allmax,210 g,,,Suplemento,Deportiva,289,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553226828.jpg?alt=media&token=37392ecf-4dcc-4b0e-a450-8b36a0a2ed65,0
FC-70678707,,7343,A-Cuts Watermelon,Allmax,210 g,,,Suplemento,Deportiva,289,,1
FC-96228710,,6332,All Whey Classic Chocolate,Allmax,5 lb,,Polvo,Suplemento,Proteína,1233,,1
FC-53228600,665553228600,14244,Amino Core Blue Raspberry,Allmax,30 servicios,,,Suplemento,Deportiva,365,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553228600.jpg?alt=media&token=f85c5dea-5760-44e4-a1fc-0e2ef27faa43,0
FC-53228662,665553228662,15441,Amino Core Watermelon,Allmax,30 servicios,,,Suplemento,Deportiva,365,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553228662.jpg?alt=media&token=f4eddea5-0ca7-47d3-bf8b-910bc162bf20,0
FC-92098625,,14248,Arginine,Allmax,400 g,,,Suplemento,Deportiva,363,,1
FC-75321006,,14249,Beta Alanine,Allmax,400 g,,,Suplemento,Deportiva,315,,1
FC-21805361,,10723,Caffeine 200 mg,Allmax,100 piezas,200 mg,,Suplemento,Deportiva,185,,1
FC-85953843,,19807,Creatine Unflavored,Allmax,400 g,,,Suplemento,Deportiva,385,,1
FC-62303636,,25250,Digestive Enzymes,Allmax,90 piezas,,,Suplemento,Deportiva,402,,1
FC-53121154,665553121154,9660,Isoflex Chocolate,Allmax,5 lb,,,Suplemento,Proteína,1673,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121154.jpg?alt=media&token=57d78886-b65f-433b-b4b4-e3d84451bd21,0
FC-53121758,665553121758,9819,Isoflex Chocolate Peanut Butter,Allmax,5 lb,,,Suplemento,Proteína,1673,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121758.jpg?alt=media&token=efdefbdb-7d2e-491e-b6cb-cf7259fa3c6f,0
FC-53225234,665553225234,9661,Isoflex Cookies & Cream,Allmax,5 lb,,,Suplemento,Proteína,1673,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553225234.jpg?alt=media&token=a5711b64-01ab-43d3-a8cd-5d8ab1c210ab,0
FC-44373875,,9662,Isoflex Strawberry,Allmax,5 lb,,,Suplemento,Proteína,1673,,1
FC-53121253,665553121253,9663,Isoflex Vainilla,Allmax,5 lb,,,Suplemento,Proteína,1673,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121253.jpg?alt=media&token=7abc1379-a7dd-4a6e-8af1-711a13e49c12,0
FC-49726260,,10481,L-Citrulline Malate,Allmax,150 servicios · 300 g,,,Suplemento,Deportiva,362,,1
FC-67434222,,7959,Leucine,Allmax,400 g,,,Suplemento,Deportiva,364,,1
FC-27434586,,26954,Lions Mane,Allmax,60 piezas,,,Suplemento,Deportiva,316,,1
FC-17135951,,24784,N-Acetyl Cysteine NAC,Allmax,60 cápsulas,,Cápsulas,Suplemento,Deportiva,279,,1
FC-79081255,,25251,Omega 3,Allmax,180 piezas,,,Vitaminas,Vitaminas,293,,1
FC-22874646,,17213,Yohimbine,Allmax,60 piezas,,,Suplemento,Deportiva,244,,1
FC-56740533,,29370,Ashwagandha + L-Teanina 600 mg,Armada,90 cápsulas,600 mg,Cápsulas,Suplemento,Deportiva,275,,1
FC-39962914,,29371,Citrato de Magnesio 1000 mg,Armada,100 cápsulas,1000 mg,Cápsulas,Vitaminas,Vitaminas,255,,1
FC-07280215,,27842,Creatina,Armada,500 g,,,Suplemento,Deportiva,416,,1
FC-23185295,,29372,Trimag 1000 mg,Armada,100 cápsulas,1000 mg,Cápsulas,Suplemento,Deportiva,269,,1
FC-75867244,,22691,BCAA y Glutamina Fresa,Birdman,405 g,,Polvo,Suplemento,Deportiva,501,,1
FC-26200101,,22692,BCAA y Glutamina Mora Limon,Birdman,405 g,,Polvo,Suplemento,Deportiva,501,,1
FC-72457748,,23641,Creatina Monohidratada,Birdman,450 g,,,Suplemento,Deportiva,453,,1
FC-96644116,,29030,Creatine Electolyte Refresher Golden Peach,Birdman,300 g,,,Suplemento,Deportiva,400,,1
FC-13421735,,29031,Creatine Electolyte Refresher Lemon Twist,Birdman,300 g,,,Suplemento,Deportiva,400,,1
FC-30199354,,29032,Creatine Electolyte Refresher Pink Lemonade,Birdman,300 g,,,Suplemento,Deportiva,400,,1
FC-12608926,,29043,Creatine Electolyte Refresher Watermelon Splash,Birdman,300 g,,,Suplemento,Deportiva,400,,1
FC-09422482,,22693,Falcon Bag Chocolate,Birdman,1.8 kg,,,Suplemento,Deportiva,1190,,1
FC-99143511,,22786,Falcon Bag Vainilla,Birdman,1.8 kg,,,Suplemento,Deportiva,1347,,1
FC-25534387,,22694,Falcon Performance Bag Choco Bronze,Birdman,1.9 kg,,,Suplemento,Deportiva,1184,,1
FC-08756768,,22695,Falcon Performance Bag g Vainilla Golden,Birdman,1.9 kg,,,Suplemento,Deportiva,1184,,1
FC-94979737,,24939,Fitmingo Blueberry,Birdman,1020 g,,,Suplemento,Deportiva,861,,1
FC-45139665,,24940,Fitmingo Moka,Birdman,1020 g,,,Suplemento,Deportiva,861,,1
FC-18939265,,23291,Toalla de Secado Rapido Negra,Birdman,,,,Suplemento,Accesorios,135,,1
FC-25106691,,3273,1.M.R. Vortex Fruit Punch,BPI,50 servicios,,,Suplemento,Deportiva,269,,1
FC-44117132,,8332,1.M.R. Vortex Blue Razz,BPI,50 servicios,,,Suplemento,Deportiva,269,,1
FC-90355501,,27853,Beast EAA Sour Power,BPI,30 servicios,,,Suplemento,Deportiva,395,,1
FC-13022808,811213022808,11639,Best Amino Fruit Punch,BPI,25 servicios,,,Suplemento,Deportiva,278,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213022808.jpg?alt=media&token=768c6928-6a88-469b-b532-54778503f7d1,0
FC-13024857,811213024857,6100,Best BCAA Blue Raspberry,BPI,30 servicios · 300 g,,Polvo,Suplemento,Deportiva,276,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F811213024857.jpg?alt=media&token=c6be0381-fd60-45ca-82c1-959d5e5f488a,0
