sku_birdman,sku_fc,ean,imagen_url,nombre,nota
PRSH20AZUL,FC-21752837,7503025737195,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/SHAKER_ad533ad7-b769-4ffb-9bd8-e60215c1e00a.png?v=1721258396,Botella Shaker Birdman Azul,
PRSH20NEGR,FC-08530091,,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Shaker_NEGRO_sin_sombra.webp?v=1752693738,Botella Shaker Birdman Negro,sin_ean
PRSH20ROSA,FC-53534244,,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Shaker_ROSA_sin_sombra.webp?v=1752693368,Botella Shaker Birdman Rosa,sin_ean
PRTOSRGRIS,FC-39149283,7503037273247,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/ToallaMicrofibra.png?v=1721258396,Toalla Birdman Secado Rápido - Gris,
PRTOSRNEGR,FC-41351362,7503037273230,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/ToallaMicrofibra.png?v=1721258396,Toalla Birdman Secado Rápido - Negra,
PROALM,FC-59627477,7503025737577,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/HarinaAlmendras_Front.png?v=1721258397,Harina de Almendras 1 kg,
LIN500,FC-50020942,7503025737508,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Linaza_Front.png?v=1721258397,Linaza Molida 500 gr,
SP360,FC-32052266,7503025737560,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Spirulina_Front.png?v=1721258399,Spirulina En Polvo 360 g,
BVAL946,FC-53935550,7503025737478,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-almendra-6-pack-946-ml-29670778863703.png?v=1721258396,Bebida Plant Based Almendra 946 ml,
BVCH946,FC-22161396,7503025737485,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-chocolate-6-pack-946-ml-29670783713367.png?v=1721258397,Bebida Plant Based Chocolate 946 ml,
BVLI946,FC-01408792,7503025737669,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-light-6-pack-946-ml-29670794395735.png?v=1721258397,Bebida Plant Based Light 946 ml,
BVEN946,FC-77665700,7503025737492,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-original-6-pack-946-ml-29670806323287.png?v=1721258397,Bebida Plant Based Original 946 ml,
BCAGFR405,FC-84453698,7503025737584,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BCAAS_FRESA_b135afaf-1189-4528-9278-ace779491df9.png?v=1721258396,BCAAs & Glutamina 405 g - Fresa,
BCAGML405,FC-28049265,7503025737591,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BCAAS_FRESA_b135afaf-1189-4528-9278-ace779491df9.png?v=1721258396,BCAAs & Glutamina 405 g - Mora - Limón,
CREATINA450,FC-41583926,7503025737355,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/450_CREATINA_1c799b80-8b3c-4e81-8ec5-e5e55603fe69.png?v=1721258396,Creatina Monohidratada 450 g - 90 Servicios,
CREACAP125,FC-96950585,7503053835191,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Creatine_Capsules_125_ES_01_2.png?v=1752256516,Creatina Monohidratada en Cápsulas - 25 Porciones - 125 Cápsulas,
CREACAP250,FC-03483196,7503053835214,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Creatine_Capsules_250_ES_01_2.png?v=1752255690,Creatina Monohidratada en Cápsulas - 50 Porciones - 250 Cápsulas,
CRDU300,FC-44992467,7503037273940,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/GoldenPeach1.webp?v=1744142221,Creatine Electrolyte Refresher - Golden Peach - 30 Porciones,
CRLI300,FC-35707855,7503037273926,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Limon_3aa533c7-70a8-4b1e-ad8c-007f83ccf59b.webp?v=1744140547,Creatine Electrolyte Refresher - Lemon Twist - 30 Porciones,
