sku,nombre,marca,linea,categoria,variante,descripcion,imagen_url,peso_g,disponible_proveedor,rank_mas_vendidos,pvp_sugerido_marca,costo_base_25,costo_15k,costo_30k,costo_60k,precio_publico_sugerido,precio_minimo,margen_pct_costo_base,margen_pct_costo_30k,utilidad_costo_base,utilidad_costo_30k
PRSH20AZUL,Botella Shaker Birdman Azul,Birdman,Accesorios,Accesorios,,"La Botella Shaker Birdman es esencial para tus bebidas deportivas y nutritivas. Con 600 ml de capacidad, disfrutarás de batidos suaves y sin grumos gracias a su diseño eficiente.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/SHAKER_ad533ad7-b769-4ffb-9bd8-e60215c1e00a.png,0,1,9,230.0,172.5,163.87,155.25,146.62,229,199,24.7,32.2,56.5,73.75
PRSH20NEGR,Botella Shaker Birdman Negro,Birdman,Accesorios,Accesorios,,"La Botella Shaker Birdman es esencial para tus bebidas deportivas y nutritivas. Con 600 ml de capacidad, disfrutarás de batidos suaves y sin grumos gracias a su diseño eficiente.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Shaker_NEGRO_sin_sombra.webp,0,0,32,230.0,172.5,163.87,155.25,146.62,229,199,24.7,32.2,56.5,73.75
PRSH20ROSA,Botella Shaker Birdman Rosa,Birdman,Accesorios,Accesorios,,"La Botella Shaker Birdman es esencial para tus bebidas deportivas y nutritivas. Con 600 ml de capacidad, disfrutarás de batidos suaves y sin grumos gracias a su diseño eficiente.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Shaker_ROSA_sin_sombra.webp,0,1,14,230.0,172.5,163.87,155.25,146.62,229,199,24.7,32.2,56.5,73.75
PlayeraNegraHombreGrande,Playera Distribuidor Autorizado Hombre - L,Birdman,Accesorios,Accesorios,L,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraHombreMediana,Playera Distribuidor Autorizado Hombre - M,Birdman,Accesorios,Accesorios,M,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,0,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraHombreChica,Playera Distribuidor Autorizado Hombre - S,Birdman,Accesorios,Accesorios,S,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraHombreExtraGrande,Playera Distribuidor Autorizado Hombre - XL,Birdman,Accesorios,Accesorios,XL,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraMujerGrande,Playera Distribuidor Autorizado Mujer - L,Birdman,Accesorios,Accesorios,L,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraMujerMediana,Playera Distribuidor Autorizado Mujer - M,Birdman,Accesorios,Accesorios,M,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraMujerChica,Playera Distribuidor Autorizado Mujer - S,Birdman,Accesorios,Accesorios,S,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PlayeraNegraMujerExtraGrande,Playera Distribuidor Autorizado Mujer - XL,Birdman,Accesorios,Accesorios,XL,Producto oficial Birdman.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BlueWhiteModernElectronicProductListingAmazonProductImage.png,200,1,,299.0,224.25,213.04,201.83,190.61,299,258,25.0,32.5,74.75,97.17
PRTOSRGRIS,Toalla Birdman Secado Rápido - Gris,Birdman,Accesorios,Accesorios,Gris,"Toalla de secado rápido Birdman, fabricada en microfibra de alta calidad. Tamaño 60 x 39 cm, ideal para tu estilo de vida activo.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/ToallaMicrofibra.png,0,0,,279.0,209.25,198.79,188.33,177.86,279,241,25.0,32.5,69.75,90.67
PRTOSRNEGR,Toalla Birdman Secado Rápido - Negra,Birdman,Accesorios,Accesorios,Negra,"Toalla de secado rápido Birdman, fabricada en microfibra de alta calidad. Tamaño 60 x 39 cm, ideal para tu estilo de vida activo.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/ToallaMicrofibra.png,0,0,,279.0,209.25,198.79,188.33,177.86,279,241,25.0,32.5,69.75,90.67
PROALM,Harina de Almendras 1 kg,Birdman,Essentials,Alimentos,,"Harina de Almendras Birdman, el ingrediente perfecto para tus recetas más creativas.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/HarinaAlmendras_Front.png,0,1,,399.0,299.25,284.29,269.33,254.36,379,345,21.0,28.9,79.75,109.67
LIN500,Linaza Molida 500 gr,Birdman,Essentials,Alimentos,,"Linaza Molida en Frío Birdman, un superalimento esencial para tu bienestar diario.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Linaza_Front.png,0,1,,179.0,134.25,127.54,120.83,114.11,169,155,20.6,28.5,34.75,48.17
SP360,Spirulina En Polvo 360 g,Birdman,Essentials,Alimentos,,Spirulina en Polvo Birdman: superalimento con una riqueza excepcional en nutrientes.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Spirulina_Front.png,0,1,,449.0,336.75,319.91,303.08,286.24,429,388,21.5,29.4,92.25,125.92
BVAL946,Bebida Plant Based Almendra 946 ml,Birdman,Alimento Liquido,Bebidas,,"Las bebidas vegetales Birdman están hechas a base de proteína de chícharo. Reemplazo saludable y sustentable para la leche convencional, con cero azúcar, altas en proteína y bajas en calorías.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-almendra-6-pack-946-ml-29670778863703.png,0,0,25,44.0,33.0,31.35,29.7,28.05,39,38,15.4,23.8,6.0,9.3
BVCH946,Bebida Plant Based Chocolate 946 ml,Birdman,Alimento Liquido,Bebidas,,"Las bebidas vegetales Birdman están hechas a base de proteína de chícharo. Reemplazo saludable y sustentable para la leche convencional, con cero azúcar, altas en proteína y bajas en calorías.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-chocolate-6-pack-946-ml-29670783713367.png,0,1,18,44.0,33.0,31.35,29.7,28.05,39,38,15.4,23.8,6.0,9.3
BVLI946,Bebida Plant Based Light 946 ml,Birdman,Alimento Liquido,Bebidas,,"Las bebidas vegetales Birdman están hechas a base de proteína de chícharo. Reemplazo saludable y sustentable para la leche convencional, con cero azúcar, altas en proteína y bajas en calorías.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-light-6-pack-946-ml-29670794395735.png,0,0,36,44.0,33.0,31.35,29.7,28.05,39,38,15.4,23.8,6.0,9.3
BVEN946,Bebida Plant Based Original 946 ml,Birdman,Alimento Liquido,Bebidas,,"Las bebidas vegetales Birdman están hechas a base de proteína de chícharo. Reemplazo saludable y sustentable para la leche convencional, con cero azúcar, altas en proteína y bajas en calorías.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/birdman-alimento-liquido-bebida-plant-based-original-6-pack-946-ml-29670806323287.png,0,1,,44.0,33.0,31.35,29.7,28.05,39,38,15.4,23.8,6.0,9.3
BCAGFR405,BCAAs & Glutamina 405 g - Fresa,Birdman,Performance,Performance,Fresa,BCAAs y Glutamina formulados con aminoácidos de origen 100% vegetal producidos por fermentación y libres de organismos genéticamente modificados.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BCAAS_FRESA_b135afaf-1189-4528-9278-ace779491df9.png,0,1,6,639.0,479.25,455.29,431.33,407.36,579,552,17.2,25.5,99.75,147.67
BCAGML405,BCAAs & Glutamina 405 g - Mora - Limón,Birdman,Performance,Performance,Mora - Limón,BCAAs y Glutamina formulados con aminoácidos de origen 100% vegetal producidos por fermentación y libres de organismos genéticamente modificados.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/BCAAS_FRESA_b135afaf-1189-4528-9278-ace779491df9.png,0,1,6,639.0,479.25,455.29,431.33,407.36,579,552,17.2,25.5,99.75,147.67
CREATINA450,Creatina Monohidratada 450 g - 90 Servicios,Birdman,Performance,Performance,,"Creatina Monohidratada micronizada y de alta pureza, para complementar tu rutina diaria y apoyarte a alcanzar tus metas.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/450_CREATINA_1c799b80-8b3c-4e81-8ec5-e5e55603fe69.png,0,1,1,559.0,419.25,398.29,377.33,356.36,499,483,16.0,24.4,79.75,121.67
CREACAP125,Creatina Monohidratada en Cápsulas - 25 Porciones - 125 Cápsulas,Birdman,Performance,Performance,,Creatina Monohidratada en cápsulas: la forma más conveniente de incorporar creatina pura a tu rutina diaria. Frasco con 125 cápsulas de creatina micronizada de alta pureza.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Creatine_Capsules_125_ES_01_2.png,125,1,29,399.0,299.25,284.29,269.33,254.36,359,345,16.6,25.0,59.75,89.67
CREACAP250,Creatina Monohidratada en Cápsulas - 50 Porciones - 250 Cápsulas,Birdman,Performance,Performance,,Creatina Monohidratada en cápsulas: la forma más conveniente de incorporar creatina pura a tu rutina diaria. Frasco con 250 cápsulas de creatina micronizada de alta pureza.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Creatine_Capsules_250_ES_01_2.png,0,1,,699.0,524.25,498.04,471.83,445.61,629,603,16.7,25.0,104.75,157.17
CRDU300,Creatine Electrolyte Refresher - Golden Peach - 30 Porciones,Birdman,Performance,Performance,,Creatine Electrolyte Refresher combina 5 g de creatina monohidratada pura por porción con una mezcla de electrolitos esenciales y glicinato de magnesio.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/GoldenPeach1.webp,300,1,7,479.0,359.25,341.29,323.33,305.36,429,414,16.3,24.6,69.75,105.67
CRLI300,Creatine Electrolyte Refresher - Lemon Twist - 30 Porciones,Birdman,Performance,Performance,,Creatine Electrolyte Refresher combina 5 g de creatina monohidratada pura por porción con una mezcla de electrolitos esenciales y glicinato de magnesio.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Limon_3aa533c7-70a8-4b1e-ad8c-007f83ccf59b.webp,300,1,4,479.0,359.25,341.29,323.33,305.36,429,414,16.3,24.6,69.75,105.67
CRPL300,Creatine Electrolyte Refresher - Pink Lemonade - 30 Porciones,Birdman,Performance,Performance,,Creatine Electrolyte Refresher combina 5 g de creatina monohidratada pura por porción con una mezcla de electrolitos esenciales y glicinato de magnesio.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/pinklemonade1.webp,300,1,3,479.0,359.25,341.29,323.33,305.36,429,414,16.3,24.6,69.75,105.67
CRSA300,Creatine Electrolyte Refresher - Watermelon Splash - 30 Porciones,Birdman,Performance,Performance,,Creatine Electrolyte Refresher combina 5 g de creatina monohidratada pura por porción con una mezcla de electrolitos esenciales y glicinato de magnesio.,https://cdn.shopify.com/s/files/1/0703/1180/5166/files/Watermelon_Splash_1.webp,300,1,5,479.0,359.25,341.29,323.33,305.36,429,414,16.3,24.6,69.75,105.67
CWPL348,Creatine for Women - Sabor Pink Lemonade - 40 Porciones,Birdman,Performance,Performance,,"Fórmula en polvo con creatina monohidratada, inositoles, vitaminas y minerales, diseñada para integrarse fácilmente en la rutina diaria de la mujer activa.",https://cdn.shopify.com/s/files/1/0703/1180/5166/files/PL_Creatine_for_Women_348_01_1.png,348,1,11,599.0,449.25,426.79,404.33,381.86,539,517,16.7,25.0,89.75,134.67
