sku,nombre,marca,categoria,subcategoria,costo_proveedor,costo_landed,pvp_referencia,precio_m35,precio_m45,precio_m55,precio_sugerido,margen_sugerido_pct,margen_si_vendes_a_lista_pct,semaforo,prioridad,disponible_proveedor,imagen_url,url_proveedor,proveedor
3337875902823,Vichy Dercos Energy+ Shampoo Estimulante Anticaída Refill 400 ml,Vichy,Capilar,Capilares,799,830.96,1029,1279,1519,1849,1039,20.02,19.25,ROJO,C,0,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_2_2.avif,https://www.dermaexpress.com.mx/products/vichy-dercos-energy-shampoo-estimulante-anticaida-refill-400-ml,Dermaexpress
3337871322243,Vichy Dercos Estimulante Shampoo 400 ml,Vichy,Capilar,Capilares,999,1038.96,1029,1599,1889,2309,1299,20.02,-0.97,ROJO,C,0,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_1_5aa427f8-9b5e-4995-a3ad-85e3e9aecdda.avif,https://www.dermaexpress.com.mx/products/vichy-dercos-estimulante-shampoo-400-ml,Dermaexpress
3337875952804,CeraVe Limpiador Tono Uniforme Vitamina C 236 ml,Cerave,Rostro,Rostro y cuello,459,477.36,549,739,869,1069,599,20.31,13.05,ROJO,C,0,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_6.avif,https://www.dermaexpress.com.mx/products/cerave-limpiador-tono-uniforme-vitamina-c-236-ml,Dermaexpress
3282771000787,Ducray Kelual DS Intensive Spray Calmante Anticaspa 100 ml,Ducray,Capilar,Capilares,619,643.76,0,999,1179,1439,1179,45.4,0,SIN_REF,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_3_5c11f172-4936-47a0-b99b-0aebfdf854ff.avif,https://www.dermaexpress.com.mx/products/ducray-kelual-ds-intensive-spray-calmante-anticaspa-100-ml,Dermaexpress
3282770395990,Avène DermAbsolu Crema de Noche Reafirmante 40 ml,Avene,Rostro,ROSTRO,1160,1206.4,1450,1859,2199,2689,1509,20.05,16.8,ROJO,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770395990_1.avif,https://www.dermaexpress.com.mx/products/avene-dermabsolu-crema-de-noche-reafirmante-40-ml,Dermaexpress
7502273211037,Seasons Crema Hidratante Antiedad Orquídea + Ácido Hialurónico 45 g,seasons,Rostro,ROSTRO,1299,1350.96,0,2079,2459,3009,2459,45.06,0,SIN_REF,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ORQ1037_SEASONS_HIDRATANTES_CREMA_HIDRATANTE_ALTA_REPARACION_ORQUIDEA_ACIDO_HIALURONICO_1.jpg,https://www.dermaexpress.com.mx/products/seasons-crema-hidratante-antiedad-orquidea-acido-hialuronico-45-g,Dermaexpress
8470002146549,Cantabria Labs SKIN RESIST Velvet Cleanser Gel Limpiador y Desmaquillante para Piel Sensible 200 ml,Cantabria Labs,Rostro,ROSTRO,620,644.8,0,999,1179,1439,1179,45.31,0,SIN_REF,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_2_1.avif,https://www.dermaexpress.com.mx/products/cantabria-labs-skin-resist-velvet-cleanser-gel-limpiador-y-desmaquillante-para-piel-sensible-200-ml,Dermaexpress
8470002143050,Cantabria Labs SKIN RESIST Sensage Sérum Antiedad para Piel Sensible 30 ml,Cantabria Labs,Rostro,ROSTRO,1050,1092,0,1679,1989,2429,1989,45.1,0,SIN_REF,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_1_da74c9cb-a7e9-44fd-8a19-97849647df8b.avif,https://www.dermaexpress.com.mx/products/cantabria-labs-skin-resist-sensage-serum-antiedad-para-piel-sensible-30-ml,Dermaexpress
8470002143036,Cantabria Labs SKIN RESIST Daily Fluid Fluido Hidratante para Piel Sensible 50 ml,Cantabria Labs,Rostro,Rostro y cuello,995,1034.8,0,1599,1889,2299,1889,45.22,0,SIN_REF,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3_2_bd4cbdeb-c83b-45c8-ba06-a6875584b125.avif,https://www.dermaexpress.com.mx/products/cantabria-labs-skin-resist-daily-fluid-fluido-hidratante-para-piel-sensible-50-ml,Dermaexpress
8436574365481,BIRETIX ISOREPAIR BALM 10G,Cantabria Labs,Ojos y Labios,Ojos y labios,212,220.48,250,339,409,489,279,20.97,11.81,ROJO,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/2._20Cantabria_20Labs_201-12-25_0178_1.jpg,https://www.dermaexpress.com.mx/products/biretix-isorepair-balm-10g,Dermaexpress
3504105044855,Mustela Bálsamo Universal Multiusos 75 ml,MUSTELA,Cuerpo,Cuerpo,283,294.32,0,459,539,659,539,45.4,0,SIN_REF,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105037185_1_1.jpg,https://www.dermaexpress.com.mx/products/mustela-balsamo-universal-multiusos-75-ml,Dermaexpress
3504105044602,Mustela Cold Cream Loción Corporal Nutritiva 200 ml,MUSTELA,Capilar,Cabello,226,235.04,0,369,429,529,429,45.21,0,SIN_REF,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105035532_1_36405488-8822-4d6d-9821-db744803e1a9.jpg,https://www.dermaexpress.com.mx/products/mustela-cold-cream-locion-corporal-nutritiva-200-ml,Dermaexpress
3504105044640,Mustela Cold Cream Crema Emoliente Nutritiva 40 ml,MUSTELA,Cuerpo,Cuerpo,157,163.28,0,259,299,369,299,45.39,0,SIN_REF,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105035648_1_1.jpg,https://www.dermaexpress.com.mx/products/mustela-cold-cream-crema-emoliente-nutritiva-40-ml,Dermaexpress
8429420309883,Isdin Isdinceutics Flavo-C Intense 50 ml,Isdin,Protección Solar,Solares,1086.4,1129.86,1552,1739,2059,2519,1509,25.13,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/MX_4686_TH_ISDINCEUTICSFLAVO-CINTENSE50ML_MAIN_IMAGE_TEXTURE_0.jpg,https://www.dermaexpress.com.mx/products/isdin-isdinceutics-flavo-c-intense-50-ml,Dermaexpress
8429420271968,Isdin Isdinceutics MelaClear Advanced REFILL 30 ml,Isdin,Protección Solar,Solares,898.1,934.02,1283,1439,1699,2079,1249,25.22,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5_91fc4cf5-efe5-4b69-8a41-87bc793c0836.avif,https://www.dermaexpress.com.mx/products/isdin-isdinceutics-melaclear-advanced-refill-30-ml,Dermaexpress
8429420309845,Isdin Post Solar Aftersun Lotion 100 ml,Isdin,Protección Solar,Solares,195.3,203.11,279,319,369,459,279,27.2,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5_bec1b6d2-662d-46ad-8af4-5acdd40a83c5.avif,https://www.dermaexpress.com.mx/products/isdin-post-solar-aftersun-lotion-100-ml,Dermaexpress
8429420333772,Isdin Fotoprotector Fusion Gel by Alcaraz SPF 50 100 ml,Isdin,Protección Solar,Solares,527.1,548.18,753,849,999,1219,739,25.82,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Sintitulo-26deenerode2026_16.59.30-2026-08-04T112318.212.avif,https://www.dermaexpress.com.mx/products/isdin-fotoprotector-fusion-gel-by-alcaraz-spf-50-100-ml,Dermaexpress
8429420329881,Isdin Fotoprotector Facial Mist SPF50 100 ml,Isdin,Protección Solar,Solares,384.3,399.67,549,619,729,889,539,25.85,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_4_a5a96dfe-dc61-4a0e-ab65-891dd76a3634.avif,https://www.dermaexpress.com.mx/products/isdin-fotoprotector-facial-mist-spf50-100-ml,Dermaexpress
8429420312432,Isdin Fotoprotector Body Lotion Spray SPF50 250 ml,Isdin,Protección Solar,Solares,563.5,586.04,805,909,1069,1309,789,25.72,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5_11d3db4a-ef3d-4306-b62a-ef088711dadf.avif,https://www.dermaexpress.com.mx/products/isdin-fotoprotector-body-lotion-spray-spf50-250-ml,Dermaexpress
8429420312388,Isdin Fotoprotector Body Lotion Spray Pediátrico SPF50 250 ml,Isdin,Protección Solar,Solares,584.5,607.88,835,939,1109,1359,809,24.86,27.2,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_4_021585fa-c00d-4849-92f7-fc974809758e.avif,https://www.dermaexpress.com.mx/products/isdin-fotoprotector-body-lotion-spray-pediatrico-spf50-250-ml,Dermaexpress
3661434008627,Uriage Baby 1st Shampoo 200 ml,URIAGE,Capilar,Cabello,112,116.48,150,179,219,259,149,21.83,22.35,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Shampoo.avif,https://www.dermaexpress.com.mx/products/uriage-baby-1st-shampoo-t-200-ml,Dermaexpress
3661434008672,Uriage Baby Crema Limpiadora 500 ml,URIAGE,Rostro,Cuerpo y rostro,180,187.2,240,289,349,419,239,21.67,22,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/cremahidrante.avif,https://www.dermaexpress.com.mx/products/uriage-baby-crema-limpiadora-500-ml,Dermaexpress
3661434008719,Uriage Baby Agua Limpiadora 500 ml,URIAGE,Rostro,Cuerpo y rostro,165,171.6,220,269,319,389,219,21.64,22,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5.avif,https://www.dermaexpress.com.mx/products/uriage-baby-agua-limpiadora-500-ml,Dermaexpress
3661434008757,Uriage Baby Toallitas Limpiadoras 70 Piezas,URIAGE,Rostro,Cuerpo y rostro,90,93.6,120,149,179,209,119,21.34,22,AMARILLO,A,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_2_61b707c6-75ee-435c-97e1-2e76f5cb53bc.avif,https://www.dermaexpress.com.mx/products/uriage-baby-toallitas-limpiadoras-70-piezas,Dermaexpress
3700281705065,Topicrem AC CONTROL Sérum Intensivo Anti-Imperfecciones 34 ml,MartiDerm,Rostro,ROSTRO,589,612.56,0,949,1119,1369,1119,45.26,0,SIN_REF,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/186940_1.png,https://www.dermaexpress.com.mx/products/topicrem-ac-control-serum-intensivo-anti-imperfecciones-34-ml,Dermaexpress
3760269770652,Isispharma Uveblock FPS 50+ Lotion 100 ml,Isispharma,Protección Solar,Solares,520,540.8,650,839,989,1209,679,20.35,16.8,ROJO,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Fsp800Wx800H_70010863_1ju4342di.png,https://www.dermaexpress.com.mx/products/isispharma-uveblock-fps-50-lotion-100-ml-1,Dermaexpress
8436589052505,MartiDerm Sun Care SPF 50+ Active [D] Hydra Gel 50 ml,MartiDerm,Rostro,ROSTRO,619,643.76,0,999,1179,1439,1179,45.4,0,SIN_REF,C,0,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/204125.png,https://www.dermaexpress.com.mx/products/martiderm-sun-care-spf-50-active-d-hydra-gel-50-ml,Dermaexpress
810105153682,Alastin Skincare C-Radical Defense Serum Antioxidante Facial 29.6ml,Alastin,Rostro,Rostro,4051,4213.04,0,6489,7669,9369,7669,45.06,0,SIN_REF,B,1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_a5a7577a-ae3d-4021-b9a2-104045ada068.png,https://www.dermaexpress.com.mx/products/alastin-skincare-c-radical-defense-serum-antioxidante-facial-29-6ml-copy,Dermaexpress
