codigo,nombre,nombre_completo,marca,precio,stock,imagen_url
"6474","A-CUTS 210 G ARTIC ORANGE","ALMX A-CUTS 210 G ARTIC ORANGE","ALLMAX","289","35",""
"7341","A-CUTS 210 G BLUE RASPBERRY","ALMX A-CUTS 210 G BLUE RASPBERRY","ALLMAX","289","51","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553226590.jpg?alt=media&token=12319c70-e0fe-4dc3-8443-0f374bf29409"
"8921","A-CUTS 210 G COTTON CANDY","ALMX A-CUTS 210 G COTTON CANDY","ALLMAX","289","15","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553227306.jpg?alt=media&token=a995b5d9-840a-4ede-9fd6-e53bc6dff3e7"
"7342","A-CUTS 210 G GRAPE","ALMX A-CUTS 210 G GRAPE","ALLMAX","289","76","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553226828.jpg?alt=media&token=37392ecf-4dcc-4b0e-a450-8b36a0a2ed65"
"7343","A-CUTS 210 G WATERMELON","ALMX A-CUTS 210 G WATERMELON","ALLMAX","289","2",""
"6332","ALL WHEY CLASSIC 5 LBS CHOCOLATE *OFERTA*","ALMX ALL WHEY CLASSIC 5 LBS CHOCOLATE *OFERTA*","ALLMAX","1233","306",""
"14244","AMINO CORE 30 SERV BLUE RASPBERRY","ALMX AMINO CORE 30 SERV BLUE RASPBERRY","ALLMAX","365","9","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553228600.jpg?alt=media&token=f85c5dea-5760-44e4-a1fc-0e2ef27faa43"
"15441","AMINO CORE 30 SERV WATERMELON","ALMX AMINO CORE 30 SERV WATERMELON","ALLMAX","365","8","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553228662.jpg?alt=media&token=f4eddea5-0ca7-47d3-bf8b-910bc162bf20"
"14248","ARGININE 400 GR","ALMX ARGININE 400 GR","ALLMAX","363","811",""
"14249","BETA ALANINE 400 GR","ALMX BETA ALANINE 400 GR","ALLMAX","315","1095",""
"10723","CAFFEINE 200 MG 100 CT *OFERTA*","ALMX CAFFEINE 200 MG 100 CT *OFERTA*","ALLMAX","185","438",""
"19807","CREATINE 400 GRS UNFLAVORED *OFERTA*","ALMX CREATINE 400 GRS UNFLAVORED *OFERTA*","ALLMAX","385","737",""
"25250","DIGESTIVE ENZYMES 90 CT","ALMX DIGESTIVE ENZYMES 90 CT","ALLMAX","402","155",""
"9660","ISOFLEX 5 LBS CHOCOLATE *OFERTA*","ALMX ISOFLEX 5 LBS CHOCOLATE *OFERTA*","ALLMAX","1673","332","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121154.jpg?alt=media&token=57d78886-b65f-433b-b4b4-e3d84451bd21"
"9819","ISOFLEX 5 LBS CHOCOLATE PEANUT BUTTER *OFERTA*","ALMX ISOFLEX 5 LBS CHOCOLATE PEANUT BUTTER *OFERTA*","ALLMAX","1673","204","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121758.jpg?alt=media&token=efdefbdb-7d2e-491e-b6cb-cf7259fa3c6f"
"9661","ISOFLEX 5 LBS COOKIES & CREAM *OFERTA*","ALMX ISOFLEX 5 LBS COOKIES & CREAM *OFERTA*","ALLMAX","1673","156","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553225234.jpg?alt=media&token=a5711b64-01ab-43d3-a8cd-5d8ab1c210ab"
"9662","ISOFLEX 5 LBS STRAWBERRY *OFERTA*","ALMX ISOFLEX 5 LBS STRAWBERRY *OFERTA*","ALLMAX","1673","143",""
"9663","ISOFLEX 5 LBS VAINILLA *OFERTA*","ALMX ISOFLEX 5 LBS VAINILLA *OFERTA*","ALLMAX","1673","141","https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121253.jpg?alt=media&token=7abc1379-a7dd-4a6e-8af1-711a13e49c12"
"10481","L-CITRULLINE MALATE 300 GRS 150 SERV","ALMX L-CITRULLINE MALATE 300 GRS 150 SERV","ALLMAX","362","4566",""
"7959","LEUCINE 400 GRS *OFERTA*","ALMX LEUCINE 400 GRS *OFERTA*","ALLMAX","364","609",""
"26954","LIONS MANE (MELENA DE LEON) 60 CT","ALMX LIONS MANE (MELENA DE LEON) 60 CT","ALLMAX","316","105",""
