ean,nombre,marca,costo_derma,costo_bio_sin_iva,costo_bio_con_iva,pvp_ref,disp_derma,disp_bio_web,semaforo_derma,ganador_costo,precio_fc_derma_mas25,precio_fc_bio_mas25
3282770075526,Ducray Anaphase Shampoo para Caída Crónica 400 ml,Ducray,592.0,520.0,603.2,740.0,1,no,ROJO,empate,740,754
3282770104950,Ducray Anacaps Suplemento alimenticio c/30 cápsulas,Ducray,719.0,785.0,910.6,899.0,1,no,ROJO,Dermaexpress,899,1139
3282770114171,Avene XeraCalm A.D bálsamo relipidizante para piel muy seca 400 ml,Avene,621.0,620.0,719.2,777.0,0,no,ROJO,Dermaexpress,777,899
3282770139204,Avene Cleanance Gel limpiador matificante para piel sensible con tendencia acneica 200 ml,Avene,494.0,410.0,475.6,659.0,1,no,AMARILLO,Bioinstrumental,618,595
3282770145175,Ducray Keracnyl UV FPS50+ Fluido antiimperfecciones 50 ml,Ducray,543.0,450.0,522.0,679.0,1,no,ROJO,Bioinstrumental,679,653
3282770146790,Avene Xeracalm Aceite limpiador para piel seca con tendencia a eccema atópico 400 ml,Avene,479.0,430.0,498.8,599.0,0,no,ROJO,Dermaexpress,599,624
3282770153255,Ducray Neoptide Expert Sérum anticaída 50 ml,Ducray,975.0,960.0,1113.6,1219.0,1,no,ROJO,Dermaexpress,1219,1392
3282770153484,Darrow Actine Gel limpiador para piel grasa 240 gr,Darrow,351.0,300.0,348.0,439.0,1,no,ROJO,empate,439,435
3282770153507,Darrow Actine Gel limpiador para piel grasa 400 gr,Darrow,423.0,390.0,452.4,529.0,1,no,ROJO,Dermaexpress,529,566
3282770202854,Avene Cleanance Comedomed Concentrado anti-imperfecciones 30 ml,Avene,743.0,580.0,672.8,929.0,1,no,ROJO,Bioinstrumental,929,841
3282770207217,Avene Fluido solar despigmentante SPF50+ tono claro 40 ml,Avene,559.0,440.0,510.4,699.0,1,no,ROJO,Bioinstrumental,699,638
3282770207651,Darrow Actine Colors Protector Solar FPS50+ para piel grasa tono Medio 40 gr,Darrow,375.0,375.0,435.0,469.0,1,no,ROJO,Dermaexpress,469,544
3282770207774,Avene Cleanance Gel limpiador para piel sensible con tendencia acneica 400 ml,Avene,614.0,560.0,649.6,819.0,1,no,AMARILLO,Dermaexpress,768,812
3282770388497,Darrow Nutriforce Crema hidratante corporal para piel atópica 390 gr,Darrow,463.0,430.0,498.8,579.0,1,no,ROJO,Dermaexpress,579,624
3282770392401,Ducray Kelual DS Gel limpiador antiescamas 200 ml,Ducray,391.0,400.0,464.0,489.0,1,no,ROJO,Dermaexpress,489,580
3282770393989,Darrow Actine One Protector Solar FPS50+ 40 gr,Darrow,463.0,430.0,498.8,579.0,1,no,ROJO,Dermaexpress,579,624
3282770394948,Ducray Sensinol Shampoo antipicor 200 ml,Ducray,415.0,460.0,533.6,519.0,1,no,ROJO,Dermaexpress,519,667
3282770395365,Avene Cleanance Comedomed Peeling antiimperfecciones 40 ml,Avene,775.0,640.0,742.4,969.0,1,no,ROJO,Bioinstrumental,969,928
3282770397291,Ducray Sabal Shampoo Seborregulador para Cabello Graso 200 ml,Ducray,396.0,460.0,533.6,495.0,1,no,ROJO,Dermaexpress,495,667
3282770398021,Avene Cleanance Barra Limpiadora Purificante para piel grasa 100 gr,Avene,183.0,170.0,197.2,229.0,1,no,ROJO,Dermaexpress,229,247
3282776432026,Dexeryl Crema restauradora para piel seca 250 gr,Ducray,247.0,230.0,266.8,309.0,1,no,ROJO,Dermaexpress,309,334
3282779003131,Avene Agua termal spray calmante para piel sensible 300 ml,Avene,431.0,360.0,417.6,539.0,1,no,ROJO,Bioinstrumental,539,522
3282779035576,Avene Agua termal Spray calmante para piel sensible 50 ml,Avene,151.0,150.0,174.0,189.0,1,no,ROJO,Dermaexpress,189,218
3282779293440,Ducray Kertyol PSO Shampoo para la psoriasis 200 ml,Ducray,479.0,525.0,609.0,599.0,1,no,ROJO,Dermaexpress,599,762
3337872413025,La Roche-Posay Effaclar Mat Hidratante facial matificante para piel grasa 40 ml,La Roche Posay,711.0,630.0,730.8,949.0,1,no,AMARILLO,empate,889,914
3337872414152,La Roche-Posay Pigmentclar Ojos Contorno de ojos iluminador anti-ojeras 15 ml,La Roche Posay,824.0,840.0,974.4,1099.0,0,no,AMARILLO,Dermaexpress,1030,1218
3337875586269,La Roche-Posay Cicaplast Gel B5 Tratamiento hidratante para cicatrices 40 ml,La Roche Posay,524.0,530.0,614.8,699.0,1,no,AMARILLO,Dermaexpress,655,769
3337875597180,CeraVe Gel limpiador hidratante facial y corporal 236 ml,Cerave,359.0,255.0,295.8,479.0,1,no,AMARILLO,Bioinstrumental,449,370
3337875597197,CeraVe Gel limpiador facial espumoso 236 ml 236 ml,Cerave,359.0,330.0,382.8,479.0,1,no,AMARILLO,Dermaexpress,449,479
3337875597210,CeraVe Loción hidratante para piel seca 236 ml,Cerave,261.0,220.0,255.2,349.0,1,no,AMARILLO,empate,327,319
3337875597272,CeraVe Crema reparadora para contorno de ojos 14 ml,Cerave,411.0,310.0,359.6,549.0,1,no,AMARILLO,Bioinstrumental,514,450
3337875597357,CeraVe Gel limpiador facial espumoso 473 ml,Cerave,479.0,370.0,429.2,639.0,1,no,AMARILLO,Bioinstrumental,599,537
3337875597371,CeraVe Crema hidratante facial y corporal 50 ml,Cerave,126.0,100.0,116.0,169.0,1,no,AMARILLO,Bioinstrumental,158,145
