codigo,descripcion,costo_lista6,unidad
A15896,ABATELENGUAS D/MAD. 15 CM C/20 C/25 AMBIDERM,130.8333,C/500
00557,ABATELENGUAS DE PLAST. COLORES N/E C/100,130,C/100
1149,ABATELENGUAS DE PLASTICO ESTERIL C/100,197.6,C/100
031020,ABATELENGUAS DE PLASTICO N/EST C/100,125,C/100
00756,"ACEITE DE INMERSION TIPO ""A"" 100 ML",1220.92,PZA
872,ACEITE MINERAL DE 1 LITRO,137.5,LTR
527,ACETONA SOLUCION DE 1 LITRO,141.6667,PZA
00128,ACIDO ACETICO GLACIAL DE 1 LITRO,107.5,LT
00385,ACIDO FENICO DE 1 KG,484,KG
SR2691,ACIDO POL 0 26MM 70 CM CVE SR2691 C/12,684.1667,C/12
SG3691,ACIDO POL 0 37MM 1/2 75CM CVE G3691 C/12,684.1667,C/12
G3791,ACIDO POL 0 AUH 37 1/2 75CM CVE G3791 C/12,719.33,C/12
SG2698,ACIDO POL 1 26MM 5/8 AUH CVE SR2698 C/12,780,C/12
G3798,ACIDO POL 1 36MM 1/2 75CM CVE G36/3798 C/12,736.67,C/12
1027,ACIDO POL 2-0 AUH 1/2 70 CM CVE G36/3792,719.33,C/12
624,ACIDO POL 2-0 19MM 75 CM CVE CE/PE1992 C/12,693.33,C/12
CE2492,ACIDO POL 2-0 24MM 75CM CVE CE2492 C/12,684.1667,C/12
SR2692,ACIDO POL 2-0 26MM 70CM CVE SR2692 C/12,684.1667,C/12
PE199375,ACIDO POL 3-0 19MM 75CM CVE CE/PE1993 C/12,693.33,C/12
PE2493,ACIDO POL 3-0 24MM 70CM CVE PE2493 C/12,708.3333,C/12
SR2693,ACIDO POL 3-0 26MM 1/2 75CM CVE SR2693 C/12,684.1667,C/12
395,ACIDO POL 3-0 37MM 1/2 CVE G3793 C/12,684.1667,C/12
R2093,ACIDO POL 3-0 75CM CVE R2093 C/12,708.3333,C/12
PE1994,ACIDO POL 4-0 19MM 3/8 70CM R/C CVE PE1994 C/12,693.33,C/12
SR2694,ACIDO POL 4-0 26MM 1/2 70CM CVE SR2694 C/12,684.1667,C/12
00534,ACIDO POL 5-0 12MM 3/8 70CM R/C CVE PE1295 C/12,708.33,C/12
PE1995,ACIDO POL 5-0 19MM 3/8 70CM R/C CVE PE1995 C/12,693.33,C/12
SR2095,ACIDO POL 5-0 20MM 75 CM CVE SR2095-75 C/12,684.1667,C/12
628,ACIDO POL 6-0 19 MM 75CM CVE PE1996-B C/12,693.33,C/12
EE6972,ACIDO POL 7-0 D/A 6MM 45 CM CVE EE697/2,2291.6667,C/12
199,ADRENALINA (PINADRINA) 1MG/ML CAJA C/50,420.83,CAJA
A14563,AEROCHAMBER PLUS FLOW VU INFANTIL,575,pz
00420,AETHOXYLEROL 20 MG C/5,1068.8,C/5
29,AGUA DE ROSAS SOLUCION DE 1 LITRO,25.8333,PZA
313,AGUA ESTERIL DE 1000 ML (PZA),50,PZA
15,AGUA ESTERIL DE 500 ML (PZA),45.5,PZA
AG10ML,AGUA INYECTABLE DE 10 ML C/100,612.08,CAJA
00729,AGUA MICELAR GARNIER 400 ML,106.62,PZA
193,AGUA OXIGENADA DE 1 LITRO,29.17,LITRO
00569,AGUA TRIDESTILADA 1 LITRO,33.33,LITRO
1084,AGUA TRIDESTILADA 20 LITROS,270.83,PZA
381,AGUJA 16 X 25 LILA C/100 CVE 305197 BD,180,C/100
00419,AGUJA 18 X 25 ROSA C/100 NIPRO,70,C/100
00717,AGUJA 18 X 32 ROSA C/100 NIPRO,80.07,C/100
00252,AGUJA 18 X 38 ROSA C/100 DL,49.2917,C/100
NIP1838,AGUJA 18 X 38 ROSA C/100 NIPRO,70,C/100
BD1838,AGUJA 18 X 40 ROSA C/100 CVE 300017 BD,141.95,C/100
75,AGUJA 20 X 32 AMARILLA C/100 CVE 301730,108.52,CAJA
A2032,AGUJA 20 X 32 AMARILLA C/100 NIPRO,70,C/100
00704,AGUJA 21 X 30 VERDE C/100 CVE 300078 BD,115.52,C/100
452,AGUJA 21 X 32 VERDE C/100 CVE 301731 BD,115.52,C/100
B2132,AGUJA 21 X 32 VERDE C/100 NIPRO,70,C/100
00603,AGUJA 22 X 30 NEGRA C/100 CVE 300339 BD,119.3,C/100
125,AGUJA 22 X 32 NEGRA C/100 CVE 300081 BD,119.16,C/100
N2232,AGUJA 22 X 32 NEGRA C/100 NIPRO,70,C/100
00535,AGUJA 22 X 38 NEGRA C/100 CVE 302354 BD,123.31,C/100
137,AGUJA 23 X 25 AZUL C/100 CVE 300388 BD,121.67,C/100
NIP2325,AGUJA 23 X 25 AZUL C/100 NIPRO,70,C/100
00211,AGUJA 25 X 15 NARANJA C/100 301973 BD,115.83,C/100
N14,AGUJA 25 X 16 NARANJA C/100 NIPRO,70,C/100
NIP2538,AGUJA 25 X 38 NARANJA C/100 NIPRO,70.8333,CAJA
250,AGUJA 27 X 13 GRIS C/100 CVE 301982 BD,123.33,C/100
A2713,AGUJA 27 X 13 GRIS C/100 NIPRO,70,C/100
330,AGUJA 27 X 38 GRIS C/100 MISAWA,865,C/100
MIS2740,AGUJA 27 X 40 MM GRIS C/100 MISAWA,875,C/100
00297,AGUJA 30 X 4 AMARILLA C/100 DL,125,C/100
2164,AGUJA 30 X 4 AMARILLA C/100 MISAWA,859.1667,C/100
00298,AGUJA 30 X 13 C/100 DL,79.1667,C/100
173,AGUJA 30 X 13 CAFE C/100 CVE 305107 BD,135.83,C/100
287,AGUJA 31 X 4 MM AZUL C/100 MISAWA,910.56,C/100
952,AGUJA 32 X 4 MM ROSA C/100 MISAWA,946.6667,C/100
2148,AGUJA 33 x 4 VERDE C/100 MISAWA,1100.15,C/100
