slug,fuente,url_origen,sku,ean,nombre
bp-dermaexpress-3337875902823,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_2_2.avif,FC-75902823,3337875902823,"Vichy Dercos Energy+ Shampoo Estimulante Anticaída Refill 400 ml"
bp-dermaexpress-3337871322243,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_1_5aa427f8-9b5e-4995-a3ad-85e3e9aecdda.avif,FC-71322243,3337871322243,"Vichy Dercos Estimulante Shampoo 400 ml"
bp-dermaexpress-3337875952804,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_6.avif,FC-75952804,3337875952804,"CeraVe Limpiador Tono Uniforme Vitamina C 236 ml"
bp-dermaexpress-3282771000787,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_3_5c11f172-4936-47a0-b99b-0aebfdf854ff.avif,FC-71000787,3282771000787,"Ducray Kelual DS Intensive Spray Calmante Anticaspa 100 ml"
bp-dermaexpress-3282770395990,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770395990_1.avif,FC-70395990,3282770395990,"Avène DermAbsolu Crema de Noche Reafirmante 40 ml"
bp-dermaexpress-7502273211037,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ORQ1037_SEASONS_HIDRATANTES_CREMA_HIDRATANTE_ALTA_REPARACION_ORQUIDEA_ACIDO_HIALURONICO_1.jpg,FC-73211037,7502273211037,"Seasons Crema Hidratante Antiedad Orquídea + Ácido Hialurónico 45 g"
bp-dermaexpress-8470002146549,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_2_1.avif,FC-02146549,8470002146549,"Cantabria Labs SKIN RESIST Velvet Cleanser Gel Limpiador y Desmaquillante para Piel Sensible 200 ml"
bp-dermaexpress-8470002143050,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_1_da74c9cb-a7e9-44fd-8a19-97849647df8b.avif,FC-02143050,8470002143050,"Cantabria Labs SKIN RESIST Sensage Sérum Antiedad para Piel Sensible 30 ml"
bp-dermaexpress-8470002143036,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3_2_bd4cbdeb-c83b-45c8-ba06-a6875584b125.avif,FC-02143036,8470002143036,"Cantabria Labs SKIN RESIST Daily Fluid Fluido Hidratante para Piel Sensible 50 ml"
bp-dermaexpress-8436574365481,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/2._20Cantabria_20Labs_201-12-25_0178_1.jpg,FC-74365481,8436574365481,"BIRETIX ISOREPAIR BALM 10G"
bp-dermaexpress-3504105044855,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105037185_1_1.jpg,FC-05044855,3504105044855,"Mustela Bálsamo Universal Multiusos 75 ml"
bp-dermaexpress-3504105044602,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105035532_1_36405488-8822-4d6d-9821-db744803e1a9.jpg,FC-05044602,3504105044602,"Mustela Cold Cream Loción Corporal Nutritiva 200 ml"
bp-dermaexpress-3504105044640,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105035648_1_1.jpg,FC-05044640,3504105044640,"Mustela Cold Cream Crema Emoliente Nutritiva 40 ml"
bp-dermaexpress-8429420309883,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/MX_4686_TH_ISDINCEUTICSFLAVO-CINTENSE50ML_MAIN_IMAGE_TEXTURE_0.jpg,FC-20309883,8429420309883,"Isdin Isdinceutics Flavo-C Intense 50 ml"
bp-dermaexpress-8429420271968,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5_91fc4cf5-efe5-4b69-8a41-87bc793c0836.avif,FC-20271968,8429420271968,"Isdin Isdinceutics MelaClear Advanced REFILL 30 ml"
bp-dermaexpress-8429420309845,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5_bec1b6d2-662d-46ad-8af4-5acdd40a83c5.avif,FC-20309845,8429420309845,"Isdin Post Solar Aftersun Lotion 100 ml"
bp-dermaexpress-8429420333772,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Sintitulo-26deenerode2026_16.59.30-2026-08-04T112318.212.avif,FC-20333772,8429420333772,"Isdin Fotoprotector Fusion Gel by Alcaraz SPF 50 100 ml"
bp-dermaexpress-8429420329881,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_4_a5a96dfe-dc61-4a0e-ab65-891dd76a3634.avif,FC-20329881,8429420329881,"Isdin Fotoprotector Facial Mist SPF50 100 ml"
bp-dermaexpress-8429420312432,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5_11d3db4a-ef3d-4306-b62a-ef088711dadf.avif,FC-20312432,8429420312432,"Isdin Fotoprotector Body Lotion Spray SPF50 250 ml"
bp-dermaexpress-8429420312388,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_4_021585fa-c00d-4849-92f7-fc974809758e.avif,FC-20312388,8429420312388,"Isdin Fotoprotector Body Lotion Spray Pediátrico SPF50 250 ml"
bp-dermaexpress-3661434008627,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Shampoo.avif,FC-34008627,3661434008627,"Uriage Baby 1st Shampoo 200 ml"
bp-dermaexpress-3661434008672,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/cremahidrante.avif,FC-34008672,3661434008672,"Uriage Baby Crema Limpiadora 500 ml"
bp-dermaexpress-3661434008719,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/ImageneslanzamientosDerx_5.avif,FC-34008719,3661434008719,"Uriage Baby Agua Limpiadora 500 ml"
