sku,ean,fuente,nombre,origen,imagen,nota
FC-91029192,5702191029192,dermaexpress,Leo Pharma Finacea Gel 15%,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/5702191029192_1.avif?v=1774567683,
FC-79443333,3282779443333,dermaexpress,Avène Kit Protector Solar Corporal en Spray FPS 50,dermamedina,https://cdn.shopify.com/s/files/1/1324/6819/files/3282779443333_Av_ne_Kit_Protector_Solar_Corporal_en_Spray_FPS_50_200ml_Agua_Termal_150ml.webp?v=1782328862,dermaexpress tenia la foto de Vichy Mineral 89
FC-71631381,8436571631381,dermaexpress,Babe Bálsamo hidratante en aceite,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8436571631381.jpg?v=1707859276,
FC-11329004,8437011329004,dermaexpress,Babe Aloe vera 100%,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8437011329004.jpg?v=1707863626,
FC-14389081,8437014389081,dermaexpress,Babe Pasta al agua,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8437014389081.jpg?v=1707865777,
FC-70075687,3282770075687,dermaexpress,Avene Fluido mineral,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770075687_1.jpg?v=1746682683,
FC-79562102,3282779562102,dermaexpress,Aderma protect AH,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282779562102-M-PROTECT-AH-250ML.png?v=1569254909,
FC-19683548,8050519683548,dermaexpress,KORFF Lápiz de Ojos Negro Larga Duración 1,dermapharma,https://cdn.shopify.com/s/files/1/0527/3337/8743/files/8050519683548.webp?v=1778076523,
FC-19684743,8050519684743,dermaexpress,KORFF Base Neverending Ultra Mat de Larga Duración SPF 30 – Tono 03,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8050519684743_resized.jpg?v=1757127324,
FC-19680158,8050519680158,dermaexpress,KORFF Cure Make Up,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/8050519680158.jpg?v=1757044916,
FC-05034894,3504105034894,dermaexpress,Mustela Musti Agua de colonia para bebé 50 ml,mustela.com,https://cdn.shopify.com/s/files/1/0316/7518/7336/files/MustiEau-Front-Box-Blue-Bottle-2000x1500-v3.png?v=1705503724,"dermaexpress tenia Stelatopia, no Musti"
FC-05036027,3504105036027,dermaexpress,Mustela agua para peinar refrescante 200ml.,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105036027_1.jpg?v=1730912827,
FC-70398632,3282770398632,dermaexpress,Aderma Epitheliale Ultra Repair,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770398632_1.jpg?v=1751560963,
FC-75917810,3337875917810,dermaexpress,La Roche-Posay Protector Solar Anthelios UV Air FPS 50+ Fluido ligero invisible oil-free para piel sensible,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/1_5481e5c5-aa48-46a2-814f-6dd4f26356dd.png?v=1750634713,
FC-75917407,3337875917407,dermaexpress,La Roche-Posay Protector Solar Anthelios UVMune 400 Fluido Anti-manchas FPS 50+ para piel sensible,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/Diseno_sin_titulo_2_791ab0cd-abf6-4897-be36-0bcccc0acecc.png?v=1748381048,
FC-47869546,3401347869546,dermaexpress,Bioderma Cicabio,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3401347869546_06c3a6cc-97d0-4220-bc7a-966e21bd65f9.jpg?v=1746747541,
FC-60936988,3401560936988,dermaexpress,Bioderma Atoderm Intensive Gel Moussant,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3401560936988_eff1c644-f0b5-4ba5-8cd0-298b70e803bb.jpg?v=1569251169,
FC-05038724,3504105038724,dermaexpress,Mustela Bio Orgánico Gel de Baño Refill 400 ml,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3504105038724_1.jpg?v=1731094612,
FC-34011931,3661434011931,dermaexpress,Uriage Cica-daily Sérum con centella asiática,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3661434011931_1.jpg?v=1727547616,
FC-76003048,853676003048,dermaexpress,M.A.D. Glycolic Age Diffusing Cleanser,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/9_ae9e8d44-1fac-4e41-8e8b-1a795c6ea9c9.png?v=1723158242,
FC-20171763,8429420171763,dermaexpress,Isdin Bexident Aftas Colutorio,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/8429420171763.jpg?v=1620769468,
FC-20171756,8429420171756,dermaexpress,Isdin Bexident Aftas Spray Bucal,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/8429420171756.jpg?v=1620769328,
FC-02460699,7502002460699,dermaexpress,Farmapiel Perfect Main Cells,dermaexpress,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/7502002460699.jpg?v=1569247983,
