ean,imagen_url,nombre,marca,origen
7501258215893,https://gruporfp.vteximg.com.br/arquivos/ids/7013553/7501258215893_01.jpg,Derluma 5 Mg Ungüento C/30 Gr,Lakeside,farmatodo
7501258214278,https://gruporfp.vteximg.com.br/arquivos/ids/6999937/7501258214278_01.jpg,Antinocil 100 Mg Caja C/10 Tabletas,Lakeside,farmatodo
5702191029192,https://gruporfp.vteximg.com.br/arquivos/ids/7011552/5702191029192_01.jpg,Finacea Gel 15% Tubo C/30 Gr,Leo,farmatodo
3282770073706,https://gruporfp.vteximg.com.br/arquivos/ids/5133459/3282770073706_01.jpg,Aderma Epitheliale Ah Crema Reparadora Tubo C/40 Ml,Pierre Fabre,farmatodo
7501258215367,https://gruporfp.vteximg.com.br/arquivos/ids/7000167/7501258215367_01.jpg,Pilovait 1 Mg Caja C/60 Tabletas,Lakeside,farmatodo
7501258209946,https://gruporfp.vteximg.com.br/arquivos/ids/7000149/7501258209946_01.jpg,Medamestroid Ungüento 0.1% Tubo C/30 Gr,Lakeside,farmatodo
7501258215350,https://gruporfp.vteximg.com.br/arquivos/ids/7000165/7501258215350_01.jpg,Pilovait 1 Mg Caja C/30 Tabletas,Lakeside,farmatodo
7501258211901,https://gruporfp.vteximg.com.br/arquivos/ids/6999936/7501258211901_01.jpg,Valinir 500 Mg Caja C/10 Tabletas,Lakeside,farmatodo
7501258210331,https://gruporfp.vteximg.com.br/arquivos/ids/7011181/7501258210331_01.jpg,Tsuyoi Crema 0.05 % Tubo C/50 Gr,Advaita,farmatodo
8429420171756,https://gruporfp.vteximg.com.br/arquivos/ids/7010463/8429420171756_01.jpg,Bexident Spray Dental Isdin Aftas C/15 Ml,Isdin,farmatodo
3282779391580,https://gruporfp.vteximg.com.br/arquivos/ids/5133577/3282779391580_01.jpg,Avene Aqua Fluido Mat-Perfect Protector Solar Frasco C/50 Ml,Pierre Fabre,farmatodo
3282770049510,https://gruporfp.vteximg.com.br/arquivos/ids/2756110/3282770049510_01.jpg,Avene Bloqueador Fps50 Niños Leche Tubo C/250 Ml,Pierre Fabre,farmatodo
3282779391023,https://gruporfp.vteximg.com.br/arquivos/ids/5133574/3282779391023_01.jpg,Avene Protector Solar Fps50 Toque Seco Tubo C/50 Ml Emulsion,Pierre Fabre,farmatodo
7501088504648,https://gruporfp.vteximg.com.br/arquivos/ids/6997656/7501088504648_01.jpg,Granudoxy Tratamiento Antiacne 100 Mg Caja C/15 Tabletas,Pierre Fabre,farmatodo
7501088504655,https://gruporfp.vteximg.com.br/arquivos/ids/6997657/7501088504655_01.jpg,Granudoxy 100mg C/28 Tabletas (Tratamiento Antiacné),Pierre Fabre,farmatodo
3282770153170,https://gruporfp.vteximg.com.br/arquivos/ids/7011444/3282770153170_01.jpg,Avene Hyaluron Crema Dia Tarro C/50 Ml,Pierre Fabre,farmatodo
3282770393507,https://gruporfp.vteximg.com.br/arquivos/ids/7011641/3282770393507_01.jpg,Avene Vitamin Activ Cg Crema Intensiva Tarro 50 Ml,Pierre Fabre,farmatodo
8430340038432,https://gruporfp.vteximg.com.br/arquivos/ids/6997502/8430340038432_01.jpg,Pilexil Anticaspa Locion Botella C/300 Ml,Armstrong,farmatodo
3401575390447,https://gruporfp.vteximg.com.br/arquivos/ids/6997944/3401575390447_01.jpg,Bioderma Sensibio Desmaquillante H2O Botella C/250 Ml,Naosskin,farmatodo
7502224221030,https://gruporfp.vteximg.com.br/arquivos/ids/6998933/7502224221030_01.jpg,Desinfectante Accua Aseptic Solucion Spray C/60 Ml,Cell Pharma,farmatodo
7502224228763,https://gruporfp.vteximg.com.br/arquivos/ids/6997537/7502224228763_01.jpg,Kitoscell Gel Tubo C/30 Gr,Cell Pharma,farmatodo
3401361353625,https://gruporfp.vteximg.com.br/arquivos/ids/6997997/3401361353625_01.jpg,Bioderma Sebium Crema Pore Refiner Piel Grasa Tubo C/30 Ml,Naosskin,farmatodo
7502224227117,https://gruporfp.vteximg.com.br/arquivos/ids/6997701/7502224227117_01.jpg,Zaxcell Gel Tubo C/5 Gr,Cell Pharma,farmatodo
8429420171763,https://gruporfp.vteximg.com.br/arquivos/ids/7252086/8429420171763_01.jpg,Bexident Aftas Isdin Colutorio C/120 Ml,Isdin,farmatodo
3282770398632,https://gruporfp.vteximg.com.br/arquivos/ids/7012986/3282770398632_01.jpg,Aderma Epitheliale Ah Crema Reparadora Tubo C/40 Ml,Pierre Fabre,farmatodo
7502224228060,https://gruporfp.vteximg.com.br/arquivos/ids/6997531/7502224228060_01.jpg,Kitoscell Gel Tubo C/3.5 Gr,Cell Pharma,farmatodo
816378020126,https://gruporfp.vteximg.com.br/arquivos/ids/6997762/816378020126_01.jpg,DS Revita Gel Anticaída C/100mL,Divine Skin,farmatodo
794504050004,https://gruporfp.vteximg.com.br/arquivos/ids/6997761/794504050004_01.jpg,DS Spectral F7 Tratamiento Anticaída C/60mL,Divine Skin,farmatodo
7501043100519,https://gruporfp.vteximg.com.br/arquivos/ids/6999953/7501043100519_01.jpg,Bactroban Crema 2 % Tubo C/15 Gr,Glaxosmithkline,farmatodo
7501043110686,https://gruporfp.vteximg.com.br/arquivos/ids/7000118/7501043110686_01.jpg,Betnovate Crema 0.10 G Tubo C/40 Gr,Glaxosmithkline,farmatodo
7501043110853,https://gruporfp.vteximg.com.br/arquivos/ids/7000120/7501043110853_01.jpg,Betnovate Locion Suspension Capilar Frasco C/50 Ml,Glaxosmithkline,farmatodo
7501043110778,https://gruporfp.vteximg.com.br/arquivos/ids/7000119/7501043110778_01.jpg,Betnovate Locion Suspension Capilar Frasco C/100 Ml,Glaxosmithkline,farmatodo
7501064550652,https://gruporfp.vteximg.com.br/arquivos/ids/6999954/7501064550652_01.jpg,Bactroban Ungüento 2 % Tubo C/15 Gr,Glaxosmithkline,farmatodo
7501043111850,https://gruporfp.vteximg.com.br/arquivos/ids/7000121/7501043111850_01.jpg,Dermatovate Crema 0.044 Gr Tubo C/40 Gr,Glaxosmithkline,farmatodo
7501043149921,https://gruporfp.vteximg.com.br/arquivos/ids/7000112/7501043149921_01.jpg,Neosporin Dermico Ungüento 30 G Tubo C/30 Gr,Glaxosmithkline,farmatodo
7501043112208,https://gruporfp.vteximg.com.br/arquivos/ids/7000123/7501043112208_01.jpg,Cutivate Crema 0.05 G Tubo C/30 Gr,Glaxosmithkline,farmatodo
7501043111959,https://gruporfp.vteximg.com.br/arquivos/ids/7000122/7501043111959_01.jpg,Dermatovate Ungüento 0.044 G Tubo C/40 Gr,Glaxosmithkline,farmatodo
7501027800183,https://gruporfp.vteximg.com.br/arquivos/ids/7012036/7501027800183_01.jpg,Indoxyl Gel Tubo C/30 Gr,Glaxosmithkline,farmatodo
4005800024139,https://gruporfp.vteximg.com.br/arquivos/ids/5133551/4005800024139_01.jpg,Eucerin Urea Repair Crema 0.1 Botella C/250 Ml,Eucerin,farmatodo
7502002461948,https://gruporfp.vteximg.com.br/arquivos/ids/7012589/7502002461948_01.jpg,Lievricin-D 100 Mg Caja C/28 Capsulas,Cosmiatria,farmatodo
7502002461313,https://gruporfp.vteximg.com.br/arquivos/ids/6997693/7502002461313_01.jpg,Bpollen Duo Gel 0.015 Frasco C/30 Gr,Cosmiatria,farmatodo
7502002462495,https://gruporfp.vteximg.com.br/arquivos/ids/7011892/7502002462495_01.jpg,Pack Minoxidil 5% Solucion Topica Caja C/2 Frasco de 60 Ml c/u,Cosmiatria,farmatodo
7502002462709,https://gruporfp.vteximg.com.br/arquivos/ids/7011981/7502002462709_01.jpg,Tipsallen Gel 0.01 Tubo C/30 Gr,Cosmiatria,farmatodo
7502002461832,https://gruporfp.vteximg.com.br/arquivos/ids/7013578/7502002461832_01.jpg,Xeltetra-M 100 mg C/12 Cápsulas,Cosmiatria,farmatodo
7502002461733,https://gruporfp.vteximg.com.br/arquivos/ids/6997695/7502002461733_01.jpg,Xeltetra L Tratamiento Caja C/20 Capsulas,Cosmiatria,farmatodo
7502002461825,https://gruporfp.vteximg.com.br/arquivos/ids/7013579/7502002461825_01.jpg,Xeltetra-M 50 mg C/24 Cápsulas,Cosmiatria,farmatodo
7612076457355,https://gruporfp.vteximg.com.br/arquivos/ids/6998124/7612076457355_01.jpg,Cetaphil Locion Liposomal Fps50 Day Long Botella C/100 Ml,Cetaphil,farmatodo
7612076457256,https://gruporfp.vteximg.com.br/arquivos/ids/6998121/7612076457256_01.jpg,Cetaphil Protector Solar Fps50 Day Long Tubo C/100 Ml Gel,Cetaphil,farmatodo
3499320001205,https://gruporfp.vteximg.com.br/arquivos/ids/6997545/3499320001205_01.jpg,Desowen Crema 0.05% Tubo C/30 Gr,Galderma,farmatodo
3499320002448,https://gruporfp.vteximg.com.br/arquivos/ids/6997579/3499320002448_01.jpg,Tri Luma Crema Tubo C/15 Gr,Galderma,farmatodo
7502003560473,https://gruporfp.vteximg.com.br/arquivos/ids/6997699/7502003560473_01.jpg,Tetralisal Tratamiento 300 Mg Caja C/20 Capsulas,Galderma,farmatodo
3499320001755,https://gruporfp.vteximg.com.br/arquivos/ids/6997741/3499320001755_01.jpg,Metrocream Crema 0.0075 Tubo C/30 Gr,Galderma,farmatodo
3499320001168,https://gruporfp.vteximg.com.br/arquivos/ids/6997739/3499320001168_01.jpg,Metrogel Gel 75% C/30g,Galderma,farmatodo
8904091125722,https://gruporfp.vteximg.com.br/arquivos/ids/7012472/8904091125722_01.jpg,Micropal-Cm Gel 0.1 % / 1 % Tubo C/30 Gr,Glenmark,farmatodo
3337875847087,https://gruporfp.vteximg.com.br/arquivos/ids/7010814/3337875847087_01.jpg,La Roche Posay Anthelios Protector Solar UvMune400 Fluido Color Oil Control Fps50+ Botella C/50 Ml,Frabel,farmatodo
8904091147311,https://gruporfp.vteximg.com.br/arquivos/ids/6997517/8904091147311_03.jpg,Momate Ungüento 0.001 Tubo C/30 Gr,Glenmark,farmatodo
8429420069411,https://gruporfp.vteximg.com.br/arquivos/ids/6997596/8429420069411_01.jpg,Isdin Barcilus Tratamiento Vaginales Caja C/6 Capsulas,Isdin,farmatodo
8470001507983,https://gruporfp.vteximg.com.br/arquivos/ids/7008289/8470001507983_01.jpg,Isdin Nutrabalm Protector Reparador Labios Tubo C/10 Ml,Isdin,farmatodo
3337875492799,https://gruporfp.vteximg.com.br/arquivos/ids/7011870/3337875492799_01.jpg,Vichy Dercos Shampoo Anticaspa Cabello Seco Botella C/390 Ml,Frabel,farmatodo
3337871331290,https://gruporfp.vteximg.com.br/arquivos/ids/7011869/3337871331290_01.jpg,Vichy Dercos Shampoo Anticaspa Cabello Nomal-Graso Botella C/390 Ml,Frabel,farmatodo
7703281020356,https://gruporfp.vteximg.com.br/arquivos/ids/7011339/7703281020356_01.jpg,Acleria Mascarilla Limpieza Facial Tubo C/150 Gr,Italmex,farmatodo
7501390912728,https://gruporfp.vteximg.com.br/arquivos/ids/6999850/7501390912728_01.jpg,Clidets Gel 1% Tubo C/30 Gr,Italmex,farmatodo
7703281020400,https://gruporfp.vteximg.com.br/arquivos/ids/7008520/7703281020400_01.jpg,Dersinet Espuma Aerosol C/100 Gr,Medihealt,farmatodo
7501390911004,https://gruporfp.vteximg.com.br/arquivos/ids/7000175/7501390911004_01.jpg,Italdermol G Crema 15/0.1 G Tubo C/30 Gr,Italmex,farmatodo
7501390911028,https://gruporfp.vteximg.com.br/arquivos/ids/7000177/7501390911028_01.jpg,Italdermol Gasas C/Crema 150 Mg 4 Gr Caja C/10 Pz,Italmex,farmatodo
7501390914562,https://gruporfp.vteximg.com.br/arquivos/ids/7012255/7501390914562_01.jpg,Italdermol Spray Frasco C/75 Ml,Italmex,farmatodo
7501390913374,https://gruporfp.vteximg.com.br/arquivos/ids/7000180/7501390913374_01.jpg,Italdermol G Crema 150/1/1 Mg/G Tubo C/10 Gr,Italmex,farmatodo
7501390911042,https://gruporfp.vteximg.com.br/arquivos/ids/7000179/7501390911042_01.jpg,Italdermol Gasas C/ Crema 150 Mg 4 Gr Caja C/3 Pz,Italmex,farmatodo
7501390910991,https://gruporfp.vteximg.com.br/arquivos/ids/7000174/7501390910991_01.jpg,Italdermol Crema 15 G Tubo C/30 Gr,Italmex,farmatodo
7501390913114,https://gruporfp.vteximg.com.br/arquivos/ids/7000099/7501390913114_01.jpg,Minopac 50 Mg Caja C/30 Tabletas,Italmex,farmatodo
7703281002437,https://gruporfp.vteximg.com.br/arquivos/ids/7008522/7703281002437_01.jpg,Procikel Gel P/Cicatrices Tubo C/30 Gr,Medihealt,farmatodo
7703281003939,https://gruporfp.vteximg.com.br/arquivos/ids/6997603/7703281003939_01.jpg,Salilex Pañitos Limpiadores Pads Caja C/30 Pz,Medihealt,farmatodo
7501390913107,https://gruporfp.vteximg.com.br/arquivos/ids/7000096/7501390913107_03.jpg,Minopac 100 Mg Caja C/30 Tabletas,Italmex,farmatodo
7703332003628,https://gruporfp.vteximg.com.br/arquivos/ids/6997722/7703332003628_01.jpg,Ureaderm Lactato Locion Hidratante Botella C/225 Gr,Medihealt,farmatodo
3337875549530,https://gruporfp.vteximg.com.br/arquivos/ids/6998113/3337875549530_01.jpg,La Roche Posay Anthelios Bruma Facial Fps50 Botella C/75 Ml,Frabel,farmatodo
5702191029222,https://gruporfp.vteximg.com.br/arquivos/ids/7011636/5702191029222_01.jpg,Fucidin Crema 2% Tubo C/15 Gr,Leo,farmatodo
5702191029239,https://gruporfp.vteximg.com.br/arquivos/ids/7011828/5702191029239_01.jpg,Fucidin Crema 2% Tubo C/30 Gr,Leo,farmatodo
5702191029369,https://gruporfp.vteximg.com.br/arquivos/ids/7011537/5702191029369_01.jpg,Daivobet Gel 5/50 Mg Frasco C/30 Gr,Leo,farmatodo
5702191029291,https://gruporfp.vteximg.com.br/arquivos/ids/7011599/5702191029291_01.jpg,Fucidin Ungüento 2% Tubo C/15 Gr,Leo,farmatodo
5702191029208,https://gruporfp.vteximg.com.br/arquivos/ids/7011565/5702191029208_01.jpg,Fucicort Crema 20/1 Mg Tubo C/15 Gr,Leo,farmatodo
5702191029314,https://gruporfp.vteximg.com.br/arquivos/ids/7011826/5702191029314_01.jpg,Icaden Crema 1 G Tubo C/20 Gr,Leo,farmatodo
5702191029178,https://gruporfp.vteximg.com.br/arquivos/ids/7011412/5702191029178_01.jpg,Advantan Crema 0.1 % Tubo C/15 Gr,Leo,farmatodo
