sku,ean,nombre,marca,presentacion,concentracion,forma_farmaceutica,categoria,subcategoria,linea,costo,techo,oferta,imagen_url,imagen_origen,nombre_lista
FC-70073706,3282770073706,Aderma Epitheliale Ah Crema Reparadora Tubo C,A-Derma,40 ml,,Crema,Cuidado personal,Dermatología,CICATRIZANTES,373.12,530,,https://gruporfp.vteximg.com.br/arquivos/ids/5133459/3282770073706_01.jpg,farmatodo,EPITHELIALE A.H. DUO 40ML
FC-95250441,3760095250441,Depiwhite Avanzado Crema intensiva anti-manchas,ACM,40 ml,,Crema,Cuidado personal,Dermatología,DESPIGMENTANTES,496.13,675,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/DEPIWHITE-ADV-CREMA-40-ML.jpg,dermaexpress,DEPIWHITE CREMA DESPIGMENTANTE 40ML
FC-95255170,3760095255170,Depiwhite Crema Antimanchas Zonas Sensibles Despigmentante,ACM,50 ml,,Crema,Cuidado personal,Dermatología,DESPIGMENTANTES,294,400,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095255170.jpg,dermaexpress,DEPIWHITE CREMA ANTIMANCHAS ZONAS LOCALIZADAS 50ML
FC-95250205,3760095250205,Depiwhite Gel contorno de ojos,ACM,15 ml,,Gel,Cuidado personal,Dermatología,DESPIGMENTANTES,466.72,635,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/DEPIWHITE-GEL-CONTORNO-OJO-15-ML.jpg,dermaexpress,DEPIWHITE GEL CONTORNO OJOS 15ML
FC-95250267,3760095250267,Depiwhite Leche corporal aclarante,ACM,200 ml,,,Cuidado personal,Dermatología,DESPIGMENTANTES,470.4,640,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/depiwhiteleche.jpg,dermaexpress,DEPIWHITE LECHE CORPORAL ACLARANTE 200ML
FC-95250106,3760095250106,Depiwhite Mascarilla aclarante,ACM,40 ml,,,Cuidado personal,Dermatología,DESPIGMENTANTES,477.75,650,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/DEPIWHITE-MASCARILLA-40-ML.jpg,dermaexpress,DEPIWHITE MASCARILLA 40ML
FC-95254272,3760095254272,Depiwhite Mousse Dermolimpiador aclarante,ACM,200 ml,,,Cuidado personal,Dermatología,DESPIGMENTANTES,411.6,560,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095254272.jpg,dermaexpress,DEPIWHITE MOUSSE DERMOLIMPIADOR ACLARANTE 200ML
FC-95255156,3760095255156,Depiwhite Suero Intensivo Antimanchas Despigmentante,ACM,30 ml,,,Cuidado personal,Dermatología,DESPIGMENTANTES,588,800.01,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095255156-1.jpg,dermaexpress,DEPIWHITE SUERO ANTIMANCHAS 30ML
FC-95254500,3760095254500,Novophane Chronic Loción anti-caída,ACM,100 ml,,,Cuidado personal,Dermatología,CAPILARES,595.35,810,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095254500.jpg,dermaexpress,NOVOPHANE LOCION CHRONIC 100ml
FC-95250199,3760095250199,Novophane K Shampoo anticaspa,ACM,125 ml,,,Cuidado personal,Dermatología,CAPILARES,213.15,290,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/NOVOPHANE-K-CHAMPU-125-ML.jpg,dermaexpress,NOVOPHANE K SHAMPOO 125ML
FC-95250410,3760095250410,Novophane Shampoo anti-caída,ACM,200 ml,,,Cuidado personal,Dermatología,CAPILARES,360.15,490,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/NOVOPHANE-ENERGIZANTE-CHAMPU-200-ML.jpg,dermaexpress,NOVOPHANE SHAMPOO 200ML
FC-95255125,3760095255125,Novophane Shampoo Suave Uso Frecuente,ACM,200 ml,,,Cuidado personal,Dermatología,CAPILARES,264.6,359.99,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095255125.jpg,dermaexpress,NOVOPHANE CHAMPU SUAVE  200 ml
FC-95255132,3760095255132,Novophane Shampoo Suave Uso Frecuente,ACM,500 ml,,,Cuidado personal,Dermatología,CAPILARES,477.75,649.99,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095255132.jpg,dermaexpress,NOVOPHANE CHAMPU SUAVE 500ML
FC-95250168,3760095250168,Novophane Suplemento,ACM,60 cápsulas,,Cápsulas,Cuidado personal,Dermatología,CAPILARES,793.8,1080,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095250168_4d60cf60-f00a-41cb-a2cf-f1c319e1a102.jpg,dermaexpress,NOVOPHANE C/60 CAPSULAS
FC-95252872,3760095252872,Rosakalm Agua micelar desmaquillante,ACM,250 ml,,,Cuidado personal,Dermatología,DESPIGMENTANTES,271.95,370,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3760095252872.jpg,dermaexpress,ACM ROSAKALM AGUA MICELAR 250ML
FC-95252803,3760095252803,Rosakalm Crema antirrojeces para rostro,ACM,40 ml,,Crema,Cuidado personal,Dermatología,DESPIGMENTANTES,349.12,475,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/RosakalmCrema.jpg,dermaexpress,ROSAKALM CREMA ANTIROJECES ROSTRO 40ML
FC-95252933,3760095252933,Sedacalm Crema calmante para piel adulta,ACM,120 ml,,Crema,Cuidado personal,Dermatología,CAPILARES,367.5,500,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/SedacalmCrema.jpg,dermaexpress,SEDACALM CREMA CALMANTE 120ML
FC-95252926,3760095252926,Sedacalm Shampoo calmante para cuero cabelludo sensible,ACM,200 ml,,,Cuidado personal,Dermatología,CAPILARES,367.5,500,10+1,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/SedacalmShampoo.jpg,dermaexpress,SEDACALM SHAMPOO CALMANTE 200ML
FC-70209648,3282770209648,A-Cutalgan Spray reparador y calmante,Aderma,100 ml,,Spray,Cuidado personal,Dermatología,CICATRIZANTES,337.22,479,,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282770209648.jpg,dermaexpress,A-CUTALGAN SPRAY 100ML
FC-70397673,3282770397673,A-Derma Exomega Control Crema de Noche Piel Atópica y Muy Seca,Aderma,400 ml,,Crema,Cuidado personal,Dermatología,LIMPIADORES,580.8,825,,https://cdn.shopify.com/s/files/1/0088/1937/6188/files/3282770397673_d7cb7a4f-d16a-4b8e-bbeb-652d3f1ca429.jpg,dermaexpress,EXOMGA CONTROL CREMA DE NOCH 400ML
FC-71057385,3282771057385,barra limpiadora para todo tipo de piel,Aderma,100 g,,,Cuidado personal,Dermatología,LIMPIADORES,147.84,209.99,,https://cdn.shopify.com/s/files/1/0088/1937/6188/products/3282771057385_2.jpg,dermaexpress,ADERMA BARRA 100GR
