sku,ean,fuente,nombre,marca
FC-91029192,5702191029192,dermaexpress,Leo Pharma Finacea Gel 15%,30 gr
FC-79443333,3282779443333,dermaexpress,Avène Kit Protector Solar Corporal en Spray FPS 50,200ml + Agua Termal 150ml
FC-71631381,8436571631381,dermaexpress,Babe Bálsamo hidratante en aceite,corporal 500ml.
FC-11329004,8437011329004,dermaexpress,Babe Aloe vera 100%,gel hidratante 300ml.
FC-14389081,8437014389081,dermaexpress,Babe Pasta al agua,crema pediatrica para piel irritada 100ml.
FC-70075687,3282770075687,dermaexpress,Avene Fluido mineral,protector solar fps50+ Sin Color
FC-79562102,3282779562102,dermaexpress,Aderma protect AH,crema reparadora hidratante 250ml.
FC-19683548,8050519683548,dermaexpress,KORFF Lápiz de Ojos Negro Larga Duración 1,05 g
FC-19684743,8050519684743,dermaexpress,KORFF Base Neverending Ultra Mat de Larga Duración SPF 30 – Tono 03,30 ml
FC-19680158,8050519680158,dermaexpress,KORFF Cure Make Up,Base Alisadora Efecto Anti-Rojeces 03 – 30 ml
FC-05034894,3504105034894,dermaexpress,Mustela Musti Agua de colonia para bebé 50 ml,MUSTELA
FC-05036027,3504105036027,dermaexpress,Mustela agua para peinar refrescante 200ml.,MUSTELA
FC-70398632,3282770398632,dermaexpress,Aderma Epitheliale Ultra Repair,Crema Reparadora Antimarcas 40gr.
FC-75917810,3337875917810,dermaexpress,La Roche-Posay Protector Solar Anthelios UV Air FPS 50+ Fluido ligero invisible oil-free para piel sensible,mixta y grasa 40 ml
FC-75917407,3337875917407,dermaexpress,La Roche-Posay Protector Solar Anthelios UVMune 400 Fluido Anti-manchas FPS 50+ para piel sensible,mixta y con tendencia a manchas 50 ml
FC-47869546,3401347869546,dermaexpress,Bioderma Cicabio,Crema reparadora 40ml.
FC-60936988,3401560936988,dermaexpress,Bioderma Atoderm Intensive Gel Moussant,Gel limpiador para piel seca e irritada 200ml.
FC-05038724,3504105038724,dermaexpress,Mustela Bio Orgánico Gel de Baño Refill 400 ml,MUSTELA
FC-34011931,3661434011931,dermaexpress,Uriage Cica-daily Sérum con centella asiática,ha y b5 30 ml
FC-76003048,853676003048,dermaexpress,M.A.D. Glycolic Age Diffusing Cleanser,limpiador con tratamiento exfoliante suave 200ml.
FC-20171763,8429420171763,dermaexpress,Isdin Bexident Aftas Colutorio,alivio rápido y duradero 120 ml
FC-20171756,8429420171756,dermaexpress,Isdin Bexident Aftas Spray Bucal,alivio rápido y duradero desde la 1ª aplicación 15ml.
FC-02460699,7502002460699,dermaexpress,Farmapiel Perfect Main Cells,gel Contorno de ojos 30/45 15gr.
FC-05035617,3504105035617,dermaexpress,Mustela Gel de Baño Suave 500 ml,MUSTELA
FC-06185521,7508006185521,dermaexpress,Panlalab Vitanoin AN Serum Facial Control de manchas,imperfecciones y acné 30 ml
FC-71324780,3337871324780,dermaexpress,Vichy Dermablend Compacto #25 Nude,Base de maquillaje en crema compacta
FC-79100582,5201279100582,dermaexpress,Apivita Protector Antiedad y Antimanchas con color SPF50,50ml.
FC-79100599,5201279100599,dermaexpress,Apivita Protector Antiedad y Antimanchas color dorado SPF50,50ml.
FC-70100273,3282770100273,dermaexpress,Avene Cold cream nutrition,balsamo para labios secos 4gr.
FC-34009181,3661434009181,dermaexpress,Uriage Age absolu Crema con retinol,ha y procolágeno 50 ml
FC-69770447,3760269770447,dermaexpress,Isispharma Sensylia Aqua Solución Micelar,desmaquilla
FC-79073176,5201279073176,dermaexpress,Apivita Jabón en barra natural con miel,limpieza suave 125 gr
FC-34008818,3661434008818,dermaexpress,Uriage Jabón sólido Piel limpia,suave e hidratada 125 g
FC-79444400,8429979444400,dermaexpress,Sesderma S-salises crema-gel,hidratación de pieles mixtas 50 ml
FC-11329905,8437011329905,dermaexpress,Babe Fluido Hidracalm corporal,Crema hidratante para piel sensible 500 ml
FC-01231104,3760201231104,dermaexpress,Etat Pur Activo Puro Aloe Vera,hidrata y regenera la piel 15ml.
FC-01231166,3760201231166,dermaexpress,Etat Pur Activo Puro D-Pantenol,fortalece e hidrata 15ml.
FC-81001485,7703281001485,dermaexpress,Umbrella kids,protector solar para niños 120gr.
FC-40038432,8430340038432,dermaexpress,Armstrong pilexil shampoo anticaspa,caspa seca 300ml.
FC-71308612,3337871308612,dermaexpress,Vichy Agua termal mineralizante Estabiliza,refuerza y renueva la piel 150 ml
FC-89804518,7501089804518,dermaexpress,Armstrong LETI AT4,gel de baño corporal 250ml.
FC-06182544,7508006182544,dermaexpress,Panalab Aminoter Shampoo,protección y reparación capilar 300ml.
FC-75847087,3337875847087,dermaexpress,La Roche-Posay Protector Solar Anthelios UVMune 400 Oil Control Fluido con color FPS 50+ para piel mixta,grasa y con tendencia al brillo 50 ml
FC-71321963,3337871321963,dermaexpress,Vichy Agua termal mineralizante Estabiliza,refuerza y renueva la piel 300 ml
FC-02460125,7502002460125,dermaexpress,Farmapiel Cicafarm Quemaduras,crema regeneradora 100gr.
FC-73697197,3401573697197,dermaexpress,Bioderma Nodé Shampoo Fluido sin Detergente,para cuero cabelludo 400ml. 400 ml
FC-02460682,7502002460682,dermaexpress,Farmapiel Perfect Main Cells Cream 30/45,hidratante anti-edad 50gr.
FC-69770539,3760269770539,dermaexpress,Isispharma glyco-A Post Peeling,Crema calmante reparadora para piel irritada y sensibilizada 40ml.
FC-33844998,,dermaexpress,Tarjeta de Regalo 1500 $1,500.00
FC-57532733,,dermaexpress,Tarjeta de Regalo 1000 $1,000.00
FC-69770041,3760269770041,dermaexpress,Isispharma neotone Aqua Solución Micelar,Desmaquillante para piel sensible y pigmentada
FC-75596763,3337875596763,dermaexpress,Vichy Mineral 89 Ojos Hidrata,suaviza y reduce ojeras 15 ml
FC-21752837,,birdman,Botella Shaker Birdman Azul,Birdman
FC-08530091,,birdman,Botella Shaker Birdman Negro,Birdman
FC-53534244,,birdman,Botella Shaker Birdman Rosa,Birdman
FC-39149283,,birdman,Toalla Birdman Secado Rápido - Gris,Birdman
FC-41351362,,birdman,Toalla Birdman Secado Rápido - Negra,Birdman
FC-59627477,,birdman,Harina de Almendras 1 kg,Birdman
FC-50020942,,birdman,Linaza Molida 500 gr,Birdman
FC-53935550,,birdman,Bebida Plant Based Almendra 946 ml,Birdman
FC-22161396,,birdman,Bebida Plant Based Chocolate 946 ml,Birdman
FC-01408792,,birdman,Bebida Plant Based Light 946 ml,Birdman
