sku,precio
FC-08443026,267.68
FC-68901131,36.9
FC-48335305,15.95
FC-83351381,13.2
FC-60403681,72.37
FC-95451096,156.0
FC-08485316,70.6
FC-70612368,142.24
FC-14982514,33.5
FC-22150221,21.94
FC-36033735,69.73
FC-66534951,20.58
FC-60009851,24.94
FC-60689091,16.96
FC-06257597,71.49
FC-83510531,13.0
FC-25104411,19.17
FC-25149221,19.17
FC-51448511,19.17
FC-56330309,79.19
FC-31244486,38.99
FC-35469151,42.49
FC-73629981,31.73
FC-DE106642,18.21
FC-01405335,21.25
FC-01157296,12.95
FC-19006371,16.84
FC-19006623,20.11
FC-46073040,15.53
FC-92506601,18.84
FC-07528939,38.99
FC-40013898,34.66
