sku,precio
FC-33954740,34.5
FC-84973401,227.0
FC-75354321,118.0
FC-02012468,125.0
FC-09419324,79.0
FC-FD845E68,334.0
FC-7D1D9857,32.5
FC-ACA2A2F6,133.0
FC-F4E9C71F,102.0
FC-7F90064A,85.0
FC-E4BE37BE,217.0
FC-D9391288,212.0
FC-C101D5B1,366.0
FC-82F88FED,58.0
FC-885F2723,80.0
FC-2005DD57,253.0
FC-74A5ABEE,239.0
FC-41339950,236.0
FC-9A4E4C31,135.0
FC-53506FA4,102.0
FC-5BC5F234,67.0
FC-BDB2E087,400.0
FC-C721E8D7,158.0
FC-C9F4ACCC,151.0
FC-11294615,55.0
FC-EADF1484,364.0
FC-3CAA7C5C,77.0
FC-3B001F9B,282.0
FC-E6B50AC3,457.0
FC-405A75E3,432.0
FC-60F627D5,45.5
FC-A2B284E0,423.0
FC-357D4A17,261.0
FC-6519183A,143.0
FC-D06E54FE,143.0
FC-DEAF33B0,87.0
FC-E4EFC4C2,266.0
FC-06134531,113.0
FC-08895196,43.0
FC-65095718,199.0
FC-22150801,32.5
FC-22105207,30.0
FC-31887928,97.0
FC-25104411,25.0
FC-25149221,25.0
FC-51448511,25.0
