sku,precio,confianza,nombre_fuente,sku_externo,reason,ratio,ean_levic,ean_fc,nombre
EQ-AVT216,8.54,100,AVT216 SOLTADOL 10 TAB 750 MG,AVT216,sku_eq,1.69,7502209858084,7502209858084,Soltadol 10 Tab 750 Mg
FC-9ABFB996,33.0,100,AVT204 ELAPHTERON 28 TAB 100 MG,AVT204,ean_exacto,1.07,7502209858251,7502209858251,Elaphteron
FC-A23F290E,38.74,100,AVT221 ZITRIASOL 15 CAP 100 MG,AVT221,ean_exacto,1.12,7502209858107,7502209858107,Zitriasol
EQ-AVT203,37.49,100,AVT203 CIDORIX  28 TAB 75 MG,AVT203,sku_eq,0.98,7502209858183,7502209858183,Cidorix 28 Tab 75 Mg
EQ-BEA416,5.61,100,BEA416 METOCLOPRAMIDA 20 TAB 10 MG,BEA416,sku_eq,1.04,7501342804385,7501342804385,Metoclopramida 20 Tab 10 Mg
FC-28833707,19.13,100,BEA302 LEVOFLOXACINO 7 TAB 500 MG,BEA302,ean_exacto,1.02,7501342802954,7501342802954,Levofloxacino 500 mg Caja con 7 tabletas beadvance
EQ-AVT213,9.09,100,AVT213 MENFLIXIL 14 TAB 7.5 MG,AVT213,sku_eq,1.72,7502209858046,7502209858046,Menflixil 14 Tab 7.5 Mg
EQ-BEA403,34.13,100,BEA403 TAMSULOSINA 20 CAPS 0.4 MG,BEA403,sku_eq,1.06,7502209851528,7502209851528,Tamsulosina 20 Caps 0.4 Mg
EQ-AVT205,25.0,100,AVT205 ELAPHTERON 28 TAB 25 MG,AVT205,sku_eq,0.98,7502209858237,7502209858237,Elaphterón 28 Tab 25 Mg
EQ-BEA313,21.79,100,BEA313 DEXAMETASONA 20 TAB 1 MG,BEA313,sku_eq,0.98,7501342803067,7501342803067,Dexametasona 20 Tab 1 Mg
FC-EADF1484,40.38,100,BEA428 DIOSMINA HESPERIDINA 20 TAB 450/50 MG,BEA428,ean_exacto,1.02,7501342804484,7501342804484,Diosmina Hesperidina
EQ-BEA336,37.81,100,BEA336 NEOMI/CAO/PECTI 20TAB 129/280/30 MG,BEA336,sku_eq,1.02,7501342804583,7501342804583,Neomi/Cao/Pecti 20tab 129/280/30 Mg
EQ-BEA379,27.77,100,BEA379 ESPIRONOLACTONA 20 TAB 25MG,BEA379,sku_eq,1.03,7501342803814,7501342803814,Espironolactona
FC-42803524,15.22,100,BEA364 ACIDO ACETILSALICILICO 30 TAB 100MG,BEA364,ean_exacto,1.02,7501342803524,7501342803524,Ácido acetilsalicílico 100 mg Caja con 30 tabletas beadvance
EQ-BEA429,14.74,100,BEA429 METFORMINA 30 TAB 850 MG,BEA429,sku_eq,1.03,7501342802565,7501342802565,Metformina 30 Tab 850 Mg
FC-ACA2A2F6,22.05,100,BEA434 ALOPURINOL 20 TAB 300 MG,BEA434,ean_exacto,1.03,7501342804309,7501342804309,Alopurinol 300 mg
EQ-BEA342,7.25,100,BEA342 DEXAMETASONA 20 TAB 0.5 MG,BEA342,sku_eq,1.64,7501342803418,7501342803418,Dexametasona 20 Tab 0.5 Mg
EQ-BEA338,6.51,100,BEA338 PREDNISONA 5MG C/BLISTER 20TAB BEA,BEA338,sku_eq,1.0,7501342803104,7501342803104,Prednisona 5mg C/Blister 20tab Bea
EQ-BEA426,10.74,100,BEA426 OXIDO DE ZINC 1 PASTA 30 G,BEA426,sku_eq,1.03,7501342804590,7501342804590,Oxido De Zinc 1 Pasta 30 G
EQ-BEA368,40.22,100,BEA368 NIFEDIPINO 30 COMP 30 MG,BEA368,sku_eq,1.03,7501342803807,7501342803807,Nifedipino 30 Comp 30 Mg
FC-33950100,47.72,100,LIV030 ENSURE CHOCOLATE 1 FRASCO 237 ML,LIV030,ean_exacto,1.14,7501033954061,7501033954061,Ensure chocolate
FC-33954078,47.81,100,LIV031 ENSURE FRESA 1 FRASCO 237 ML,LIV031,ean_exacto,1.14,7501033954078,7501033954078,Ensure Fresa
FC-33950070,47.66,100,LIV032 ENSURE VAINILLA 1 FRASCO 237 ML,LIV032,ean_exacto,1.13,7501033954085,7501033954085,Ensure vainilla
FC-33956133,50.1,100,LIV114 GLUCERNA CHOCOLATE 1 FRASCO 237 ML,LIV114,ean_exacto,1.05,7501033956133,7501033956133,Glucerna chocolate
FC-33956140,50.21,100,LIV113 GLUCERNA FRESA 1 FRASCO 237 ML,LIV113,ean_exacto,1.06,7501033956140,7501033956140,Glucerna fresa
FC-33956126,50.37,100,LIV112 GLUCERNA VAINILLA 1 FRASCO 237 ML,LIV112,ean_exacto,1.06,7501033956126,7501033956126,Glucerna Vainilla
FC-3961366,26.57,100,LIV257 PEDIALYTE SR 60 MEQ COCO 500 ML,LIV257,ean_exacto,1.12,7501033961366,7501033961366,Pedialyte SR Coco 500 ml
FC-33961373,26.56,100,LIV258 PEDIALYTE SR 60 MEQ FRESA 500 ML,LIV258,ean_exacto,1.12,7501033961373,7501033961373,Suero Pedialyte Sr fresa
FC-33954740,26.01,100,LIV259 PEDIALYTE SR 60 MEQ MANZANA 500 ML,LIV259,ean_exacto,1.09,7501033954740,7501033954740,Suero Pedialyte Sr Manzana
FC-33956775,26.25,100,LIV256 PEDIALYTE SR 60 MEQ UVA 500 ML,LIV256,ean_exacto,1.1,7501033956775,7501033956775,Suero Pedialyte Sr Uva
FC-33951008,47.0,100,LIV117 PEDIASURE CHOCOLATE 1 FRASCO 237 ML,LIV117,ean_exacto,1.07,7501033956317,7501033956317,Pediasure chocolate
FC-33950063,46.85,100,LIV116 PEDIASURE FRESA 1 FRASCO 237 ML,LIV116,ean_exacto,1.06,7501033956331,7501033956331,Pediasure fresa
FC-33950209,46.78,100,LIV115 PEDIASURE VAINILLA 1 FRASCO 237 ML,LIV115,ean_exacto,1.06,7501033956294,7501033956294,Pediasure vainilla
