sku,precio,confianza,nombre_fuente,sku_externo,ean_fc,nombre,costo
FC-C9F4ACCC,49.64,100,ACEMETACINA 90MG CAPS C14,D 3401779,7502216800984,Acemetacina,51.43
FC-FD845E68,57.22,100,ACICLOVIR 400MG TAB C35,3401077,7501349028791,Aciclovir,64.09
FC-11780359,19.58,100,AFLUSIL 120ML,3400007,7502211780359,Aflusil (Ibuprofeno) suspensión 2 g/100 mL,19.6
FC-25116810,25.96,100,AGRIFEN TAB C10,A 65002,7501125116810,Agrifen,19.5
FC-8505003,64.95,100,ALIN AMP 2ML C1,A 103003,7501088505003,Alin Dexametasona 8 mg/2 mL amp,68.8
FC-053610,135.29,100,ALLI-TRIPLE TAB C10,E 109703,650240053610,Alli-Triple C/10 tabletas,58.8
FC-40013805,102.94,100,ALLIVIAX 550MG TAB C10,E 109701,650240013805,Alliviax desinflamatorio 550 mg 10 tabletas,59.29
FC-BE76D409,17.59,100,AMCEF IM 1G IM 3.5ML,3400265,7501349012004,Amcef IM 1 g (Inyectable),19.72
FC-07F04F88,17.45,100,AMCEF IM 500MG SOL 2ML,3400258,7501349011007,Amcef IM 500 mg (Inyectable),19.43
FC-4A0245DA,31.03,100,AMLODIPINO 5MG TAB C100,D 3401214,7502216804814,Amlodipino,32.52
FC-3B001F9B,10.72,100,AMLODIPINO 5MG TAB C30,D 3401315,7502216804661,Amlodipino,9.04
FC-A0D320D1,18.38,100,AMOXICILINA 500MG CAP C12,3400611,,Amoxicilina,18.37
FC-F82A6E4B,26.81,100,AMPICILINA 1G TAB C10,3401304,7501349022881,Ampicilina,27.05
FC-88508929,138.56,100,ANARA TAB C20,A 177002,7501088508929,Anara,162.6
FC-01508201,162.87,100,ANTIFLU DES CAP C24,A 204001,7501088509773,Antiflu-Des C/24,156.6
FC-85097661,125.02,100,ANTIFLU DES JR SOL 60ML,A 204005,7501088509766,Antiflu-Des Jr Antigripal,125.34
FL-8509810,141.04,100,ANTIFLU DES PED 30ML,A 204004,7501088509810,Antiflu-Des pediátrico solución 30 ml,145.98
