descripcion,sustancia,codigo_marzam,precio,oferta_pct,proveedor,precio_farmacia,precio_con_oferta
ABRETIA 30MG CAP C14,DULOXETINA CLORHIDRATO D,11002,543.19,9.09,SIEGFRIED RHEIN S,597.5,543.19
ABRETIA 30MG CAP C7,DULOXETINA CLORHIDRATO D,11001,301.71,9.09,SIEGFRIED RHEIN S,331.88,301.71
ABRETIA 60MG CAP C14,DULOXETINA CLORHIDRATO D,11003,587.51,9.09,SIEGFRIED RHEIN S,646.25,587.51
ABRETIA 60MG CAP LIB R C28,DULOXETINA CLORHIDRATO D,11004,1053.99,9.09,SIEGFRIED RHEIN S,1159.38,1053.99
ACICRAN KIDS SUPL ALIM SOB C30,SUPLEMENTO,C 20304,622.12,10.76,SERVICIOS PROMO,697.13,622.12
ACICRAN MIX SUPL ALIM SOB C30,SUPLEMENTO,C 20303,619.3,10.76,SERVICIOS PROMO,693.97,619.3
ACIDO ALENDRONICO 10MG TAB C30,ALENDRONATO SODICO,3401036,26.16,0.0,ANTIBIOTICOS DE M,26.16,26.16
ACIDO ASCORBICO 10ML AMP C6,LISINA CLONIXINATO DE,3401458,231.77,0.0,ANTIBIOTICOS DE M,231.77,231.77
ACLARIUM 500MG TAB C3,AZITROMICINA,27001,216.48,9.09,WESER PHARMA SA,238.13,216.48
ACLARIUM 500MG TAB C5,AZITROMICINA,27002,280.68,9.09,WESER PHARMA SA,308.75,280.68
ADALIR CRA TBO 40G,BETAMETASONA,38801,171.59,9.09,SIEGFRIED RHEIN S,188.75,171.59
ADENEX 24MG CJA C/30 TAB,BETAHISTINA CLORHIDRATO D,A 45101,428.35,0.0,LABORATORIOS PIS,428.35,428.35
AGRELESS 75MG FCO TAB C14,CLOPIDOGREL,64401,518.19,9.09,SIEGFRIED RHEIN S,570.0,518.19
AGRELESS 75MG FCO TAB C28,CLOPIDOGREL,64402,932.4,9.09,SIEGFRIED RHEIN S,1025.63,932.4
AGRIFEN LUB ACTIVE AD SOL100ML,SODIO CLORURO DE,A 65013,112.52,0.0,LABORATORIOS PIS,112.52,112.52
AGRIFEN LUB ACTIVE INF SOL50ML,SODIO CLORURO DE,A 65014,106.34,0.0,LABORATORIOS PIS,106.34,106.34
AGRIFEN NCHE 500/5/4MG TAB C10,PARACETAMOL,A 65012,25.96,0.0,LABORATORIOS PIS,25.96,25.96
AGUA ESTERIL IRRIG PLAS 1000ML,AGUA INYECTABLE,A 67041,45.76,0.0,LABORATORIOS PIS,45.76,45.76
AGUA INY 3ML AMP PLAST C100,AGUA INYECTABLE,A 66504,346.04,0.0,LABORATORIOS PIS,346.04,346.04
