sku,nombre,principio_activo,concentracion,presentacion,presentacion_completa,marca,termino_busqueda_sugerido
FC-F22C72BE,12H,AMOXICILINA/AC. CLAVULANICO,875/125 MG,10 TABLETAS,875/125 MG · 10 TABLETAS · TABLETAS,Clamoxin,AMOXICILINA/AC. CLAVULANICO 875/125 MG · 10 TABLETAS · TABLETAS
FC-1FEA2FB7,Amikacina,AMIKACINA,500MG/2 ML,1 AMPOLLETA,500MG/2 ML · 1 AMPOLLETA · AMPOLLETA,,AMIKACINA 500MG/2 ML · 1 AMPOLLETA · AMPOLLETA
FC-347A49C7,Amikacina,AMIKACINA,100 MG/2 ML,1 AMPOLLETA,100 MG/2 ML · 1 AMPOLLETA · AMPOLLETA,,AMIKACINA 100 MG/2 ML · 1 AMPOLLETA · AMPOLLETA
FC-D210172A,Ampicilina,AMPICILINA,1 G/5 ML,1 FRASCO AMPULA,1 G/5 ML · 1 FRASCO AMPULA · FRASCO AMPULA,,AMPICILINA 1 G/5 ML · 1 FRASCO AMPULA · FRASCO AMPULA
FC-F82A6E4B,Ampicilina,AMPICILINA,1 G,10 TABLETAS,1 G · 10 TABLETAS · TABLETAS,,AMPICILINA 1 G · 10 TABLETAS · TABLETAS
FC-9B93AC4C,Beneventol,BENEVENTOL,100MG/5 ML/50 ML,1 SUSPENSION,100MG/5 ML/50 ML · 1 SUSPENSION · SUSPENSION,,BENEVENTOL 100MG/5 ML/50 ML · 1 SUSPENSION · SUSPENSION
FC-369D1689,Beneventol,BENEVENTOL,400 MG,6 CAPSULAS,400 MG · 6 CAPSULAS · CAPSULAS,,BENEVENTOL 400 MG · 6 CAPSULAS · CAPSULAS
FC-4BD80686,Beneventol,BENEVENTOL,400 MG,3 CAPSULAS,400 MG · 3 CAPSULAS · CAPSULAS,,BENEVENTOL 400 MG · 3 CAPSULAS · CAPSULAS
FC-2EDC6E3B,Cefagen,CEFALEXINA,250 MG,10 TABLETAS,250 MG · 10 TABLETAS · TABLETAS,Cefagen,CEFALEXINA 250 MG · 10 TABLETAS · TABLETAS
FC-A455EE80,Cefagen,CEFALEXINA,250MG/5/50 ML,1 SUSPENSION,250MG/5/50 ML · 1 SUSPENSION · SUSPENSION,Cefagen,CEFALEXINA 250MG/5/50 ML · 1 SUSPENSION · SUSPENSION
FC-E374F23E,Cefagen,CEFALEXINA,125MG/5/50 ML,1 SUSPENSION,125MG/5/50 ML · 1 SUSPENSION · SUSPENSION,Cefagen,CEFALEXINA 125MG/5/50 ML · 1 SUSPENSION · SUSPENSION
FC-443C330E,Cefagen,CEFALEXINA,500 MG,10 TABLETAS,500 MG · 10 TABLETAS · TABLETAS,Cefagen,CEFALEXINA 500 MG · 10 TABLETAS · TABLETAS
FC-6EAD98A9,Cepobrom,CEFADROXIL,500/0.782 MG,12 CAPSULAS,500/0.782 MG · 12 CAPSULAS · CAPSULAS,Cepobrom,CEFADROXIL 500/0.782 MG · 12 CAPSULAS · CAPSULAS
