sku,nombre,principio_activo,presentacion,marca,categoria,precio_fc,costo_fc
FC-07521317,Gotero cristal,,,Genérico,Botiquín,7,1.2
FC-01246730,Vicks Vaporub pomada 12 g,,12 G,Vicks,Botiquín,42,21.25
FC-03406501,Quirmex,,25 CM x 5 M,Quirmex,Botiquín,29.8,18.62
FC-03406600,Quirmex,,,Quirmex,Botiquín,143.53,89.7
FC-08344488,Lactopram,,430 MG · C/20,Lactopram,Otro,45.94,28.71
FC-08344747,Afrodit,,400 UI,Afrodit,Producto,72.13,45.08
FC-08443026,Alka-Seltzer,,C/100,Alka-Seltzer,Otro,340.6,262.0
FC-08491096,Cafiaspirina Tar C/100,,C/100,Cafiaspirina,Otro,347.94,217.46
FC-08496701,Aspirina Eferv,,C/12,Aspirina,Otro,45.74,35.18
FC-08498798,Bepanthen Multiusos Pomada 30 Multiusos Pomada,,,Bepanthen,GENERAL,101.2,63.25
FC-5C8C9C11,Gelubrin,,10 CAPSULAS,Gelubrin,Otro,28.54,21.95
FC-65095947,Centrum Tab 1 Tab,,C/30,Centrum,GENERAL,232.0,178.46
FC-02012475,Vicks Vaporub ungüento 100 G,,100 G,Vicks,Botiquín,188.0,125.12
FC-66055303,Meditest Prueba Embarazo,,C/1,Meditest,Producto,19.74,15.18
FC-66534951,Colgate Total,,1 tubo,Colgate,Higiene,36.69,22.93
FC-67905131,Blumen Cherry Bloss,,221 ML,Blumen,Higiene,28.45,17.78
FC-67905186,Blumen Coconut Para,,221 ML,Blumen,Higiene,24.0,16.7
FC-55280956,Desodorante Obao Men Tattoo Rebel (Hombre),,R-ON 65 G,Obao,Higiene,87.49,25.83
FC-68900127,Gasa 10 x 10,,PAQ 10,Dibar,Botiquín,197.73,123.58
FC-1DA570E3,Cloxan,,20 COMPRIMIDOS,Cloxan,Otro,12.68,9.75
FC-23001331,Sr I Ting,,,Sr,Producto,117.76,73.6
FC-23273451,Jeringa insulina 0.5 ml,,C/100,Jayor,Botiquín,282.36,217.2
FC-24511711,Silica Shine Sily 3/1 Mora,,120 ML,Silica Shine,Higiene,73.03,45.64
FC-25104268,Electrolit Fresa,,625 ML,Electrolit,Higiene,32.81,20.5
FC-27512574,Evenflo Colors,,,Evenflo,Bebés,25.28,15.8
FC-29003221,Quirmex,,,Quirmex,Botiquín,5.93,3.7
FC-2E5B7248,Reumatol,,60 G,Del Viejito,Producto,17.61,11.0
FC-30133021,Iri,,,Iri,Otro,437.48,273.42
FC-33950100,Ensure chocolate,,236 ML,Ensure,Suplemento,63.0,42.0
FC-68900134,Gasa Lox10 C/100,,C/100,Dibar,Producto,174.21,108.88
FC-6898B64F,Bioerter,,1 SUSPENSION,Bioerter,Otro,62.02,47.7
FC-6B2ADEE9,Protect aerosol 200 dosis,,12.80 G,Protect,GENERAL,125.08,96.21
FC-6C2878CF,Susp 125 Mg/Ml,,5 AMPOLLETA,Budenova,Otro,169.32,130.24
FC-70612368,Treda,,C/20,Treda,Otro,198.0,152.0
FC-72300171,Ting polvo decolorante,,85 G,Ting,Cuidado personal,113.0,80.46
FC-68960257,Alcohol Etilico Rojo 96°,,1 L,Dibar,Botiquín,80,53.2
FC-68990023,Alcohol Etilico Rojo 96°,,500 ML,Dibar,Botiquín,1082.96,28.2
FC-33950063,Pediasure fresa,,236 ML,Pediasure,Suplemento,66,44
FC-72629012,Colgate Adulto Med 40 C12,,,Colgate,Higiene,136.0,96.63
FC-3676D5DC,Mercurio Espiritus Tomar 1760823,,C/25,Mercurio,Producto,9.61,6.0
FC-38CAFE6B,Mercurio Aceite Romero 1910923,,C/25,Mercurio,Producto,12.8,8.0
FC-39036C88,Mercurio Glicerina 1230723 83125,,C/25,Mercurio,Producto,19.21,12.0
FC-42270027,Nivea Cuidada Clar-Nat,,200 ML,Nivea,Cuidado personal,137.4,85.87
FC-80950139,Lásico enzimático,,Caja,Lásico,Producto,68.0,42.5
FC-43454811,Toallitas húmedas cuidado puro,,C/80,Huggies,Higiene,63.37,39.6
FC-43471900,Toallitas húmedas C/120,,C/120,Absorsec,Higiene,34.34,21.46
FC-45079011,Labello,,,Labello,Otro,90.4,56.5
FC-47AAF23B,Mercurio Sulfatiazol Polvo 1710824,,C/50,Mercurio,Producto,110.4,69.0
FC-48335305,Degasa 15.00 Agua Oxigenada,,480 ML,Degasa,Botiquín,23.52,14.7
FC-73629981,Kleenex Panuelos Pack C/8 1,,C/8,Kleenex,Higiene,53.28,33.3
FC-75069223,Rexona Mot-Sen Sport Stick,,,Rexona,Higiene,60.0,42.82
FC-76000284,Vitacilina Ros-Sab,,500 ML,Vitacilina,Cuidado personal,115.0,81.47
FC-77FE5C83,S,,1 CREMA,Sonblefam,Otro,42.14,32.41
FC-79400556,Sanfer Syncol,,871210734092301 TABLETAS,Sanfer,Otro,139.62,107.4
FC-75076009,Rexona 48H Happy (Mujer),,STICK 45 G,Rexona,Higiene,85.6,51.5
FC-77620056,Agua destilada La Flor,,1 L,La Flor,Botiquín,29,19
FC-01157296,Naturella flujo moderado con alas,,C/8,Naturella,Higiene,26,17
