sku,producto_id,fuente,precio,confianza,etiqueta,origen_csv,notas
FC-67905186,194,fahorro,25.0,90,alta,Farmacias del Ahorro,Claude 20260815 · Blumen Coconut Paradise 221ml
FC-72300171,221,fahorro,124.95,90,alta,Farmacias del Ahorro,Claude 20260815 · Ting polvo decolorante 85g
FC-75125811,368,fahorro,23.9,90,alta,Mi Tienda del Ahorro,Claude 20260815 · Evenflo Biberón Colors Flujo Lento 4oz/120ml - Disponible. SKU público: 466510
FC-82176351,500,fahorro,300.0,75,media,Fahorro/Klyns/Farmatodo,Claude 20260815 · Neurobion DC 100/100/25mg C/1 inyectable. Precio base estimado $300 (rango $274-$312 según fuente). SKU FC-82176351 no encontrado en catálogos; posible discrepancia de SKU interno.
FC-33950209,361,otros_venta,699.0,60,dudoso,Walmart MX,Claude 20260815 · Pediasure 237ml (con descuento)
FC-33951008,359,otros_venta,699.0,60,dudoso,Walmart MX,Claude 20260815 · Pediasure 236ml (con descuento)
FC-63975795,96,otros_venta,103.0,60,dudoso,vitau.mx,"Claude 20260815 · Gentamicina (forma inyectable, no tabletas)"
FC-72C28BC1,23,otros_venta,113.0,60,dudoso,vitau.mx,Claude 20260815 · Nitrofurantoína (encontrado Krobicin - Claritromicina)
FC-75163051,366,otros_venta,186.0,60,dudoso,Amazon MX,Claude 20260815 · Evenflo Biberón (múltiples modelos)
FC-00003920,342,similares,16.0,60,dudoso,Similares,Claude 20260815 · CREMA DE ARNICA 30GR.. (Score: 57%)
FC-00701992,327,similares,234.0,60,dudoso,Similares,Claude 20260815 · CREMA ANTIARRUGAS 40+ 50GR ETERNAL SEC.. (Score: 52%)
FC-00942760,291,similares,88.0,60,dudoso,Similares,Claude 20260815 · TOALLA FACIAL AZUL.. (Score: 61%)
FC-00E8A9C7,556,similares,80.01,60,dudoso,Similares,Claude 20260815 · TURNO GOLFITO.. (Score: 54%)
FC-01157296,357,similares,28.0,60,dudoso,Similares,Claude 20260815 · BALSAMO HIDRAT NATURAL 4GR BLUE MOON.. (Score: 55%)
FC-01303454,243,similares,98.0,60,dudoso,Similares,Claude 20260815 · DESODORANTE ANTI CREMA DAM 45GR SECRET.. (Score: 55%)
FC-01405335,358,similares,16.5,60,dudoso,Similares,Claude 20260815 · TOALLA SANITARIA NOCT C/ALAS 5PZAS.. (Score: 59%)
FC-06217461,222,similares,199.0,60,dudoso,Similares,Claude 20260815 · HONGO MELENA LEON/CORDYCEPS/REISHI 150GR.. (Score: 58%)
FC-06226852,213,similares,249.0,60,dudoso,Similares,Claude 20260815 · PLAYERA NIÑO MD BLANCA SIMIPLANETA.. (Score: 53%)
FC-06230507,189,similares,69.0,60,dudoso,Similares,Claude 20260815 · PROTEINA XGEAR BARRA VAINILLA 58GR.. (Score: 61%)
FC-06234062,249,similares,149.0,60,dudoso,Similares,Claude 20260815 · PRUEBA RAPIDA ANTIGENOS COVID-19 1PZA.. (Score: 59%)
FC-06241206,196,similares,118.0,60,dudoso,Similares,Claude 20260815 · JUEGO DE MEMORAMA.. (Score: 53%)
FC-06247468,272,similares,71.0,60,dudoso,Similares,Claude 20260815 · JABON DE AZUFRE C/ACIDO SALICILICO 100GR.. (Score: 56%)
FC-06248045,207,similares,79.0,60,dudoso,Similares/Higiene,Claude 20260815 · Estimado por categoría Higiene
FC-06248052,206,similares,300.0,60,dudoso,Similares,Claude 20260815 · KIT DE PERRITO.. (Score: 57%)
FC-06249226,247,similares,132.0,60,dudoso,Similares,Claude 20260815 · SALES DE POTASIO 50TAB  EFERVESCENTES.. (Score: 55%)
FC-06249240,246,similares,44.0,60,dudoso,Similares,Claude 20260815 · PALETAS MIEL DE ABEJA 16PZAS PALETOSIMI.. (Score: 55%)
FC-06249776,242,similares,27.0,60,dudoso,Similares,Claude 20260815 · CEPILLO DENTAL INF 1PZA.. (Score: 57%)
FC-06249783,238,similares,27.0,60,dudoso,Similares,Claude 20260815 · CEPILLO DENTAL INF 1PZA.. (Score: 57%)
FC-07457796,244,similares,85.0,60,dudoso,Similares,Claude 20260815 · DESODORANTE ANTI GEL CAB 82GR GILLETTE.. (Score: 57%)
FC-07457826,235,similares,85.0,60,dudoso,Similares,Claude 20260815 · DESODORANTE ANTI GEL CAB 82GR GILLETTE.. (Score: 57%)
FC-07502441,297,similares,46.0,60,dudoso,Similares,Claude 20260815 · PIN SIMI LENTES.. (Score: 53%)
FC-07521317,356,similares,88.0,60,dudoso,Similares,Claude 20260815 · TOALLA FACIAL GRIS.. (Score: 55%)
FC-07528939,301,similares,23.0,60,dudoso,Similares,Claude 20260815 · DEXTROMETORFANO JBE 120ML.. (Score: 52%)
FC-08802838,287,similares,339.0,60,dudoso,Similares,Claude 20260815 · ALCANCIA DR SIMI.. (Score: 56%)
