sku,producto_id,fuente,precio,confianza,origen,notas
FC-00422511,114,fahorro,87.0,100,manual,Restaurado backup UI 2026-08-14
FC-02012468,439,fahorro,125.0,100,manual,Restaurado backup UI 2026-08-14
FC-02012475,438,fahorro,175.0,90,manual,Claude 20260815 · Vicks Vaporub ungüento 100g
FC-06134531,444,fahorro,113.0,90,import_csv,Restaurado import_fahorro_listo.csv
FC-08496701,484,fahorro,43.0,100,manual,Restaurado backup UI 2026-08-14
FC-08895196,487,fahorro,43.0,90,import_csv,Restaurado import_fahorro_listo.csv
FC-08DB70CB,547,fahorro,43.5,100,manual,Restaurado backup UI 2026-08-14
FC-09419324,311,fahorro,79.0,100,manual,Restaurado backup UI 2026-08-14
FC-11294615,75,fahorro,55.0,100,manual,Restaurado backup UI 2026-08-14
FC-1FEA2FB7,76,fahorro,55.0,100,manual,Restaurado backup UI 2026-08-14
FC-2005DD57,32,fahorro,253.0,100,manual,Restaurado backup UI 2026-08-14
FC-22105207,181,fahorro,30.0,100,manual,Restaurado backup UI 2026-08-14
FC-22150801,186,fahorro,32.5,100,manual,Restaurado backup UI 2026-08-14
FC-25104411,401,fahorro,25.0,100,manual,Restaurado backup UI 2026-08-14
FC-25149221,402,fahorro,25.0,90,import_csv,Restaurado import_fahorro_listo.csv
FC-31887928,322,fahorro,97.0,100,manual,Restaurado backup UI 2026-08-14
FC-33954740,391,fahorro,34.5,90,import_csv,Restaurado import_fahorro_listo.csv
FC-33956775,388,fahorro,34.5,100,manual,Restaurado backup UI 2026-08-14
FC-347A49C7,126,fahorro,43.0,100,manual,Restaurado backup UI 2026-08-14
FC-357D4A17,123,fahorro,261.0,100,manual,Restaurado backup UI 2026-08-14
FC-36041273,582,fahorro,73.0,100,manual,Restaurado backup UI 2026-08-14
FC-3B001F9B,103,fahorro,282.0,100,manual,Restaurado backup UI 2026-08-14
FC-3CAA7C5C,91,fahorro,77.0,100,manual,Restaurado backup UI 2026-08-14
FC-405A75E3,57,fahorro,432.0,100,manual,Restaurado backup UI 2026-08-14
FC-41339950,41,fahorro,236.0,100,manual,Restaurado backup UI 2026-08-14
FC-492D652F,25,fahorro,100.0,100,manual,Restaurado backup UI 2026-08-14
FC-51448511,400,fahorro,25.0,100,manual,Restaurado backup UI 2026-08-14
FC-53506FA4,152,fahorro,102.0,100,manual,Restaurado backup UI 2026-08-14
FC-54504535,292,fahorro,121.0,100,manual,Restaurado backup UI 2026-08-14
FC-5BC5F234,144,fahorro,67.0,100,manual,Restaurado backup UI 2026-08-14
FC-5F30F9D4,52,fahorro,143.0,100,manual,Restaurado backup UI 2026-08-14
FC-60689091,510,fahorro,20.0,100,manual,Restaurado backup UI 2026-08-14
FC-60F627D5,21,fahorro,45.5,100,manual,Restaurado backup UI 2026-08-14
FC-65095718,482,fahorro,199.0,90,import_csv,Restaurado import_fahorro_listo.csv
FC-65095947,459,fahorro,135.0,70,manual,Claude 20260815 · Centrum Tab C/30 - versión estándar
FC-6519183A,65,fahorro,143.0,100,manual,Restaurado backup UI 2026-08-14
FC-66888171,503,fahorro,42.0,100,manual,Restaurado backup UI 2026-08-14
FC-68901117,348,fahorro,55.0,100,manual,Restaurado backup UI 2026-08-14
FC-68901124,349,fahorro,63.0,100,manual,Restaurado backup UI 2026-08-14
