sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
4260,DAPAGLIFLOZINA 10MG 28 TABLETAS (GENERICO),,449.0,Diabetes,Medicamentos,tableta,28,10mg,dapagliflozina,https://www.farmaciasdesimilares.com/dapagliflozina_100mg_28tab_gen/p,vtex
3933,CREATINA 5GR POLVO 500GR XGEAR,,450.0,Complementos,Deportistas,polvo,,500000mg 5000mg,creatina,https://www.farmaciasdesimilares.com/creatina_5gr_polvo_500gr_xgear/p,vtex
3548,CREATINA 5 GR XGEAR 150 GR POLVO 1 PIEZA,,240.0,Complementos,Deportistas,polvo,1,150000mg 5000mg,creatina,https://www.farmaciasdesimilares.com/xgear_creatina_5gr_polvo_150gr_xgear/p,vtex
2342,PINAVERIO / DIMETICONA  100/300 MG 16 CAPSULAS,,189.0,Colitis,Funcionamiento gastrointestinal,capsula,16,300mg,pinaverio + dimeticona,https://www.farmaciasdesimilares.com/pinaveriodimeticona_100300mg_16cap/p,vtex
940,GASA 10X10 10 SOBRES,,21.0,Material de curación,"Higiene, curación y diagnóstico",sobre,10,,,https://www.farmaciasdesimilares.com/gasa_10x10_caja_10_sobres/p,vtex
74,COMPLEJO B (VITAMINAS B1 / B6 / B12) 30 TABLETAS,,23.0,Multivitamínico,Medicamentos,tableta,30,,complejo,https://www.farmaciasdesimilares.com/complejo_b_30tab/p,vtex
2315,IBUPROFENO CAPSULAS 600MG 10 CAPSULAS,,34.0,Analgésicos,Medicamentos,capsula,10,600mg,ibuprofeno,https://www.farmaciasdesimilares.com/ibuprofeno_600mg_10cap/p,vtex
162,PARACETAMOL 500 MG 10 TABLETAS,,8.0,Analgésicos,Analgesia,tableta,10,500mg,paracetamol,https://www.farmaciasdesimilares.com/paracetamol_500mg_10tab/p,vtex
1441,SERTRALINA 50 MG 14 TABLETAS,,84.5,Enfermedades mentales,Medicamentos,tableta,14,50mg,sertralina,https://www.farmaciasdesimilares.com/sertralina_50mg_14tab/p,vtex
1126,MISOPROSTOL 200 MCG 28 TABLETAS,,499.0,Funcionamiento gastrointestinal,Medicamentos,tableta,28,200mcg,misoprostol,https://www.farmaciasdesimilares.com/misoprostol_200mcg_28tab/p,vtex
