sim_sku,descripcion,marca,precio,linea,jerarquia,forma,cantidad,concentraciones,ingredientes,link,fuente
1,AC NALIDIXICO/FENAZOPIRI 20TAB,AZO URONALIN,64.0,ANTIBIOTICOS,MEDICAMENTOS,tableta,20,500mg 50mg,nalidixico + fenazopiri,,excel
10,TRETINOINA (AC RETINOICO) CREMA 30GR,ACNIL,51.0,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,crema,,30000mg 50mg,tretinoina,,excel
100,FENAZOPIRIDINA 100MG 20TAB,ALVENA,27.0,ANTIBIOTICOS,MEDICAMENTOS,tableta,20,100mg,fenazopiridina,,excel
101,NAFAZOLINA/FENIRA SOL OFT 15ML,EYRASIL,27.0,OFTALMOLOGICOS,MEDICAMENTOS,solucion,,0.16mg 15ml 3mg,nafazolina + fenira,,excel
1011,BIBERON DE 8ONZ C/MAMILA,,24.01,MATERNIDAD Y LACTANTES,MATERNIDAD,,1,,biberon,,excel
102,FLUCONAZOL 100MG 10TAB O CAP,AFUNGIL,179.0,ANTIMICOTICOS,MEDICAMENTOS,tableta,10,100mg,fluconazol,,excel
103,FLUNARIZINA 5MG 40TAB,BREFLUMAR,42.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,40,5mg,flunarizina,,excel
1031,QUINFAMIDA/ALBEND 100/200MG 10ML PED,DUBIRIX,36.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,100mg 10ml 200mg,quinfamida + albend,,excel
1036,PROBIOTICOS 30TAB MAST UVA SIMIPROBIOT,,51.0,ESTOMACALES (GASTRO),SUPLEMENTOS,tableta,30,,probioticos,,excel
104,FLUOCINOLONA CREMA 20GR,CORTIDEM CREMA,17.5,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,crema,,100000mg 10mg 20000mg,fluocinolona,,excel
1058,TOALLAS HUMEDAS P/BEBE 80PZAS SIMIBABY,,47.01,MATERNIDAD Y LACTANTES,MATERNIDAD,,80,,toallas,,excel
1060,GOMITAS VIT/MINE 60PZAS SABORES SIMIGOMI,,88.0,MULTIVITAMINICOS,SUPLEMENTOS,,60,,gomitas,,excel
1062,SIMIFILA CLOROFILA LIQ 250ML,,57.0,ESTOMACALES (GASTRO),SUPLEMENTOS,solucion,,250ml,simifila,,excel
1069,DIMETICONA SUSP GTS 30ML,DINTREFERGOT,40.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,100mg 1ml 30ml,dimeticona,,excel
1071,AMLODIPINO 5MG 10TAB,ADIUVIO,35.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,10,5mg,amlodipino,,excel
1079,ZINC 7.18MG 100CAP DR SIMI,,97.0,RESPIRATORIOS,SUPLEMENTOS,capsula,100,7.18mg,,,excel
108,FUMARATO FERROSO 200MG 50COMP,BIOFUROSO,18.0,MULTIVITAMINICOS,MEDICAMENTOS,tableta,50,200mg,fumarato,,excel
1090,TELA ADHESIVA SEDOSA 1.25CMX5MTS,,22.0,CURACION Y MEDICION,MATERIAL DE CURACION,,,,,,excel
1091,SIMIBROX D S/AZUCAR JBE 240ML,,59.0,DIABETES,SUPLEMENTOS,jarabe,,240ml,simibrox + azucar,,excel
1093,LORATADINA / AMBROX SOL GTS 30ML,AMTASIV,29.0,RESPIRATORIOS,MEDICAMENTOS,solucion,,100mg 100ml 30ml 600mg,loratadina + ambrox,,excel
1095,NAFAZOLINA SOL OFT 15ML,AFAZOL GRIN,35.0,OFTALMOLOGICOS,MEDICAMENTOS,solucion,,15ml 1mg 1ml,nafazolina,,excel
110,FUROSEMIDA 40MG 20TAB,BIOMISEN,13.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,20,40mg,furosemida,,excel
1100,ACEITE SIMI BEBE FCO 120ML SIMIBABY,,27.0,MATERNIDAD Y LACTANTES,MATERNIDAD,locion,,120ml,,,excel
1104,SIMIFLEX TRIN 90COMP GLUC/CONDR/AC ASCOR,FLEXTRIN,294.0,ANALGESICOS,MEDICAMENTOS,tableta,90,200mg 25mg 300mg,simiflex,,excel
1107,PARACETAMOL/IBUPROFENO 325MG/200MG 20TAB,ALGITRIN,46.0,ANALGESICOS,MEDICAMENTOS,tableta,20,200mg 325mg,paracetamol + ibuprofeno,,excel
1108,CLONIXINATO LIS 250MG 10TAB,DISINAL,45.0,ANALGESICOS,MEDICAMENTOS,tableta,10,250mg,clonixinato,,excel
111,GENTAMICINA 160MG/2ML 5AMP,GARAKACIN 80,48.0,ANTIBIOTICOS,MEDICAMENTOS,solucion,5,160mg 2ml,gentamicina,,excel
1110,AC ACETILSALICILICO 300MG 20TAB  EFERV,ACETIBEN-S,18.0,ANALGESICOS,MEDICAMENTOS,tableta,20,300mg,acetilsalicilico,,excel
1118,SIMIPROST LICOPENO/VIT E 60CAP,,124.01,MULTIVITAMINICOS,SUPLEMENTOS,capsula,60,100mg 1mg,simiprost,,excel
1122,GUANTES ESTERIL TALLA 7 O 7.5 P/CIRUG,,14.0,CURACION Y MEDICION,MATERIAL DE CURACION,,,,guantes,,excel
1123,METOPROLOL 100MG 50TAB,BIOPROL,49.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,50,100mg,metoprolol,,excel
1126,MISOPROSTOL 200MCG 28TAB,APOSTECSOL,499.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,28,200mcg,misoprostol,,excel
1127,LOSARTAN POTASICO 50MG 30TAB,ACCOLOK,66.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,50mg,losartan,,excel
115,GLIBENCLAMIDA 5MG 50TAB,ABUGLIB,16.0,DIABETES,MEDICAMENTOS,tableta,50,5mg,glibenclamida,,excel
1161,OXCARBAZEPINA 300MG 20TAB,ACTINIUM,109.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,20,300mg,oxcarbazepina,,excel
1162,OXCARBAZEPINA 600MG 20TAB,ACTINIUM,189.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,20,600mg,oxcarbazepina,,excel
117,HIDROXOCOBALAMINA 50000UI 5AMP,BEDOYECTA TRI,112.0,ANALGESICOS,MEDICAMENTOS,solucion,5,0mcg 100mg 2ml 50000ui 50mg,hidroxocobalamina,,excel
1178,SIMIFLEX PLUS 30CAP,CARTICAP FOR,125.0,ANALGESICOS,MEDICAMENTOS,capsula,30,200mg 20mg 300mg 30mg,simiflex,,excel
1181,TRIMEBUTINA SUSP 2G/100ML,CINEPRAC,76.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,100ml 2000mg,trimebutina,,excel
1186,DICLOFENACO AC LIBRE SUSP 120ML,CATAFLAM PEDIATRICO,69.0,ANALGESICOS,MEDICAMENTOS,suspension,,100ml 120ml 180mg,diclofenaco,,excel
1187,LORATADINA/BETAMETASONA 10TAB,CELESTAMINE NS,42.0,ANTIHISTAMINICOS,MEDICAMENTOS,tableta,10,0.25mg 5mg,loratadina + betametasona,,excel
1189,TIRALECHE 1PZA SIMIBABY,,89.0,MATERNIDAD Y LACTANTES,MATERNIDAD,,1,,tiraleche,,excel
119,IBUPROFENO 800MG 10TAB,ADOPREN,31.0,ANALGESICOS,MEDICAMENTOS,tableta,10,800mg,ibuprofeno,,excel
1194,LEVODROPROPIZINA SOL 120ML,KASTOVIN,66.0,RESPIRATORIOS,MEDICAMENTOS,solucion,,100ml 120ml 600mg,levodropropizina,,excel
1195,LATANOPROST .05MG/1ML SOL OFT 2.5ML,CISCOTAN,119.0,OFTALMOLOGICOS,MEDICAMENTOS,solucion,,0.05mg 1ml 2.5ml 5mg,latanoprost,,excel
1197,TIBOLONA 2.5MG 30TAB,ANALOBIT,299.0,HORMONALES,MEDICAMENTOS,tableta,30,2.5mg,tibolona,,excel
12,ALBENDAZOL 200MG 6TAB,ALBENSIL,13.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,6,200mg,albendazol,,excel
120,ISOSORBIDA 10MG 20TAB,BIORDYN,16.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,20,10mg,isosorbida,,excel
121,ITRACONAZOL 100MG 15CAP,CAREXAN,110.0,ANTIMICOTICOS,MEDICAMENTOS,capsula,15,100mg,itraconazol,,excel
1210,OMEGA RX 60CAP VIT E/OMEGA3/EPA/DHA SIMI,,194.0,MULTIVITAMINICOS,SUPLEMENTOS,capsula,60,120000mg 240000mg 600000mg,omega,,excel
123,KETOCONAZOL CREMA 2% 40GR,AKORAZOL,32.0,ANTIMICOTICOS,MEDICAMENTOS,crema,,100000mg 2000mg 40000mg,ketoconazol,,excel
124,KETOCONAZOL SHAMPOO 120ML,FUNGORAL,66.0,ENFERMEDADES DE LA PIEL,MEDICAMENTOS,,,100ml 120ml 2000mg,ketoconazol,,excel
1248,TOPIRAMATO 25MG 20TAB,ACOTOPA,78.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,20,25mg,topiramato,,excel
1249,TOPIRAMATO 100MG 20TAB,ACOTOPA,219.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,20,100mg,topiramato,,excel
125,KETOCONAZOL 200MG 10TAB,AKORAZOL,27.0,ANTIMICOTICOS,MEDICAMENTOS,tableta,10,200mg,ketoconazol,,excel
1265,SIMICOF HEDERA HELIX/BUGAMB JBE 120ML,,61.0,RESPIRATORIOS,SUPLEMENTOS,jarabe,,100ml 10840mg 120ml 540mg,simicof + bugamb,,excel
1267,SIMIFOL AC FOLICO/HIERRO 30TAB,,33.0,MULTIVITAMINICOS,SUPLEMENTOS,tableta,30,18mg 400mcg,simifol + hierro,,excel
1268,SUCRALFATO 1GR CAJA 40TAB,ALIVOATO,82.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,40,1000mg,sucralfato,,excel
127,KETOTIFENO 1MG 30TAB,ASMARAL K,54.0,ANTIHISTAMINICOS,MEDICAMENTOS,tableta,30,1mg,ketotifeno,,excel
128,LOPERAMIDA 2MG 12TAB,ACANOL,12.5,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,12,2mg,loperamida,,excel
13,ALBENDAZOL SUSP 20ML,ALBENSIL,7.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,20ml 400mg,albendazol,,excel
130,MEBENDAZOL 100MG 6TAB,AMATOL,17.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,6,100mg,albendazol,,excel
1308,SIMIALOE JUGO ALOE VERA 240ML,,54.0,ESTOMACALES (GASTRO),SUPLEMENTOS,,,240ml,simialoe,,excel
131,MECLIZINA/PIRIDOXINA GTS 15ML,BONALEN,29.0,ESTOMACALES (GASTRO),MEDICAMENTOS,solucion,,15ml 16.66mg 1ml 8.33mg,meclizina + piridoxina,,excel
132,MECLIZINA/PIRIDOXINA 10TAB,BONAZIN,29.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,10,25mg 50mg,meclizina + piridoxina,,excel
1321,SIMI VF Q10 150CAP,,297.0,MULTIVITAMINICOS,SUPLEMENTOS,capsula,150,,,,excel
1322,SIMI VF Q10 60CAP,,159.0,MULTIVITAMINICOS,SUPLEMENTOS,capsula,60,,,,excel
1326,CLORFENAMINA/FENI/PARA 24TAB,EXALIV,36.0,RESPIRATORIOS,MEDICAMENTOS,tableta,24,2mg 325mg 5mg,clorfenamina,,excel
133,METAMIZOL 500MG 10COMP,AMILEN,11.0,ANALGESICOS,MEDICAMENTOS,tableta,10,500mg,metamizol,,excel
134,METAMIZOL/BUTIL 2.5G/20MG 1AMP,BIPASMIN,39.0,ESTOMACALES (GASTRO),MEDICAMENTOS,solucion,1,20mg 2500mg 5ml,metamizol + butil,,excel
1340,PREDNISOLONA 10MG/1ML SUSP OFT,OPTACETRON,104.0,OFTALMOLOGICOS,MEDICAMENTOS,suspension,,10mg 1ml,prednisolona,,excel
1341,AGUA OXIGENADA SOL 224ML,,17.0,CURACION Y MEDICION,MATERIAL DE CURACION,solucion,,224ml,oxigenada,,excel
1342,CINTA MICROPOROSA PIEL 1.25X5MTS DR SIMI,,12.51,CURACION Y MEDICION,MATERIAL DE CURACION,,,,cinta,,excel
1346,SIMI B HIERRO Y ZINC 60CAP,,89.0,MULTIVITAMINICOS,SUPLEMENTOS,capsula,60,,,,excel
135,METILDOPA 250MG 30TAB,ALDOMET,66.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,250mg,metildopa,,excel
1357,VENDAS ADHESIVAS 30PZAS (VARIOS TAMAÑOS),,21.0,CURACION Y MEDICION,MATERIAL DE CURACION,,30,,vendas,,excel
136,METOCLOPRAMIDA 400MG SOL GTS 20ML,CIRULAN,21.0,ESTOMACALES (GASTRO),MEDICAMENTOS,solucion,,20ml 400mg,metoclopramida,,excel
1366,JERINGA PERA NO.3 1PZA SIMIBABY,,49.0,MATERNIDAD Y LACTANTES,MATERNIDAD,,1,,,,excel
137,METOCLOPRAMIDA 10MG 20TAB,BIOPRAM,13.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,20,10mg,metoclopramida,,excel
1372,TIAMAZOL 5MG 20TAB,GANGLIOSIDE,53.0,HORMONALES,MEDICAMENTOS,tableta,20,5mg,tiamazol,,excel
138,METOPROLOL 100MG 20TAB,APOPROLE,29.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,20,100mg,metoprolol,,excel
139,METRONIDAZOL 5GR/100ML SUSP 120ML,AMEBLIN,31.0,ESTOMACALES (GASTRO),MEDICAMENTOS,suspension,,100ml 120ml 250mg 5000mg,metronidazol,,excel
1400,BIBERON 4 ONZAS 1PZA,,22.0,MATERNIDAD Y LACTANTES,MATERNIDAD,,1,,biberon,,excel
1401,RISPERIDONA 2MG 40TAB,AFECTOL,199.0,SISTEMA NERVIOSO,MEDICAMENTOS,tableta,40,2mg,risperidona,,excel
1403,LOSARTAN/HIDRO 50/12.5MG 30COMP,CO - TARSAN,129.0,CARDIOVASCULARES,MEDICAMENTOS,tableta,30,12.5mg 50mg,losartan + hidro,,excel
1409,MELOXICAM/METOC 7.5/215MG 20CAP,DOLOCAM PLUS,82.0,ANALGESICOS,MEDICAMENTOS,capsula,20,215mg 7.5mg,meloxicam + metoc,,excel
1411,LEVONORGESTREL 1.5MG 1TAB,DREAMS,65.0,HORMONALES,MEDICAMENTOS,tableta,1,1.5mg,levonorgestrel,,excel
1412,LACTULOSA JBE 120ML O 125ML 10GR/15ML,DUPHALAC,89.0,ESTOMACALES (GASTRO),MEDICAMENTOS,jarabe,,10000mg 120ml 125ml 15ml,lactulosa,,excel
1413,INDOMETACINA/BETAME/METO 20CAP,ARDOSONS,83.0,ANALGESICOS,MEDICAMENTOS,capsula,20,0.75mg 215mg 25mg,indometacina + betame,,excel
1415,CLONIX LIS/BUTI 125/10MG 20TAB,DOLTRIX,94.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,20,10mg 125mg,clonix,,excel
1416,TERMOMETRO DIGITAL 1PZA,,63.0,CURACION Y MEDICION,MATERIAL DE CURACION,,1,,termometro,,excel
1417,BIFONAZOL UNGUENTO 20GR,ERASTEN,49.0,ANTIMICOTICOS,MEDICAMENTOS,unguento,,100000mg 1000mg 20000mg,bifonazol,,excel
142,METRONIDAZOL 500MG 30TAB,AVIDAL 500,28.0,ESTOMACALES (GASTRO),MEDICAMENTOS,tableta,30,500mg,metronidazol,,excel
