fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Exprezo,mayorista,2026-08-12,,,"Sopa Instantánea Maruchan con Camarón, Limón Y Habanero 64 gr.",,64 g,g,1,12.17,12.17,1,,MXN,,sitio_reporta_unidad=13.6 (no se usa; se calcula),exprezo-2-sopa-instant-nea-maruchan-con-camar-n-li
Exprezo,mayorista,2026-08-12,,,Pasta Spaghetti La Moderna 200 Gr,,200 g,g,1,6.85,6.85,1,,MXN,,sitio_reporta_unidad=7.7 (no se usa; se calcula),exprezo-3-pasta-spaghetti-la-moderna-200-gr
Exprezo,mayorista,2026-08-12,,,Mayonesa McCormick con limón 105 gr.,,105 g,g,1,16.5,16.5,1,,MXN,,sitio_reporta_unidad=18.0 (no se usa; se calcula),exprezo-4-mayonesa-mccormick-con-lim-n-105-gr-
Exprezo,mayorista,2026-08-12,,,Sopa Instantánea Maruchan con Camarón y Chile Piquín 64 gr.,,64 g,g,1,146.0,146.0,1,,MXN,,sitio_reporta_unidad=13.6 (no se usa; se calcula),exprezo-5-sopa-instant-nea-maruchan-con-camar-n-y-
Exprezo,mayorista,2026-08-12,,,Leche Condensada La Lechera 375 Gr,,375 g,g,1,24.46,24.46,1,,MXN,,sitio_reporta_unidad=27.2 (no se usa; se calcula),exprezo-6-leche-condensada-la-lechera-375-gr
Exprezo,mayorista,2026-08-12,,,Sopa Instantánea Maruchan con Camarón 64 gr.,,64 g,g,1,146.0,146.0,1,,MXN,,sitio_reporta_unidad=13.6 (no se usa; se calcula),exprezo-7-sopa-instant-nea-maruchan-con-camar-n-64
Exprezo,mayorista,2026-08-12,,,Sopa Instantánea Maruchan Sabor Pollo 64 gr.,,64 g,g,1,146.0,146.0,1,,MXN,,sitio_reporta_unidad=13.6 (no se usa; se calcula),exprezo-8-sopa-instant-nea-maruchan-sabor-pollo-64
Exprezo,mayorista,2026-08-12,,,Chiles La Costeña Jalapeños En Rajas 220 Gr,,220 g,g,1,14.82,14.82,1,,MXN,,sitio_reporta_unidad=17.5 (no se usa; se calcula),exprezo-9-chiles-la-coste-a-jalape-os-en-rajas-220
Exprezo,mayorista,2026-08-12,,,Chiles Chipotles San Marcos 100 Gr,,100 g,g,1,14.25,14.25,1,,MXN,,sitio_reporta_unidad=16.8 (no se usa; se calcula),exprezo-10-chiles-chipotles-san-marcos-100-gr
Exprezo,mayorista,2026-08-12,,,Chiles La Costeña Jalapeños En Rajas 105g,,105 g,g,1,8.35,8.35,1,,MXN,,sitio_reporta_unidad=9.5 (no se usa; se calcula),exprezo-11-chiles-la-coste-a-jalape-os-en-rajas-105
