page,no_proveedor,proveedor,codigo_marzam,descripcion,sustancia,ean_raw,precio_farmacia,oferta_pct,precio_con_oferta,precio_final_iva,precio
1,3012,SIEGFRIED RHEIN S,11002,ABRETIA 30MG CAP C14,DULOXETINA CLORHIDRATO D,E 7.5013E+12,597.5,9.09,543.19,543.19,543.19
1,3012,SIEGFRIED RHEIN S,11001,ABRETIA 30MG CAP C7,DULOXETINA CLORHIDRATO D,E 7.5013E+12,331.88,9.09,301.71,301.71,301.71
1,3012,SIEGFRIED RHEIN S,11003,ABRETIA 60MG CAP C14,DULOXETINA CLORHIDRATO D,E 7.5013E+12,646.25,9.09,587.51,587.51,587.51
1,3012,SIEGFRIED RHEIN S,11004,ABRETIA 60MG CAP LIB R C28,DULOXETINA CLORHIDRATO D,E 7.5013E+12,1159.38,9.09,1053.99,1053.99,1053.99
1,169,AVIVIA PHARMA SA,D 3401779,ACEMETACINA 90MG CAPS C14,ACEMETACINA,7.50222E+12,49.64,0.0,49.64,49.64,49.64
1,115,ANTIBIOTICOS DE M,3401077,ACICLOVIR 400MG TAB C35,ACICLOVIR,7.50135E+12,57.22,0.0,57.22,57.22,57.22
1,2975,SERVICIOS PROMO,C 20304,ACICRAN KIDS SUPL ALIM SOB C30,SUPLEMENTO,7.50112E+12,697.13,10.76,622.12,721.66,622.12
1,2975,SERVICIOS PROMO,C 20303,ACICRAN MIX SUPL ALIM SOB C30,SUPLEMENTO,7.50112E+12,693.97,10.76,619.3,718.39,619.3
1,115,ANTIBIOTICOS DE M,3401036,ACIDO ALENDRONICO 10MG TAB C30,ALENDRONATO SODICO,7.50135E+12,26.16,0.0,26.16,26.16,26.16
1,115,ANTIBIOTICOS DE M,3401458,ACIDO ASCORBICO 10ML AMP C6,LISINA CLONIXINATO DE,7.50135E+12,231.77,0.0,231.77,231.77,231.77
1,3202,WESER PHARMA SA,27001,ACLARIUM 500MG TAB C3,AZITROMICINA,7.5013E+12,238.13,9.09,216.48,216.48,216.48
1,3202,WESER PHARMA SA,27002,ACLARIUM 500MG TAB C5,AZITROMICINA,7.5013E+12,308.75,9.09,280.68,280.68,280.68
1,3012,SIEGFRIED RHEIN S,38801,ADALIR CRA TBO 40G,BETAMETASONA,7.5013E+12,188.75,9.09,171.59,171.59,171.59
1,2657,LABORATORIOS PIS,A 45101,ADENEX 24MG CJA C/30 TAB,BETAHISTINA CLORHIDRATO D,E 7.50113E+12,428.35,0.0,428.35,428.35,428.35
1,2228,LOEFFLER S A DE C,3400007,AFLUSIL 120ML,IBUPROFENO,7.50221E+12,19.58,0.0,19.58,19.58,19.58
1,3012,SIEGFRIED RHEIN S,64401,AGRELESS 75MG FCO TAB C14,CLOPIDOGREL,7.5013E+12,570.0,9.09,518.19,518.19,518.19
1,3012,SIEGFRIED RHEIN S,64402,AGRELESS 75MG FCO TAB C28,CLOPIDOGREL,7.5013E+12,1025.63,9.09,932.4,932.4,932.4
1,2653,LABORATORIOS PIS,A 65013,AGRIFEN LUB ACTIVE AD SOL100ML,SODIO CLORURO DE,7.50304E+12,112.52,0.0,112.52,130.52,112.52
1,2653,LABORATORIOS PIS,A 65014,AGRIFEN LUB ACTIVE INF SOL50ML,SODIO CLORURO DE,7.50304E+12,106.34,0.0,106.34,123.35,106.34
1,2653,LABORATORIOS PIS,A 65012,AGRIFEN NCHE 500/5/4MG TAB C10,PARACETAMOL,7.50113E+12,25.96,0.0,25.96,25.96,25.96
1,2653,LABORATORIOS PIS,A 65002,AGRIFEN TAB C10,PARACETAMOL,7.50113E+12,25.96,0.0,25.96,25.96,25.96
1,2657,LABORATORIOS PIS,A 67041,AGUA ESTERIL IRRIG PLAS 1000ML,AGUA INYECTABLE,7.50113E+12,45.76,0.0,45.76,45.76,45.76
1,2657,LABORATORIOS PIS,A 66504,AGUA INY 3ML AMP PLAST C100,AGUA INYECTABLE,7.50113E+12,346.04,0.0,346.04,346.04,346.04
1,2586,PRODUCTOS DE CU,67028,AGUA OXIGENADA PG 125ML,Agua Oxigenada,7.50113E+12,6.47,5.0,6.15,7.13,6.15
1,2586,PRODUCTOS DE CU,67029,AGUA OXIGENADA PG 250ML,Agua Oxigenada,7.50113E+12,8.37,5.0,7.95,9.22,7.95
