fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/sarten-de-corazones-paris-hilton,,Sartén de Corazones - Paris Hilton - BGP,,,pza,1,999.0,999.0,1,,MXN,,tipo=-; shopify_id=9163781636315,52080151953702
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/contenedor-termico-para-alimentos-rosa-xoxo-paris,,Contenedor Térmico para Alimentos Rosa “XOXO Paris” - BGP,,,pza,1,733.0,733.0,1,,MXN,,tipo=-; shopify_id=9163781603547,52080142123302
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/victoria-s-secret-fragrance-lotion-236-ml-lociones-perfumadas,,Victoria’s Secret Fragrance Lotion 236 ml | Lociones Perfumadas - BGP Pure Seduction,,236 ml,ml,1,419.0,419.0,1,,MXN,,tipo=-; shopify_id=9163781570779,52041694544166
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/victoria-s-secret-fragrance-lotion-236-ml-lociones-perfumadas,,Victoria’s Secret Fragrance Lotion 236 ml | Lociones Perfumadas - BGP Bare Vanilla,,236 ml,ml,1,419.0,419.0,1,,MXN,,tipo=-; shopify_id=9163781570779,52041694576934
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/set-victoria-s-secret-velvet-petals-body-mist-body-lotion,,Set Victoria’s Secret Velvet Petals | Body Mist + Body Lotion - BGP,,,pza,1,799.0,799.0,1,,MXN,,tipo=-; shopify_id=9163781538011,52041644376358
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/set-victoria-s-secret-shimmer-mini-mist-collection-4-fragancias,,Set Victoria’s Secret Shimmer – Mini Mist Collection (4 Fragancias) - BGP,,,pza,1,1309.0,1309.0,1,,MXN,,tipo=-; shopify_id=9163781505243,52041609445670
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/set-de-mini-body-mist-victoria-s-secret-4-fragancias,,Set de Mini Body Mist Victoria’s Secret 4 Fragancias - BGP,,,pza,1,1309.0,1309.0,1,,MXN,,tipo=-; shopify_id=9163781472475,52041585787174
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/estuche-de-12-body-mists-victoria-s-secret-set-de-regalo-premium,,Estuche de 12 Body Mists Victoria’s Secret | Set de Regalo Premium - BGP,,,pza,1,3537.0,3537.0,1,,MXN,,tipo=-; shopify_id=9163781439707,52041565733158
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/crossbody-guess-monograma,,Crossbody GUESS Monograma - BGP cafe,,,pza,1,2431.0,2431.0,1,,MXN,,tipo=-; shopify_id=9163781406939,52039521403174
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/crossbody-guess-monograma,,Crossbody GUESS Monograma - BGP Gris,,,pza,1,2431.0,2431.0,1,,MXN,,tipo=-; shopify_id=9163781406939,52039521435942
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/bolsa-tommy-hilfiger-blanca-con-monograma,,Bolsa TOMMY HILFIGER Blanca con Monograma - BGP,,,pza,1,1921.0,1921.0,1,,MXN,,tipo=-; shopify_id=9163781374171,52039501316390
MayoreoTotal,mayorista,2026-08-18,https://mayoreototal.mx/products/mochila-mini-guess-gris-monograma,,Mochila Mini GUESS Gris Monograma - BGP,,,pza,1,2815.0,2815.0,1,,MXN,,tipo=-; shopify_id=9163781341403,52039485194534
