fuente,tipo_fuente,fecha_captura,url,categoria,producto_raw,marca,presentacion,unidad_base,cantidad_empaque,precio_empaque,precio_unitario,min_piezas,precio_escalon,moneda,minimo_compra_pedido,notas,id_producto_proveedor
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-big-quality-600-hojas-dobles-paquete-con-6-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Big Qlty 600 Hojas 6 Rollos,,,pza,8,372.0,46.5,3,46.5,MXN,,pieza=55.9; caja=372.0x8; envio $70 / gratis $1100,5465
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-petalo-300-hojas-paquete-con-4-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Petalo 300 Hojas 4 Rollos,,,pza,10,229.0,22.9,3,22.9,MXN,,pieza=26.5; caja=229.0x10; envio $70 / gratis $1100,5474
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higi-nico-big-quality-550-hd-5-pz-25691.html,higiene-y-cuidado-personal,Papel Higiénico Big Quality 550 Hd 5 pz,,5 pza,pza,40,317.6,7.94,3,39.7,MXN,,pieza=47.9; caja=317.6x8; envio $70 / gratis $1100,25220
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-buenas-noches-extra-larga-con-alas-paquete-con-8-piezas.html,higiene-y-cuidado-personal,Toalla Femenina Saba Buenas Noches Extra Larga con Alas Paquete con 8 Piezas,,8 pza,pza,112,278.6,2.4875,3,19.9,MXN,,pieza=22.9; caja=278.6x14; envio $70 / gratis $1100,5427
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-vogue-400-hojas-paquete-con-4-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Vogue 400 Hojas 4 Rollos,,,pza,24,657.6,27.4,3,27.4,MXN,,pieza=31.9; caja=657.6x24; envio $70 / gratis $1100,5486
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-petalo-400-hojas-paquete-con-4-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Petalo 400 Hojas 4 Rollos,,,pza,10,324.0,32.4,3,32.4,MXN,,pieza=37.5; caja=324.0x10; envio $70 / gratis $1100,5475
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-zest-de-tocador-aqua-150-gramos.html,higiene-y-cuidado-personal,Jabon Zest de Tocador Aqua 135 gr,,135 g,g,72,1116.0,15.5,2,15.5,MXN,,pieza=17.9; caja=1116.0x72; envio $70 / gratis $1100,5278
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-petalo-ultra-resistente-hig-500-hd-6-piezas.html,higiene-y-cuidado-personal,Papel Hig. Petalo Ultra Resist. 500 Hojas 6 pz,,6 pza,pza,36,313.2,8.7,3,52.2,MXN,,pieza=61.5; caja=313.2x6; envio $70 / gratis $1100,8207
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/xtreme-gel-transparente-250-gr.html,higiene-y-cuidado-personal,Xtreme Gel Transparente 250 Gr,,250 g,g,12,265.2,22.1,2,22.1,MXN,,pieza=25.5; caja=265.2x12; envio $70 / gratis $1100,8864
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-de-tocador-palmolive-naturals-aloe-y-oliva-barra-120-g-8-pzas.html,higiene-y-cuidado-personal,Jabón de Tocador Palmolive Naturals Aloe y Oliva Barra 120 g 8 pzas,,120 g,g,8,909.6,113.7,2,113.7,MXN,,pieza=130.9; caja=909.6x8; envio $70 / gratis $1100,5271
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/colgate-triple-accion-pasta-dental-whitening-50-ml.html,higiene-y-cuidado-personal,"Colgate Triple acción pasta dental Whitening , 50 ml",,50 ml,ml,144,2476.8,17.2,2,17.2,MXN,,pieza=19.9; caja=2476.8x144; envio $70 / gratis $1100,5163
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/colgate-crema-dental-mfp-50-ml.html,higiene-y-cuidado-personal,Colgate Crema Dental Mfp 50 Ml,,50 ml,ml,48,840.0,17.5,3,17.5,MXN,,pieza=21.5; caja=840.0x48; envio $70 / gratis $1100,12939
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-hortensia-mega-rosa-450-hojas-dobles-4-piezas.html,higiene-y-cuidado-personal,Papel Hig. Hortensia Mega Rosa 450 Hojas 4 pz,,4 pza,pza,80,530.0,6.625,3,26.5,MXN,,pieza=31.5; caja=530.0x20; envio $70 / gratis $1100,8495
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-saba-fem-invisible-con-alas-10-pz-26270.html,higiene-y-cuidado-personal,Toalla Saba Fem Invisible Con Alas 10 pz,,10 pza,pza,120,220.8,1.84,3,18.4,MXN,,pieza=21.5; caja=220.8x12; envio $70 / gratis $1100,14321
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-elite-big-roll-550-hojas-paquete-con-6-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Big Roll 550 Hojas 6 Rollos,,,pza,8,374.4,46.8,3,46.8,MXN,,pieza=53.9; caja=374.4x8; envio $70 / gratis $1100,5468
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higi-nico-suavel-200-4-pz-3787.html,higiene-y-cuidado-personal,Papel Higiénico Suavel 200 4 pz,,4 pza,pza,48,202.8,4.225,3,16.9,MXN,,pieza=18.9; caja=202.8x12; envio $70 / gratis $1100,25248
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/pasta-dental-colgate-triple-accion-menta-original-75-ml.html,higiene-y-cuidado-personal,Pasta Dental Colgate Triple Acción Menta Original 75 ml,,75 ml,ml,72,1605.6,22.3,2,22.3,MXN,,pieza=25.9; caja=1605.6x72; envio $70 / gratis $1100,5159
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/gel-para-caballero-ego-diez-200-mililitros.html,higiene-y-cuidado-personal,Gel Para Caballero Ego Magnetic 200 ml,,200 ml,ml,12,230.4,19.2,2,19.2,MXN,,pieza=22.5; caja=230.4x12; envio $70 / gratis $1100,5311
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/escudo-jabon-de-tocador-proteccion-formula-original-azul-135-gr-28260.html,higiene-y-cuidado-personal,Escudo Jabon de Tocador Proteccion Formula Original Azul 135 gr,,135 g,g,72,993.6,13.8,3,13.8,MXN,,pieza=15.9; caja=993.6x72; envio $70 / gratis $1100,26105
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higienico-elite-color-287-hojas-paquete-con-4-rollos.html,higiene-y-cuidado-personal,Papel Higiénico Elite Clásico Color 287 Hojas 4 Rollos,,,pza,10,238.0,23.8,3,23.8,MXN,,pieza=28.9; caja=238.0x10; envio $70 / gratis $1100,5467
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-de-tocador-palmolive-naturals-lavanda-y-crema-en-barra-de-120-g.html,higiene-y-cuidado-personal,Jabón de Tocador Palmolive Naturals Lavanda y Crema en Barra de 120 g,,120 g,g,72,1317.6,18.3,2,18.3,MXN,,pieza=21.5; caja=1317.6x72; envio $70 / gratis $1100,5290
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-de-tocador-palmolive-naturals-yoghurt-y-frutas-en-barra-de-120-g.html,higiene-y-cuidado-personal,Jabón de Tocador Palmolive Naturals Yoghurt y Frutas en Barra de 120 g,,120 g,g,72,1317.6,18.3,2,18.3,MXN,,pieza=21.5; caja=1317.6x72; envio $70 / gratis $1100,5286
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/delicatto-papel-higienico-400-4-pz-27818.html,higiene-y-cuidado-personal,Delicatto Papel Higienico 400 4 pz,,4 pza,pza,80,472.0,5.9,3,23.6,MXN,,pieza=27.5; caja=472.0x20; envio $70 / gratis $1100,25129
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-tersso-de-tocador-hipoalerganico-200-gramos.html,higiene-y-cuidado-personal,Jabon Tersso de Tocador Hipoalerganico 200 gr,,200 g,g,30,510.0,17.0,2,17.0,MXN,,pieza=19.9; caja=510.0x30; envio $70 / gratis $1100,5276
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-en-barra-palmolive-naturals-aloe-y-oliva-150-g.html,higiene-y-cuidado-personal,Jabón en Barra Palmolive Naturals Aloe y Oliva 120 g,,120 g,g,72,1317.6,18.3,2,18.3,MXN,,pieza=21.5; caja=1317.6x72; envio $70 / gratis $1100,5288
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/pasta-dental-colgate-maxima-proteccion-anticaries-75-ml.html,higiene-y-cuidado-personal,Pasta Dental Colgate Máxima Protección Anticaries 75 ml,,75 ml,ml,72,1800.0,25.0,2,25.0,MXN,,pieza=28.9; caja=1800.0x72; envio $70 / gratis $1100,5160
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/pasta-dental-colgate-maxima-proteccion-anticaries-familiar-90-ml.html,higiene-y-cuidado-personal,Pasta Dental Colgate Máxima Protección Anticaries Familiar 90 ml,,90 ml,ml,72,2102.4,29.2,3,29.2,MXN,,pieza=33.9; caja=2102.4x72; envio $70 / gratis $1100,5161
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/gel-ego-attraction-200-mililitros.html,higiene-y-cuidado-personal,Gel Ego Attraction 200 ml,,200 ml,ml,12,230.4,19.2,2,19.2,MXN,,pieza=22.5; caja=230.4x12; envio $70 / gratis $1100,7075
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-de-papel-big-quality-180-hojas.html,higiene-y-cuidado-personal,Toalla de Papel Big Quality 180 Hojas,,,pza,24,508.8,21.2,3,21.2,MXN,,pieza=25.5; caja=508.8x24; envio $70 / gratis $1100,5555
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/papel-higi-nico-premier-600-hoja-doble-4-pz-22815.html,higiene-y-cuidado-personal,Papel Higiénico Premier 600 Hoja Doble 4 pz,,4 pza,pza,40,407.0,10.175,3,40.7,MXN,,pieza=44.2; caja=407.0x10; envio $70 / gratis $1100,26091
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/toalla-femenina-saba-buenas-noches-extra-nocturna-con-alas-paquete-con-8-piezas.html,higiene-y-cuidado-personal,Toalla Saba Fem Buenas Noches Con Alas 8 pz,,8 pza,pza,112,355.6,3.175,3,25.4,MXN,,pieza=28.9; caja=355.6x14; envio $70 / gratis $1100,5428
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/dove-bs-bar-reg-fbx-90-gr-26466.html,higiene-y-cuidado-personal,Dove Bs Bar Reg Fbx 90 gr,,90 g,g,48,993.6,20.7,3,20.7,MXN,,pieza=23.9; caja=993.6x48; envio $70 / gratis $1100,14328
Scorpion,mayorista,2026-08-18,https://www.scorpion.com.mx/tienda/jabon-rosa-venus-de-tocador-rosa-200-gramos.html,higiene-y-cuidado-personal,Jabon Rosa Venus de Tocador Rosa 200 gr,,200 g,g,30,495.0,16.5,2,16.5,MXN,,pieza=18.9; caja=495.0x30; envio $70 / gratis $1100,5274
