prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
1,OK,C,0,5,ACICLOVIR 50MG/1GR CREMA 5 GR 1 PIEZA,1000mg 5000mg 50mg,1,crema,Dermatológico,Cuidado de la piel y belleza,35.0,2,4,FC-18753597,Lesaclor (Aciclovir) crema,Mavi,5,100,principios activos completos; concentracion coincide; forma coincide
2,OK,C,0,2129,ACIDO URSODEOXICOLICO 250 MG 50 CAPSULAS,250mg,50,capsula,Funcionamiento gastrointestinal,Medicamentos,339.0,1,2,FC-49020269,Ácido ursodeoxicólico 250 mg Caja con 50 cápsulas AMSA,AMSA,1,82,sin identidad comprobable; nombre muy parecido (100/85)
3,OK,C,0,3579,ALCANFOR / MENTOL / EUCALIPTO UNGÜENTO VICK VAPORUB 12 GR 1 PIEZA,12000mg,1,unguento,Antigripal,Aparato respiratorio,31.9,2,4,FC-01246730,Vicks Vaporub pomada 12 g,Vicks,10,100,principios activos completos; concentracion coincide; forma coincide
4,OK,C,0,268,ALOPURINOL 300 MG 20 TABLETAS,300mg,20,tableta,Medicamentos éticos,Medicamentos,33.0,2,4,FC-ACA2A2F6,Alopurinol 300 mg,beadvance,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/74)
5,OK,C,0,2978,ATORVASTATINA 40 MG PFIZER 30 TABLETAS,40mg,30,tableta,Hipolipemiante,Medicamentos,399.0,1,2,FC-E4BE37BE,Atorvastatina,,2,76,principios activos completos; concentracion coincide; cantidad difiere 10≠30; forma coincide; nombre parecido (100/51)
6,OK,A,0,595,AZITROMICINA 500 MG 3 TABLETAS,500mg,3,tableta,Antibiótico,Medicamentos,110.0,6,10,EQ-WER038,Charyn 3 Tab 500 Mg,Wermar,6,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
7,OK,C,0,3480,BALSAMO CALIENTE CON EXTRACTO DE CANNABIDIOL CBD 50 MG 90 GR 1 PIEZA,50mg 90000mg,1,,Analgésicos,Analgesia,309.0,1,2,EQ-SON233,Zimeton 20 Tab 130/50/40 Mg,SON'S,2,70,solo 1/3 principios activos; concentracion coincide; cantidad difiere 20≠1; equivalente PA+concentración+forma
8,OK,C,0,483,BENCIDAMINA 45MG/100ML  SOLUCION 30 ML 1 PIEZA,100ml 30ml 45mg,1,solucion,Antiinflamatorios,Analgesia,59.0,2,4,FC-73906469,Biobend bencidamina solucion bucal 360 mL,Biobend,2,100,principios activos completos; concentracion coincide; forma coincide
9,OK,C,0,1440,BENCIDAMINA SOLUCION 360 ML 1 PIEZA,360ml,1,solucion,Antiinflamatorios,Analgesia,69.0,2,4,FC-73906469,Biobend bencidamina solucion bucal 360 mL,Biobend,2,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (87/71)
10,OK,B,0,392,BENCILPENICILINA BENZATINICA SUSPENSION INYECTABLE 1 PIEZA,,1,suspension,Antibiótico,Medicamentos,31.0,3,6,FC-F183C6E9,Penipot bencilpenicilina procainica,Penipot,6,93,principios activos completos; cantidad coincide
11,OK,B,0,3228,BENZOCAINA 10 MG 24 PASTILLAS GRANEODIN B,10mg,24,pastilla,Aparato respiratorio,Aparato respiratorio,139.0,2,4,FC-58715517,Graneodin B Frambuesa,Graneodin,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
12,OK,B,0,215,BENZONATATO 100 MG 20 CAPSULAS,100mg,20,capsula,Aparato respiratorio,Aparato respiratorio,34.0,3,6,EQ-PGE046,Progelben Benzonatato,Progela,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
13,OK,C,0,2227,BETAHISTINA 24 MG 30 TABLETAS,24mg,30,tableta,Medicamentos éticos,Medicamentos,279.0,1,2,FC-58DB24C4,Bitenver,Bitenver,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
14,OK,B,0,3598,BUMETANIDA 1 MG 20 TABLETAS,1mg,20,tableta,Antihipertensivo,Medicamentos,124.0,2,4,FC-C6C20517,Budimin,Budimin,5,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
15,OK,INY,0,259,BUTILHIOSCINA  20MG/1ML SOLUCION INYECTABLE 3 AMPOLLETAS,1ml 20mg,3,solucion,Analgésicos,Medicamentos,30.0,2,3,EQ-COL080,Pasmodil 1 Fa 250/20 Mg,Collins,2,70,solo 1/2 principios activos; concentracion coincide; cantidad difiere 1≠3; equivalente PA+concentración+forma
16,OK,C,0,3948,CALCIO / VITAMINA D3 600MG/400UI 30 TABLETAS,400ui 600mg,30,tableta,Huesos y articulaciones,Analgesia,79.0,2,4,FC-06500133,Caltrate 600 + D C/30,Caltrate,2,70,sin identidad comprobable; equivalente PA+concentración+forma
17,OK,C,0,54,CARBAMAZEPINA 200 MG 20 TABLETAS,200mg,20,tableta,Anticonvulsivo,Medicamentos,36.0,2,4,FC-885F2723,Carbamazepina,Psicofarma,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/58)
18,OK,C,0,506,CEFACLOR 500 MG 15 CAPSULAS,500mg,15,capsula,Antibiótico,Medicamentos,274.0,1,2,FC-09741425,Fasiclor 500 mg Caja con 15 cápsulas Maver,Maver,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (80/72)
19,OK,B,0,218,CEFOTAXIMA 1 GR SOLUCION INYECTABLE 1 PIEZA,1000mg,1,solucion,Antibiótico,Medicamentos,88.0,3,6,FC-22B18244,Cefotaxima IM (Inyectable),Cefotaxima,3,82,sin identidad comprobable; nombre muy parecido (93/69)
20,OK,B,0,220,CEFTAZIDIMA 1 GR SOLUCION INYECTABLE 1 PIEZA,1000mg,1,solucion,Antibiótico,Medicamentos,121.0,2,4,FC-357D4A17,Ceftazidima,Ceftazidima,2,100,principios activos completos; concentracion coincide; cantidad coincide
21,OK,C,0,3203,CELECOXIB 200 MG 10 CAPSULAS,200mg,10,capsula,Antiinflamatorio,Medicamentos,99.0,2,4,FC-E6B50AC3,Celecoxib,Celecoxib,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/49)
22,OK,B,0,2178,CELECOXIB 200 MG 10 CAPSULAS,200mg,10,capsula,Antiinflamatorio,Medicamentos,199.0,2,4,FC-E6B50AC3,Celecoxib,Celecoxib,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/49)
23,OK,C,0,61,CINARIZINA 75 MG 60 TABLETAS,75mg,60,tableta,Flebotónico,Medicamentos,52.0,2,4,FC-3CAA7C5C,Cinarizina,ALPHARMA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre parecido (100/53)
24,OK,B,0,756,CITALOPRAM 20 MG 14 TABLETAS,20mg,14,tableta,Enfermedades mentales,Medicamentos,130.0,2,4,EQ-AMS472,Citalopram 14 Tab 20 Mg,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (90/67)
25,OK,C,0,3356,CITICOLINA 500 MG 10 TABLETAS,500mg,10,tableta,Medicamentos éticos,Medicamentos,269.0,1,2,EQ-MAV394,Coniax Citicolina 500 mg C/10 Maver,Maver,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
26,OK,B,0,426,CLARITROMICINA 500 MG 10 TABLETAS,500mg,10,tableta,Antibiótico,Medicamentos,133.0,2,4,FC-41339950,Claritromicina,AMSA,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/60)
27,OK,B,0,387,CLINDAMICINA 300 MG 16 CAPSULAS,300mg,16,capsula,Antibiótico,Medicamentos,120.0,2,4,FC-CF18C740,Clindamicina,AMSA,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/56)
28,OK,INY,0,398,CLINDAMICINA 600MG/4ML SOLUCION INYECTABLE 1 AMPOLLETA,4ml 600mg,1,solucion,Antibiótico,Medicamentos,47.0,2,3,FC-9A4E4C31,Clindamicina,AMSA,2,95,principios activos completos; concentracion coincide
29,OK,C,0,73,COLCHICINA 1 MG 30 TABLETAS,1mg,30,tableta,Medicamentos éticos,Medicamentos,41.0,2,4,EQ-BIO212,Colchicina 30 Tab 1 Mg,Biomep,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (90/69)
30,OK,C,0,3155,DAPAGLIFLOZINA 10MG 28 TABLETAS (ASTRA),10mg,28,tableta,Diabetes,Medicamentos,799.0,1,2,EQ-JAY263,Diflosensi 28 Tab 10 Mg,Jayor,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
31,OK,C,0,4260,DAPAGLIFLOZINA 10MG 28 TABLETAS (GENERICO),10mg,28,tableta,Diabetes,Medicamentos,449.0,1,2,EQ-JAY263,Diflosensi 28 Tab 10 Mg,Jayor,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
32,OK,C,0,2648,DEXPANTENOL 5/100GR CREMA 30GR SIMIBABY,100000mg 30000mg,,crema,Cuidado del bebé,Bebés,34.0,2,4,EQ-MAV401,Dexpantenol 1 Cma 5% 30 G,Maver,2,100,principios activos completos; concentracion coincide; forma coincide
33,OK,C,0,394,DEXTROMETORFANO / GUAIFENESINA  .2/2 GR ADULTO SOLUCION 120 ML 1 PIEZA,120ml 2000mg,1,solucion,Gripa y tos,Aparato respiratorio,38.0,2,4,FC-75710465,Benciefedril jarabe dextrometorfano/guaifenesina,Novag,2,70,sin identidad comprobable; equivalente PA+concentración+forma
