prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
1,HUECO,C,1,4092,SEMAGLUTIDA 7MG 30TAB RYBELSUS,7mg,30,tableta,DIABETES,MEDICAMENTOS,3599.0,1,2
2,HUECO,C,1,4298,SOMATROPINA 12MG (36UI) SOL INY JER PRE,12mg 36ui,,suspension,HORMONALES,MEDICAMENTOS,3483.0,1,2
3,HUECO,C,1,4577,SEMAGLUTIDA1.34MG/ML 1.5ML PLUMA OZEMPIC,1.34mg 1.5ml,,solucion,,MEDICAMENTOS,2999.0,1,2
4,HUECO,C,1,4300,LIRAGLUTIDA 6MG/ML PLUMA 3PZAS SAXENDA,6mg,3,suspension,DIABETES,MEDICAMENTOS,2799.0,1,2
5,HUECO,C,1,4225,DAPAGLIFL/METF 10/1000MG 28TAB XIGDUO XR,1000mg 10mg,28,tableta,DIABETES,MEDICAMENTOS,1399.0,1,2
6,HUECO,C,1,3744,CALENTADOR ELECTRICO P/BIBERON 1PZA,,1,,MATERNIDAD Y LACTANTES,MATERNIDAD,1299.0,1,2
7,HUECO,C,1,4569,SENSOR GLUCOSA KIT 1PZA,,1,,,MATERIAL DE CURACION,1299.0,1,2
8,HUECO,C,1,4257,INSULINA GLARGINA 100UI/ML SOL INY 5PZA,100ui,5,solucion,DIABETES,MEDICAMENTOS,1199.0,1,2
9,HUECO,C,1,4151,METFOR/EMPAGLI 1000MG/12.5MG 30TAB,1000mg 12.5mg,30,tableta,DIABETES,MEDICAMENTOS,1131.0,1,2
10,HUECO,C,1,4150,METFOR/EMPAGLI 850MG/12.50MG 30TAB,12.5mg 850mg,30,tableta,DIABETES,MEDICAMENTOS,1131.0,1,2
11,HUECO,C,1,4103,METFOR/LINAGLIP 850MG/2.5MG 60TAB GEN,2.5mg 850mg,60,tableta,DIABETES,MEDICAMENTOS,1099.0,1,2
12,HUECO,C,1,4181,ACIDO TIOCTICO 600MG 30TAB THIOCTACID,600mg,30,tableta,DIABETES,MEDICAMENTOS,1049.0,1,2
13,HUECO,C,1,3745,ESTERILIZADOR P/MICROONDAS DE BIBERONES,,1,,MATERNIDAD Y LACTANTES,MATERNIDAD,999.0,1,2
14,HUECO,C,1,4299,INSULINA GLARGINA 300UI/ML SOL JER PRE,300ui,,solucion,DIABETES,MEDICAMENTOS,999.0,1,2
15,HUECO,C,1,3556,RIVAROXABAN 20MG 28TAB SANOFI,20mg,28,tableta,CARDIOVASCULARES,MEDICAMENTOS,969.0,1,2
16,HUECO,C,1,4106,ERITROPOYETINA HUMANA 4000UI/ML 6AMP,4000ui,6,inyectable,,MEDICAMENTOS,961.0,1,2
17,HUECO,C,1,3500,VALSARTAN/HIDRO/AMLODI 14COMP,12.5mg 160mg 5mg,14,tableta,CARDIOVASCULARES,MEDICAMENTOS,929.0,1,2
18,HUECO,C,1,3557,RIVAROXABAN 10MG 30TAB SANOFI,10mg,30,tableta,CARDIOVASCULARES,MEDICAMENTOS,919.0,1,2
19,HUECO,C,1,1621,NEBULIZADOR COMPRESOR,,1,,CURACION Y MEDICION,MATERIAL DE CURACION,899.0,1,2
20,HUECO,C,1,4567,SACUBITRILO VALSARTAN 50MG 30COMP,50mg,30,tableta,,MEDICAMENTOS,899.0,1,2
21,HUECO,C,2,3592,PROT XGEAR SLENDER BLEND 1350GR,1.35e+06mg,,polvo,DEPORTISTAS,SUPLEMENTOS,889.0,2,3
22,HUECO,C,1,4093,SEMAGLUTIDA 3MG 10TAB RYBELSUS,3mg,10,tableta,DIABETES,MEDICAMENTOS,877.0,1,2
23,HUECO,C,1,4241,ALFA CETOANALOGOS AMINOAC 630MG 100TAB,630mg,100,tableta,ESPECIALIDAD,MEDICAMENTOS,859.0,1,2
24,HUECO,C,1,3367,DUTASTERIDA/TAMSU 0.5/0.4MG 30CAP GSK,0.4mg 0.5mg,30,capsula,ESPECIALIDAD,MEDICAMENTOS,799.0,1,2
25,HUECO,C,1,2069,LISADOS BACTERIANOS 10AMP SOL ORAL,3ml,10,solucion,RESPIRATORIOS,MEDICAMENTOS,789.0,1,2
26,HUECO,C,1,3837,ENOXAPARINA 40MG/0.4ML 2 JER PRE CLEXANE,0.4ml 40mg,2,solucion,CARDIOVASCULARES,MEDICAMENTOS,769.0,1,2
27,HUECO,C,1,1618,BAUMANOMETRO DIGITAL (MANUAL),,1,,CURACION Y MEDICION,MATERIAL DE CURACION,759.0,1,2
28,HUECO,C,1,3610,PIDOTIMOD 800MG 20TAB,800mg,20,tableta,ESPECIALIDAD,MEDICAMENTOS,759.0,1,2
29,HUECO,C,1,2960,GLUCOMETRO ACCU-CHEK ACTIVE,,1,,CURACION Y MEDICION,MATERIAL DE CURACION,749.0,1,2
30,HUECO,C,1,2837,VALSARTAN/AMLODI 160MG/5MG 14TAB,160mg 5mg,14,tableta,CARDIOVASCULARES,MEDICAMENTOS,739.0,1,2
31,HUECO,C,2,3583,CBD TINTURA 500MG SABOR NJA 30ML GOTAS,30ml 500mg,,gotas,RELAJANTES,SUPLEMENTOS,699.0,2,3
32,HUECO,C,1,3988,DIACEREINA/MELOXICAM 50MG/15MG 20CAP,15mg 50mg,20,capsula,ANALGESICOS,MEDICAMENTOS,699.0,1,2
33,HUECO,C,1,4153,OLMESARTAN/AMLODIPINO/HIDROCLORO 28TAB,12.5mg 40mg 5mg,28,tableta,CARDIOVASCULARES,MEDICAMENTOS,699.0,1,2
34,HUECO,C,1,4091,MOMETAS/AZELASTI 50/140MCG 150DOSIS SUSP,140mcg,,suspension,RESPIRATORIOS,MEDICAMENTOS,669.0,1,2
35,HUECO,C,1,4101,TROXERUTINA/CUMARINA 30TAB VENALOT DEPOT,180mg 30mg,30,tableta,CARDIOVASCULARES,MEDICAMENTOS,659.0,1,2
36,HUECO,C,1,3184,BAUMANOMETRO DIGITAL DE MUÑECA,,1,,CURACION Y MEDICION,MATERIAL DE CURACION,619.0,1,2
