prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo
1,HUECO,A,6,3794,AMBROXOL 20MG 18 PASTILLAS HISTIACIL GR3,20mg,18,pastilla,Gripa y tos,Aparato respiratorio,119.0,6,10
2,HUECO,A,5,2925,CLORZOXAZONA / KETOPROFENO 250/50MG 10 TABLETAS,50mg,10,tableta,Analgésicos,Analgesia,119.0,5,8
3,HUECO,A,5,1545,FLOROGLUCINOL 2GR/100ML  SOLUCION GOTAS SABOR LIMON 30 ML 1 PIEZA,100ml 2000mg 30ml,1,solucion,Analgésicos,Analgesia,116.0,5,8
4,HUECO,A,6,3839,PARACETAMOL 80MG 30 TABLETAS MASTICABLES TEMPRA,80mg,30,tableta,Analgésicos,Analgesia,103.0,6,10
5,HUECO,A,6,3923,IBUPROFENO / DIFENHIDRAMINA 200MG/25MG 10 CAPSULAS GEL,200mg 25mg,10,capsula,Analgésicos,Analgesia,99.0,6,10
6,HUECO,A,5,3224,ITOPRIDA 50 MG 30 TABLETAS,50mg,30,tableta,Funcionamiento gastrointestinal,Medicamentos,99.0,5,8
7,HUECO,A,5,3638,BUSCAPINA 12 TABLETAS CON HIOSCINA. AUXILIAR EN EL ALIVIO DEL DOLOR DE PANZA,,12,tableta,Analgésicos,Analgesia,98.0,5,8
8,HUECO,A,6,2519,PARACETAMOL / FENIRAMINA / FENILEFRINA SABOR MANZANA CANELA GRANULADO 6 SOBRES,,6,polvo,Antigripal,Aparato respiratorio,94.0,6,10
9,HUECO,A,5,2150,GEL TOPICO MENTOL / ARNICA / CALENDULA / SABILA 100 GR 1 PIEZA,100000mg,1,gel,Analgésicos,Analgesia,89.0,5,8
10,HUECO,A,6,508,NAPROXENO/CARISOPRODOL 250MG/200MG 30CAPSULAS,200mg 250mg,30,,Antiinflamatorio,Medicamentos,89.0,6,10
11,HUECO,A,6,3873,LEVODROPROPIZINA / AMBROXOL 0.6/0.3GR/100ML SOLUCION 120ML,100ml 120ml 300mg,,solucion,Aparato respiratorio,Medicamentos,84.0,6,10
12,HUECO,A,5,1268,SUCRALFATO 1 GR 40 TABLETAS,1000mg,40,tableta,Funcionamiento gastrointestinal,Medicamentos,82.0,5,8
13,HUECO,A,6,4104,PARACETAMOL 80MG 30 TABLETAS MASTICABLES MEJORALITO,80mg,30,tableta,Analgésicos,Analgesia,72.0,6,10
14,HUECO,A,6,1898,CIPROFLOXACINO / DEXAMETASONA 3.5/1 MG SOLUCION OFTALMICA 5 ML 1 PIEZA,1mg 5ml,1,solucion,Oftalmológico,Medicamentos,71.0,6,10
15,HUECO,A,6,3995,CLOTRIMAZOL/ DEXAMETASONA 1GR/0.04GR CREMA 30 GR GENERICO,1000mg 30000mg 40mg,,crema,Antimicótico,Medicamentos,69.0,6,10
16,HUECO,A,5,3466,CUO PROTECT 100 MG 30 TABLETAS LIBERACION RETARDADA,100mg,30,tableta,Analgésicos,Medicamentos,69.0,5,8
17,HUECO,A,6,1186,DICLOFENACO .18 GR SUSPENSION 120 ML 1 PIEZA,120ml 18000mg,1,suspension,Antiinflamatorio,Medicamentos,69.0,6,10
18,HUECO,A,5,674,ACARBOSA 50 MG 30 TABLETAS,50mg,30,tableta,Diabetes,Medicamentos,66.0,5,8
19,HUECO,A,6,2588,CAPTOPRIL 50 MG 30 TABLETAS,50mg,30,tableta,Antihipertensivo,Medicamentos,66.0,6,10
20,HUECO,A,6,535,METRONIDAZOL / DIYODOHIDROXIQUINOLEINA SUSPENSION 120 ML 1 PIEZA,120ml,1,suspension,Antiparasitario,Medicamentos,66.0,6,10
21,HUECO,A,6,395,DICLOFENACO SODICO / VITAMINAS B1 / B6 / B12 30 TABLETAS,,30,tableta,Antiinflamatorio,Medicamentos,64.0,6,10
22,HUECO,A,6,3180,LEVOCETIRIZINA 0.5MG SOLUCION,0.5mg,,solucion,Antialérgico,Medicamentos,64.0,6,10
23,HUECO,A,6,2577,METFORMINA 750 MG 30 TABLETAS LIBERACION PROLONGADA,750mg,30,tableta,Diabetes,Medicamentos,62.0,6,10
24,HUECO,A,6,1801,DEXTROMETORFANO 10 MG/ PARACETAMOL 250 MG/ BROMFENIRAMINA 2 MG/ FENILEFRINA 5 MG 12 CAPSULAS,10mg 250mg 2mg 5mg,12,capsula,Antigripal,Aparato respiratorio,61.0,6,10
