prioridad,estado,clase,pedir,sku_similares,generico_similares,concentraciones,piezas,forma,linea,jerarquia,precio_similares,min_sucursal,objetivo,fc_sku,fc_nombre,fc_marca,stock,match,razones
1,RELLENAR,A,2,1497,CINITAPRIDA 1MG 25 COMPRIMIDOS,1mg,25,tableta,Funcionamiento gastrointestinal,Medicamentos,119.0,5,8,EQ-AMS406,Cinitaprida 25 Comp 1 Mg,AMSA,3,100,principios activos completos; concentracion coincide; forma coincide; nombre parecido (81/74)
2,RELLENAR,A,4,2704,OMEPRAZOL 20 MG 60 CAPSULAS,20mg,60,capsula,Gastritis,Funcionamiento gastrointestinal,119.0,6,10,FC-16803800,Omeprazol Avivia,Avivia,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
3,RELLENAR,A,4,2843,BENZOCAINA 200 MG SOLUCION BUCAL CON APLICADOR 1 PIEZA,200mg,1,solucion,Analgésicos,Analgesia,117.0,5,8,EQ-QUM052,Quimikan 1 Sol C/ Apli 10 Ml 200mg/ 1 Ml,Quimpharma,1,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
4,RELLENAR,A,4,1846,ATORVASTATINA 40 MG 10 TABLETAS,40mg,10,tableta,Hipolipemiante,Medicamentos,116.0,6,10,FC-E4BE37BE,Atorvastatina,,2,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide; nombre muy parecido (100/59)
5,RELLENAR,A,2,2199,ACEMETACINA 90 MG  LIBERACION PROLONGADA 14 CAPSULAS,90mg,14,capsula,Analgésicos,Medicamentos,110.0,5,8,FC-C9F4ACCC,Acemetacina,Ultra,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
6,RELLENAR,A,5,687,AZITROMICINA 200MG SUSPENSION 15 ML 1 PIEZA,15ml 200mg,1,suspension,Antibiótico,Medicamentos,104.0,6,10,FC-D9391288,Azitromicina,Serral,1,100,principios activos completos; concentracion coincide; forma coincide
7,RELLENAR,A,3,522,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,875mg,10,tableta,Antibiótico,Medicamentos,99.0,6,10,FC-01007250,Valclan 875 mg / 125 mg Caja con 10 tabletas Wandel,Wandel,3,100,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
8,RELLENAR,A,5,1831,DESLORATADINA 50 MG SOLUCION 120 ML 1 PIEZA,120ml 50mg,1,solucion,Antialérgico,Medicamentos,99.0,6,10,FC-D11D586A,Valgab 3 jarabe 6 mL,Valgab,1,70,principios activos completos; concentracion coincide; forma difiere jarabe≠solucion
9,RELLENAR,A,5,2031,LEVOCETIRIZINA 5MG 10TABLETAS,5mg,10,,Antialérgico,Medicamentos,99.0,6,10,EQ-NOV154,Belazix C/20 Tab 5mg,NOVAG,1,70,principios activos completos; concentracion coincide; cantidad difiere 20≠10
10,RELLENAR,A,1,1840,SILDENAFIL 50 MG 4 TABLETAS,50mg,4,tableta,Disfunción eréctil,Medicamentos,99.0,6,10,EQ-MAI142,Figral 10 Tab 50 Mg,MAVI,5,76,principios activos completos; concentracion coincide; cantidad difiere 10≠4; forma coincide
