sku,nombre,tipo,categoria,marca,laboratorio_inferido,principio_activo,pa_sucio,concentracion,forma_farmaceutica,presentacion,costo,precio,markup_implicito_pct,margen_sobre_venta_pct,regla_markup,regla_markup_pct,piso,ean,ean_clase,ean_nota,precio_similares,precio_fahorro,ref_min,sugerido_min_menos_2,piso_gt_mercado,stock
FC-06226739,Desodorante Axe Conviction,marca,Higiene,Axe,,Antitranspirante / desodorante,si,,,Spray 150 mL,45.83,65.00,41.8,29.5,categoria,40,65,7506306226739,gs1_mx,EAN-13 México,,,,,,1
FC-06237407,Shampoo Sedal Ceramidas,marca,Higiene,Sedal,,Surfactantes / formula capilar,si,,,190 mL,16.48,27.00,63.8,39.0,categoria,40,24,7506306237407,gs1_mx,EAN-13 México,,,,,,1
FC-01303464,Shampoo Pantene control caída,marca,Higiene,Pantene,,Surfactantes / formula capilar,si,,,400 mL,75.70,103.00,36.1,26.5,categoria,40,106,7501001303464,gs1_mx,EAN-13 México,,,,,,1
FC-00525451,XL-3 C/10,GENERICO,GENERAL,XL-3,,Paracetamol + Fenilefrina + Clorfenamina,,,TABLETAS,C/10,30.38,41.02,35.0,25.9,med_generico,60,49,6502400525451,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,,,,,,4
FC-00170941,XL-3 Xtra C/12,GENERICO,GENERAL,XL-3,,Paracetamol + Fenilefrina + Clorfenamina,,,TABLETAS,C/12,36.26,48.96,35.0,25.9,med_generico,60,59,6502400170941,prefijo_650_interno,Prefijo 650 no es GS1 país (México=750). Interno Farmalive/Genomma.,36.0,,36.0,36,si,4
FC-08498798,Bepanthen,marca,Otro,Bepanthen,BAYER OTC,Dexpanthenol,,,,30 g,131.81,155.00,17.6,15.0,sin_clasificar,35,178,7501008498798,gs1_mx,EAN-13 México,,,,,,1
FC-01246730,Vicks Vaporub pomada 12 g,marca,Botiquín,Vicks,,Alcanfor + Mentol + Eucalipto,,,POMADA,12 G,21.25,42.00,97.6,49.4,categoria,50,32,75916565,ean8_o_interno,8 dígitos: EAN-8 real o código interno recortado,,,,,,12
FC-02012468,Vicks Vaporub ungüento 50G,marca,Botiquín,Vicks,,Alcanfor + Mentol + Eucalipto,,,Balsamo,50 G,82.41,124.00,50.5,33.5,categoria,50,124,7590002012468,gs1_otro_pais,"EAN-13 válido, prefijo 759 (no 750)",,125.0,125.0,123,si,1
FC-02012475,Vicks Vaporub ungüento 100 G,marca,Botiquín,Vicks,,Alcanfor + Mentol + Eucalipto,,,Ungüento,100 G,125.12,188.00,50.3,33.4,categoria,50,188,7590002012475,gs1_otro_pais,"EAN-13 válido, prefijo 759 (no 750)",,,,,,1
FC-69387811,Mercurio Aceite Gomenolado,marca,Producto,Mercurio,,Producto homeopatico / natural,,,Aceite,C/25,8.00,12.80,60.0,37.5,sin_clasificar,35,13,,vacio,,,,,,,3
