ean,n_skus,sku,nombre
3311000003920,5,FC-127F5753,Mercurio Arnica Tomar
3311000003920,5,FC-25E452B6,Mercurio Arnica Untar
3311000003920,5,FC-89F00320,Mercurio Arnica
3311000003920,5,FC-DFF99C3F,Mercurio
3311000003920,5,FC-5EF90195,Mercurio Flor De Arnica
7501008491074,2,FC-7D1D9857,Acetilsalicilico
7501008491074,2,FC-08491074,Aspirina
7501349022454,2,FC-BDB2E087,Irbesartan
7501349022454,2,FC-262F2A30,Irbesartan
7502009740992,2,FC-5F30F9D4,Clamoxin (Amoxicilina/Clavulánico 500/125 mg)
7502009740992,2,FC-022543CD,Valclan
7502009741050,2,FC-F3E734A0,Fasiclor
7502009741050,2,FC-9538F7D6,Fasiclor
7503003406600,2,FC-03406600,Quirmex
7503003406600,2,FC-2E5B7248,Reumatol
7503008344747,2,FC-08344747,Afrodit
7503008344747,2,FC-6898B64F,Bioerter
