principio_activo,concentracion,forma,n_skus,skus,nombres,marcas,precio_min,precio_max,dispersion_precio_pct,alerta
emolientes humectantes,,crema,13,FC-00701992 | FC-54558682 | FC-36041273 | FC-42270027 | FC-54504535 | FC-54549796 | FC-54549819 | FC-54500216 | FC-54503095 | FC-42417644 | FC-36041402 | FC-20501673 | FC-08802838,Crema Nivea Manos  Ant-Arrugas | Nivea Milk Crema corp 400 ML | Crema Hinds Clasica Rosa | Crema Nivea Facial 7 en 1 | Crema corporal Nivea Milk | Crema Nivea Milk Nutritiva | Crema Nivea Softmilk | Crema Nivea de Tarro Crist | Crema Nivea Tarro | Crema Nivea Cuidado Int P/Mano | Crema Hinds hidratación extra almendras | Crema Hinds líquida agave azul | Crema Nivea Softmilk,Hinds | Nivea,30.11,207.00,587.5,si
jabon tensioactivos,,jabon,11,FC-46657035 | FC-56371159 | FC-22150221 | FC-46655079 | FC-46655727 | FC-07502441 | FC-22105207 | FC-38891190 | FC-40004643 | FC-40036965 | FC-22150801,Palmolive jabón líquido cerezo y rosa | Jabon Dove Exfoliacion | Jabon en Barra Ricitos de Oro Neutro | Jabon barra Palmolive Neutro Bal Corp Baby | Jabon Mennen Baby Magic Lavan Hipoalerg | Jabon Johnsons Baby Antes/Dorm | Jabon Grisi Neutro | Jabon Dove Original | Jabon Asepxia Exfoliante | Jabon Asepxia Bicarbon | Jabon Grisi Avena,Asepxia | Dove | Grisi | Johnson | Mennen | Palmolive | Ricitos de Oro,19.00,61.86,225.6,si
alcohol etilico,,alcohol,8,FC-68900226 | FC-68900264 | FC-68901117 | FC-68901124 | FC-68901131 | FC-86901100 | FC-68960257 | FC-68990023,Alcohol Etilico Rojo 96° | Alcohol Etilico Rojo 96° | Alcohol Etilico Azul 71.6 | Alcohol Etilico Azul 71.6 | Alcohol Etilico Azul 71.6 | Alcohol Etilico Azul 71.6 | Alcohol Etilico Rojo 96° | Alcohol Etilico Rojo 96°,Dibar,13.00,80.00,515.4,si
material de curacion,,material de curacion,8,FC-48640751 | FC-48690909 | FC-48640799 | FC-48640775 | FC-46640629 | FC-48690800 | FC-48691005 | FC-48691104,Venda de yeso 5 cm x 2.75 m | Venda Elástica Protec 7 cm x 5 m | Venda de yeso 15 cm x 2.75 m | Venda de yeso 10 cm x 2.75 m | Venda de yeso 20 cm x 2.75 m | Venda Elástica Protec 5 cm x 5 m | Venda elástica Protec 10 cm x 5 m | Venda Elastica Protec 15 cm x 5 m,Protec,22.00,61.00,177.3,si
suplemento nutricional,,liquido,7,FC-33950063 | FC-33950100 | FC-33956133 | FC-33956140 | FC-33950070 | FC-33950209 | FC-33951008,Pediasure fresa | Ensure chocolate | Glucerna chocolate | Glucerna fresa | Ensure vainilla | Pediasure vainilla | Pediasure chocolate,Ensure | Glucerna | Pediasure,63.00,72.00,14.3,
producto homeopatico natural,,aceite,5,FC-69387811 | FC-931B4809 | FC-38CAFE6B | FC-5A697CC2 | FC-D4AC123B,Mercurio Aceite Gomenolado | Mercurio Aceite Coco | Mercurio Aceite Romero | Mercurio Aceite Olivo | Mercurio Aceite Almendras,Mercurio,12.80,12.80,0.0,
solucion limpiadora,,toallas humedas,5,FC-43454811 | FC-43471900 | FC-85800198 | FC-21012303 | FC-56034041,Toallitas húmedas cuidado puro | Toallitas húmedas C/120 | Toallitas Bebin Super | Claris toallas desmaquillantes aloe C/40 | Toallitas húmedas antibacterial,Absorsec | Bebin Super | Claris | Escudo | Huggies,24.47,63.37,159.0,si
producto homeopatico natural,,producto natural,5,FC-3676D5DC | FC-5D59ED54 | FC-62034164 | FC-D037156B | FC-C4530823,Mercurio Espiritus Tomar | Mercurio Cloruro De Magnesio Cajita | Mercurio Espiritus Untar | Mercurio Bismuto Subnitrato | Mercurio óxido de zinc C/50,Mercurio,9.61,117.60,1123.7,si
material plastico,,perilla,5,FC-614E4F82 | FC-9A1C64E7 | FC-BCF59548 | FC-C22EBFE6 | FC-FFC25DD1,Perilla N3 | Perilla Edigar N O Caja | Perilla N1 | Perilla N2 | Perilla N4,Edigar | Perilla,23.21,31.21,34.5,si
producto homeopatico natural,,pomada,5,FC-9827438F | FC-FD718DF3 | FC-0ACC5B6A | FC-EFB599B5 | FC-FEAECBF1,Mercurio Veneno De Abeja | Mercurio Sulfatiazol | Mercurio Oxido De Zinc | Mercurio Pan Puerco | Mercurio Tepezcohuite,Mercurio,14.40,18.41,27.8,si
