sku,nombre,ticket,linea_ticket,lote,nombre_ticket,clave_equilibrio,via_match,ean_propuesto,nombre_levic,precio_levic,aceptable,confirmado_por,aceptado,aviso
FC-69387811,Mercurio Aceite Gomenolado,IFC1-080826,17,,MERCURIO ACEITE GOMENOLADO C/25 1160623,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-6C2878CF,Susp 125 Mg/Ml,440393,102,25XY004,BUDENOVA SUSP 125 MG/ML 5 AMP 2ML,NOV165,linea_equilibrio,7501075726251,Budenova Susp .125 Mg/Ml 5 Amp 2ml,161.0,candidato_clave_levic,equilibrio.linea_equilibrio+levic.NOV165,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-931B4809,Mercurio Aceite Coco,IFC1-080826,9,,MERCURIO ACEITE COCO C/25 800523 83064,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-926099D3,Mertiolate Kohn Rojo,IFC1-080826,12,,KOHN MERTIOLATE ROJO C/25 012023 82912,,,,,,,,,Sin clave/EAN exacto en tickets ni portal Levic
FC-77FE5C83,Sonblefam S (Crema),440393,115,26061504,SONBLEFAM S 1 CMA 100 G/40 G,SON256,lote_equilibrio,7502001166592,Sonblefan S 1 Cma .100 G/ 40 G,36.21,candidato_clave_levic,equilibrio.lote_equilibrio+levic.SON256,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-AA7B0686,Drosquim Ad 1 Ibe 300/160,440393,156,26DP32,DROSQUIM AD 1 IBE 300/160/200 ML,QUM070,lote_equilibrio,7502223111400,Drosequim Ad 1 Jbe 300/160/200 Ml,82.59,candidato_clave_levic,equilibrio.lote_equilibrio+levic.QUM070,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-CF719C07,Diclofen,440393,20,E2605191,DICLOFEN 12 CAPS 500 MG,SON039,linea_equilibrio,7502001163782,Dicleophen 12 Caps 500 Mg,29.76,candidato_clave_levic,equilibrio.linea_equilibrio+levic.SON039,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-1CF27DC9,Dison Dex,440393,90,26040978,DISON DEX 1 FA 5/2 MG,SON160,lote_equilibrio,7502001164833,Disons Dex 1 Fa 5/2 Mg,35.11,candidato_clave_levic,equilibrio.lote_equilibrio+levic.SON160,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-DE106642,Infamid (Metamizol + Dexametasona + Vit. B),440393,120,26240043,AMPIGRIN INF 3 AMP 250/200/100/30MG/3 ML,COL008,lote_equilibrio,780083140939,AMPIGRIM INFANTIL(Metamizol + Dexametasona + Vit. B),73.95,candidato_clave_levic,equilibrio.lote_equilibrio+levic.COL008,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
FC-D11D586A,Valgab 3 Ibe /6Ml,440393,151,L2K501,VALGAB 3 IBE 50MG/6ML,BIO163,linea_equilibrio,7501573907688,Valgab 3 jarabe 6 mL,21.18,candidato_clave_levic,equilibrio.linea_equilibrio+levic.BIO163,,NO aplicar en lote. Solo clave/EAN exacto. Revisar a mano si via=nombre_fold.
