bloque,sku,nombre,presentacion,forma,piezas_propuestas,medida,contenido,motivo,dato_actual
discrepancia,FC-98217659,Dolo-Neurobion solucion inyectable C/3,C/3 jeringas prellenadas 3 mL,solucion,3,ml,3.0,contenido 3 ml,20
discrepancia,FC-8494226,Aspirina Junior 100 mg C/60,C/60 tabletas 100 mg,tableta,60,pieza,,C/N explicito,40
discrepancia,FC-070839,Alliviax Garganta C/8 tabletas,C/8 tabletas 550 mg,tableta,8,pieza,,C/N explicito,6
revisar,FC-75713770,Metamizol sodico solucion Novag Infancia,Frasco,solucion,,,,forma continua (solucion) sin contenido legible,
revisar,FC-09747236,Bactiver infantil tabletas Maver,Caja tabletas,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-93025865,desodorante Axe Men Gold Temp,,,,,,sin forma ni cantidad legible,
revisar,FC-77FE5C83,Sonblefam S (Crema),1 CREMA,crema,,,,forma continua (crema) sin contenido legible,
revisar,FC-00315021,Tukol-D jarabe infantil,Jbe Inf,jarabe,,,,forma continua (jarabe) sin contenido legible,
revisar,FC-18754259,Levocetirizina Mavi Reg. 086M2019,Caja,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-54054221,Splash Tears Sol oftálmica,Sol oftálmica,solucion,,,,forma continua (solucion) sin contenido legible,
revisar,FC-58203691,Hilo Dental expanding,0.9 M,,,,,"la presentacion son medidas fisicas, no piezas",
revisar,FC-40006647,Ultra Bengue Gel,Gel,gel,,,,forma continua (gel) sin contenido legible,
revisar,FC-27872123,Raamcinet cetirizina 10 mg,Caja tabletas,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-27871416,Raamfen difenidol 25 mg,Caja tabletas,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-F817BC3A,Sibicos,1 CREMA,crema,,,,forma continua (crema) sin contenido legible,
revisar,FC-1BF03D35,Acetonido De Fluocinolona Cma,,,,,,sin forma ni cantidad legible,
revisar,FC-03406600,Tela Adhesiva Impermeable Quirmex,1 pz 2.5 cm x 5m,,,,,"la presentacion son medidas fisicas, no piezas",
revisar,FC-03406501,Tela Adhesiva Impermeable Quirmex,1 pz 1.25 x 5 m,,,,,"la presentacion son medidas fisicas, no piezas",
revisar,FC-25116810,Agrifen,TABLETAS 10,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-12225164,Vitacilina Bebé Pomada,Pomada,unguento,,,,forma continua (unguento) sin contenido legible,
revisar,FC-54221482,Deeflamox Plus,SUSPENSION 5ML,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-07521317,Gotero cristal,,,,,,sin forma ni cantidad legible,
revisar,FC-75354321,Tylenol,TABLETAS,tableta,,,,forma solida (tableta) sin cantidad legible,
revisar,FC-08344747,Afrodit,400 UI,,,,,sin forma ni cantidad legible,
revisar,FC-3E863E37,Tratidri,1 GEL,gel,,,,forma continua (gel) sin contenido legible,
revisar,FC-43475014,Pañal Diapro Grande,,,,,,sin forma ni cantidad legible,
revisar,FC-45079011,Balsamo para Labios Labello Fresa,1 pz,unguento,,,,forma continua (unguento) sin contenido legible,
revisar,FC-50003151,Neo-Melubrina jarabe,100 ML,inyectable,,,,forma solida (inyectable) sin cantidad legible,
revisar,FC-89794961,Histiacil NF Infantil (Jarabe),1 JARABE,jarabe,,,,forma continua (jarabe) sin contenido legible,
revisar,FC-6898B64F,Bioerter,1 SUSPENSION,suspension,,,,forma continua (suspension) sin contenido legible,
revisar,FC-930E0B1B,Vandil,1 SUSPENSION,suspension,,,,forma continua (suspension) sin contenido legible,
revisar,FC-DDFBABDF,Clamoxin 12H Ped (Amoxicilina/Clavulánico susp.),1 SUSPENSION,suspension,,,,forma continua (suspension) sin contenido legible,
revisar,FC-48690909,Venda Elástica Protec 7 cm x 5 m,7 CM x 5 M,,,,,"la presentacion son medidas fisicas, no piezas",
revisar,FC-9A1C64E7,Perilla Edigar N O Caja,,,,,,sin forma ni cantidad legible,
