sku,nombre,precio,confianza,fila_excel,razones
FC-103521,Brunadol paracetamol/naproxeno C/10,34.0,100,BRUNADOL NAPROXENO SOD/PARAC 275MG/300MG 10TAB 275MG/300MG 10 TABLETAS,misma marca comercial; principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-09747366,Veridex ivermectina 6 mg C/4,101.0,100,VERIDEX IVERMECTINA 6MG 4TAB 6MG 4 TABLETAS,misma marca comercial; principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-50003151,Neo-Melubrina jarabe,51.0,100,NEO MELUBRINA METAMIZOL SODICO 5G/100ML JBE 120ML 5GR/100ML JARABE 120ML,misma marca comercial; concentracion coincide; forma coincide
FC-00422511,Bactiver sulfametoxazol/trimetoprima susp. 120 mL,31.0,100,BACTIVER TRIMETOPRI/SULFA 800/4000MG SUSP 120ML 800MG/4000MG/120ML SUSPENSION 120ML,misma marca comercial; concentracion coincide; forma coincide
FC-08427330,Bepanthen Pomada Protectora Contra Rozaduras,34.0,100,BEPHANTEN DEXPANTENOL 5/100GR POMADA 30GR TATUAJES 5/100GR POMADA 30GR,marca parecida (88.88888888888889); principios activos completos; concentracion coincide; forma coincide
FC-08344716,La Femme vitaminas menopausia C/30,107.0,100,LA FEMME CIMICIFUGA/VIT/ISOFLAV 30CAPGEL 30 CAPSULAS GELATINA BLANDA,misma marca comercial; cantidad coincide; forma coincide
FC-0211225,Dibenel cápsulas vitaminas omega 3 C/30,71.0,100,DIBENEL SIMI DIAB PLUS 30CAP 30 CAPSULAS,misma marca comercial; cantidad coincide; forma coincide
FC-9511421,Pasta Lassar Andromaco 30 g,19.0,95,DESITIN OXIDO DE ZINC 25GR/100GR 30GR 25GR/100GR PASTA 30GR,principios activos completos; concentracion coincide
FC-31405888,Plusgel antiacido C/50 masticables,63.0,80,PLUS GEL ALUMINIO/MAGN/DIMET 50TAB MAST 200MG/200MG/20MG 50 TABLETAS MASTICABLES,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-8497593,Alka-Seltzer Boost C/10,39.0,80,ALKA SELTZER AC ACETIL/BICARBO/A CITRICO 10TAB ALKA 0.324G/1.976G/1.0G 10 TABLETAS EFERVESCENTES,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-6898B64F,Bioerter,84.0,80,BIOERTER ERITROMICINA 250MG SUSP 100ML 250MG/5ML SUSPENSION 100ML,misma marca comercial; nuestro catalogo sin concentracion; forma coincide
FC-08895196,KY6,23.0,80,PIRAFRIN AGRIFEN CLORFENAMINA 10TAB 500MG/25MG/5MG/4MG 10 TABLETAS,principios activos completos; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-974EE5FD,Gimalxina,42.0,80,GIMALXINA AMOXICILINA 500MG SUSP 75ML 500MG/5ML SUSPENSION 75ML,misma marca comercial; nuestro catalogo sin concentracion; forma coincide
FC-2EDC6E3B,Cefagen,195.0,80,CEFAGEN CEFUROXIMA 500MG 10TAB 500MG 10 TABLETAS,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-A23F290E,Zitriasol,110.0,80,ZITRIASOL ITRACONAZOL 100MG 15CAP 100MG 15 CAPSULAS,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-F82A6E4B,Ampicilina,49.0,80,AMPITECNO T AMPICILINA 1GR 10TAB 1GR 10 TABLETAS,principios activos completos; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-1812D26D,Hucius cápsulas,139.0,80,HUCIUS CASTAÑO INDIAS/RUSCUS 250MG/70MG 30CAP 250MG/70MG 30 CAPSULAS,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-BE2ACF63,Valnait cápsulas valeriana,89.0,80,VALNAIT SIMIPZ VALERIANA + 250MG 30CAP 250MG 30 CAPSULAS,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-CD261CD5,Doliprofen,31.0,80,DOLPROFEN IBUPROFENO 800MG 10TAB 800MG 10 TABLETAS,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-48F732CF,Epicin,48.0,80,EXPICIN AMPICILINA 500MG 20CAP O TAB 500MG 20 CAPSULAS O TABLETAS,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma coincide
FC-5181402,Sedalmerck C/40 tabletas,52.0,76,SEDALMERCK PARACETAMOL/CAFE/FENILE 10TAB SEDALMERCK 500MG/50MG/5MG 10 TABLETAS,misma marca comercial; concentracion coincide; cantidad difiere 40≠10; forma coincide
FC-00740024,Silka Medic Gel,34.0,70,BINAFEX TERBINAFINA CLORHIDRATO 15GR 10MG/1G CREMA 15GR,principios activos completos; concentracion coincide; forma difiere gel≠crema
FC-80596011,Aderogyl ampolletas C/4,119.0,70,ADEROGYL PALMITATO RET/ERGOC/AC ASC 4AMP ADEROGYL 6000/1200UI/499.65MG 4 AMPOLLETAS/3ML,misma marca comercial; nuestro catalogo sin concentracion; cantidad coincide; forma difiere inyectable≠solucion
FC-D11D586A,Valgab 3 jarabe 6 mL,99.0,70,VALGAB DESLORATADINA 50MG SOL 120ML 50MG/100ML SOLUCION 120ML,misma marca comercial; concentracion coincide; forma difiere jarabe≠solucion
FC-8432071,Jaloma vaselina blanca 60 g,23.0,70,VASELINA P/BEBE 60GR 60 GR,principios activos completos; concentracion coincide; forma difiere crema≠unguento
