confirmado,sku,nombre_fc,marca_fc,principio_activo_propuesto,marca_excel,precio_excel
,FC-05965071,Acroxil-C,Acroxil-C,AMOXICILINA/BROM 500/8MG 12CAP,ACROXIL C,36.0
,FC-85BDBD3D,Acroxil-C,Acroxil-C,AMOXICILINA/BROM 250MG SUSP 60ML,ACROXIL C,54.0
,FC-BE76D409,Amcef IM 1 g (Inyectable),Amcef,CEFTRIAXONA 1GR 1AMP,AMCEF,79.0
,FC-07F04F88,Amcef IM 500 mg (Inyectable),Amcef,CEFTRIAXONA 500MG 1AMP,AMCEF,49.0
,FC-2001A890,Ampigrin AD (Ampicilina + Dicloxacilina),Ampigrin,AMPICILINA/MET/GUA/CLO AD 3AMP+3JER,AMPIGRIN,94.0
,FC-17376CAE,Aspitak-P,Aspitak-P,CUO PROTECT 100MG 30TAB LR,ASPITAK-P,69.0
,FC-BE0A0E46,Cateter para Venoclisis 22 g,Sumitex,SUMATRIPTAN 50MG 2COMP,SUMITREX,79.0
,FC-40CE757D,Cefalver,Cefalver,CEFALEXINA 1GR 12TAB,CEFALVER,90.0
,FC-492D652F,Cefalver,Cefalver,CEFALEXINA 500MG 20CAP,CEFALVER,84.0
,FC-DB3B2584,Celesbitan,Celesbitan,BETAMETASONA 8MG/2ML 1AMP+JER,CELESBITAN,37.0
,FC-B25B4654,Cina (Ciprofloxacino),Cina,LEVOFLOXACINO 750MG 7TAB,CINA,229.0
,FC-20501765,Crema Grisi aloe vera para manos,Grisi,JABON DE AZUFRE CON LANOLINA 100GR,GRISI,56.0
,FC-36040450,Crema Grisi concha nácar para manos,Grisi,JABON DE AZUFRE CON LANOLINA 100GR,GRISI,56.0
,FC-76000260,Crema Vitacilina amarilla aclaradora,Vitacilina,NEOMICINA/VIT A UNGÜENTO 28GR,VITACILINA,31.0
,FC-76000253,Crema Vitacilina roja antiarrugas,Vitacilina,NEOMICINA/VIT A UNGÜENTO 28GR,VITACILINA,31.0
,FC-29670370,Degortzin,Degortzin,CETIRIZINA 100MG 50ML,DEGORTZIN,80.0
,FC-0211225,Dibenel cápsulas vitaminas omega 3 C/30,Dibenel,SIMI DIAB PLUS 30CAP,DIBENEL,71.0
,FC-830BF3FB,Diviltac,Diviltac,ALGESTONA/ESTRADIOL 1AMP 1ML,DIVILTAC,54.0
