confirmado,sku,nombre_fc,marca_fc,principio_activo_propuesto,candidato_externo,precio_externo,etiqueta_externa
x,FC-2001A890,Ampigrin AD (Ampicilina + Dicloxacilina),Ampigrin,Ampicilina + Dicloxacilina,(del propio nombre del producto),,nombre_propio
x,FC-B25B4654,Cina (Ciprofloxacino),Cina,Ciprofloxacino,(del propio nombre del producto),,nombre_propio
x,FC-DE106642,Infamid (Metamizol + Dexametasona + Vit. B),Ampigrin,Metamizol + Dexametasona + Vit.,(del propio nombre del producto),,nombre_propio
,FC-05965071,Acroxil-C,Acroxil-C,AMOXICILINA/BROM 250MG SUSP 60ML,Excel · marca ACROXIL C,54.0,excel_marca
,FC-85BDBD3D,Acroxil-C,Acroxil-C,AMOXICILINA/BROM 250MG SUSP 60ML,Excel · marca ACROXIL C,54.0,excel_marca
,FC-BE76D409,Amcef IM 1 g (Inyectable),Amcef,CEFTRIAXONA 1GR 1AMP,Excel · marca AMCEF,79.0,excel_marca
,FC-07F04F88,Amcef IM 500 mg (Inyectable),Amcef,CEFTRIAXONA 1GR 1AMP,Excel · marca AMCEF,79.0,excel_marca
,FC-17376CAE,Aspitak-P,Aspitak-P,AC ACETILSALICILICO 100MG AD 30COMP,Excel · marca ASPITAK P,24.0,excel_marca
,FC-40CE757D,Cefalver,Cefalver,CEFALEXINA 1GR 12TAB,Excel · marca CEFALVER,90.0,excel_marca
,FC-492D652F,Cefalver,Cefalver,CEFALEXINA 1GR 12TAB,Excel · marca CEFALVER,90.0,excel_marca
,FC-DB3B2584,Celesbitan,Celesbitan,BETAMETASONA 8MG/2ML 1AMP+JER,Excel · marca CELESBITAN,37.0,excel_marca
,FC-20501765,Crema Grisi aloe vera para manos,Grisi,JABON DE AZUFRE CON LANOLINA 100GR,Excel · marca GRISI,56.0,excel_marca
,FC-36040450,Crema Grisi concha nácar para manos,Grisi,JABON DE AZUFRE CON LANOLINA 100GR,Excel · marca GRISI,56.0,excel_marca
,FC-76000260,Crema Vitacilina amarilla aclaradora,Vitacilina,NEOMICINA/VIT A UNGÜENTO 28GR,Excel · marca VITACILINA,31.0,excel_marca
,FC-76000253,Crema Vitacilina roja antiarrugas,Vitacilina,NEOMICINA/VIT A UNGÜENTO 28GR,Excel · marca VITACILINA,31.0,excel_marca
,FC-29670370,Degortzin,Degortzin,CETIRIZINA 10MG 10TAB,Excel · marca DEGORTZIN,60.0,excel_marca
,FC-0211225,Dibenel cápsulas vitaminas omega 3 C/30,Dibenel,SIMI DIAB PLUS 30CAP,Excel · marca DIBENEL,71.0,excel_marca
,FC-830BF3FB,Diviltac,Diviltac,ALGESTONA/ESTRADIOL 1AMP 1ML,Excel · marca DIVILTAC,54.0,excel_marca
,FC-25104411,Electrolit Coco,Electrolit,ELECTROLITO ORAL NJA-MDNA 500ML,Excel · marca ELECTROLIT,25.5,excel_marca
,FC-25104268,Electrolit Fresa,Electrolit,ELECTROLITO ORAL NJA-MDNA 500ML,Excel · marca ELECTROLIT,25.5,excel_marca
,FC-25149221,Electrolit Fresa-Kiwi,Electrolit,ELECTROLITO ORAL NJA-MDNA 500ML,Excel · marca ELECTROLIT,25.5,excel_marca
,FC-51747971,Electrolit Mora Azul,Electrolit,ELECTROLITO ORAL NJA-MDNA 500ML,Excel · marca ELECTROLIT,25.5,excel_marca
,FC-25104688,Electrolit Naranja-Mandarina,Electrolit,ELECTROLITO ORAL NJA-MDNA 500ML,Excel · marca ELECTROLIT,25.5,excel_marca
,FC-51448511,Electrolit Uva,Electrolit,ELECTROLITO ORAL NJA-MDNA 500ML,Excel · marca ELECTROLIT,25.5,excel_marca
,FC-DA34D88D,Erbitrax Terbinafina,Erbitrax,TERBINAFINA CLORHIDRATO 15GR,Excel · marca ERBITRAX,34.0,excel_marca
,FC-22111352,Grisi Corp Diabecare,Grisi,JABON DE AZUFRE CON LANOLINA 100GR,Excel · marca GRISI,56.0,excel_marca
,FC-22150092,Grisi Leche De Burra,Grisi,JABON DE AZUFRE CON LANOLINA 100GR,Excel · marca GRISI,56.0,excel_marca
,FC-1812D26D,Hucius cápsulas,Hucius,CASTAÑO INDIAS/RUSCUS 250MG/70MG 30CAP,Excel · marca HUCIUS,139.0,excel_marca
,FC-697EEAD0,Kurtosil,Kurtosil,AC FUSIDICO/BETA 20/1MG CREMA,Excel · marca KURTOSIL,119.0,excel_marca
,FC-08344716,La Femme vitaminas menopausia C/30,La Femme,CIMICIFUGA/VIT/ISOFLAV 30CAPGEL,Excel · marca LA FEMME,107.0,excel_marca
,FC-B69FCBF4,Lesaclor,Lesaclor,ACICLOVIR 4GR/100ML SUSP 120ML,Excel · marca LESACLOR,79.0,excel_marca
,FC-B25094C4,Lesaclor,Lesaclor,ACICLOVIR 4GR/100ML SUSP 120ML,Excel · marca LESACLOR,79.0,excel_marca
