sku,nombre,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones
FC-01246730,Vicks Vaporub pomada 12 g,21.25,42,31.9,100,ALCANFOR / MENTOL / EUCALIPTO UNGÜENTO VICK VAPORUB 12 GR 1 PIEZA,alcanfor mentol 12000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-75718676,Novagon psyllium polvo 400 g,0.0,0,154.0,100,PSYLLIUM PLANTAGO POLVO NATURAL 400 GR 1 PIEZA,plantago psyllium 400000mg,principios activos completos; concentracion coincide; forma coincide
FC-27427392,ML-PRIM metocarbamol/ibuprofeno C/12,0.0,0,58.0,100,METOCARBAMOL / IBUPROFENO 375/200MG 12 CAPSULAS,metocarbamol ibuprofeno 200mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
FC-73906469,Biobend bencidamina solucion bucal 360 mL,0.0,0,59.0,100,BENCIDAMINA 45MG/100ML  SOLUCION 30 ML 1 PIEZA,bencidamina 100ml,principios activos completos; concentracion coincide; forma coincide
FC-01165953,Rexurdir nifuroxazida 400 mg C/16,0.0,0,56.0,100,NIFUROXAZIDA 400 MG 16 CAPSULAS,nifuroxazida 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-11165726,Raspisons unguento neomicina/retinol 28 g,0.0,0,31.0,100,NEOMICINA / RETINOL (VITAMINA A) UNGÜENTO 28 GR 1 PIEZA,neomicina retinol 28000mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-28979502,Histiacil NF adulto jarabe,121.91,161.72,36.0,100,AMBROXOL / DEXTROMETORFANO 225/225MG ADULTO JARABE 1 PIEZA,dextrometorfano ambroxol 150ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-16803800,Omeprazol Avivia capsulas C/60,0.0,0,119.0,100,OMEPRAZOL 20 MG 60 CAPSULAS,omeprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-27872123,Raamcinet cetirizina 10 mg,0.0,0,60.0,100,CETIRIZINA 10 MG 10 TABLETAS,cetirizina 10mg,principios activos completos; concentracion coincide; forma coincide
FC-27871416,Raamfen difenidol 25 mg,0.0,0,18.0,100,DIFENIDOL 25 MG 30 TABLETAS,difenidol 25mg,principios activos completos; concentracion coincide; forma coincide
FC-103521,Brunadol paracetamol/naproxeno C/10,19.31,72,34.0,100,NAPROXENO SODICO/PARACETAMOL 275MG/300MG 10TABLETAS,paracetamol naproxeno 275mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide
FC-09747366,Veridex ivermectina 6 mg C/4,75.46,101.88,101.0,100,IVERMECTINA 6 MG 4 TABLETAS,ivermectina 6mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-84973401,Flanax Naproxeno,182.7,237.51,39.0,100,NAPROXENO SODICO 550 MG 12 TABLETAS,naproxeno 550mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-50003151,Neo-Melubrina jarabe,118.58,189.73,51.0,100,METAMIZOL SODICO  5G/100ML JARABE 120ML  1 PIEZA,metamizol sodico 100ml,principios activos completos; concentracion coincide; forma coincide
FC-32911454,OFF! Extra Duracion repelente aerosol 170 g,68.64,92.66,103.0,100,REPELENTE INSEC(DEET 15%) 170GR AEROSOL 1 PIEZA,deet,principios activos completos; concentracion coincide; forma coincide
FC-00422511,Bactiver sulfametoxazol/trimetoprima susp. 120 mL,21.28,27.67,31.0,100,TRIMETOPRIMA/SULFAMETOXAZOL 800/4000MG SUSPENSION 120ML,sulfametoxazol trimetoprima 120ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide
FC-27875568,Desrotan fexofenadina 180 mg C/10,47.31,61.51,144.0,100,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,fexofenadina 180mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-00753067,Pepto-Bismol Suspension 118 ml,96.73,150.0,76.0,100,SUBSALICILATO DE BISMUTO SUSPENSION PEPTO BISMOL PLUS 118 ML 1 PIEZA,subsalicilato bismuto 118ml,principios activos completos; concentracion coincide; forma coincide
FC-7426449,Nesajar 100/300 mg C/16,114.27,77.14,189.0,100,PINAVERIO / DIMETICONA  100/300 MG 16 CAPSULAS,pinaverio bromuro 300mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-50724298,Tempra jarabe Infantil,166.19,224.36,48.0,100,FENILEFRINA / CLORFENAMINA / GUAIFENESINA / PARACETAMOL INFANTIL JARABE 120 ML 1 PIEZA,paracetamol 120ml,principios activos completos; concentracion coincide; forma coincide
FC-52D2A43A,Zukedib glimepirida 2 mg C/30,29.08,37.81,63.0,100,GLIMEPIRIDA 2 MG 30 TABLETAS,glimepirida 2mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-53601339,Daclafin subsalicilato bismuto susp. 120 mL,0.0,0,46.0,100,SUBSALICILATO DE BISMUTO SUSPENSION 120 ML 1 PIEZA,subsalicilato bismuto 120ml,principios activos completos; concentracion coincide; forma coincide
FC-79071241,Bisolvon Infantil,144.95,216,129.0,100,DROPROPIZINA/BROMHEXINA 150 MG/80 MG 200ML JARABE INFANTIL,bromhexina,principios activos completos; concentracion coincide; forma coincide
FC-82200016,Aktyzar omeprazol Solfran capsulas C/120,0.0,0,147.0,100,OMEPRAZOL 20 MG 120 CAPSULAS,omeprazol 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-84095411,Saridon,63.46,84.18,27.0,100,PARACETAMOL / CAFEINA 500/50MG 20 TABLETAS,paracetamol cafeina 500mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad coincide; forma coincide
FC-8421321,Redoxon 1g Naranja,130.0,175.5,51.0,100,ACIDO ASCORBICO 1 GR SABOR NARANJA 10 TABLETAS EFERVESCENTES,acido ascorbico 1000mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-85132069,Nazil Ofteno Solucion Oftalmica 15 ml,67.82,91.56,35.0,100,NAFAZOLINA SOLUCION OFTALMICA 15 ML 1 PIEZA,nafazolina 15ml,principios activos completos; concentracion coincide; forma coincide
FC-8645080,Canesten V Crema 3 dias 20 g + 3 aplicadores,142.1,191.7,49.0,100,CLOTRIMAZOL 2/100GR 20GR CREMA VAGINAL,clotrimazol,principios activos completos; concentracion coincide; forma coincide
FC-88915491,Tarmin 2 Mg /12,58.5,77.0,12.5,100,LOPERAMIDA 2 MG 12 TABLETAS,loperamida 2mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-88579615,Topron nifuroxazida 400 mg C/16,153.47,251.4,56.0,100,NIFUROXAZIDA 400 MG 16 CAPSULAS,nifuroxazida 400mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide
FC-09745584,Oppelver lactulosa jarabe 125 mL,0.0,0,89.0,100,LACTULOSA JARABE 120ML O 125ML 10GR/15ML 1 PIEZA,lactulosa,principios activos completos; concentracion coincide; forma coincide
FC-A2B284E0,Hialuronato De Sodio 4Mg,113.89,148.06,199.0,100,HIALURONATO DE SODIO 4MG/ML SOLUCION OFTALMICA 1 PIEZA,hialuronato sodio 10ml,principios activos completos; concentracion coincide
FC-31144302,Collifrin oximetazolina 0.05% solucion 20 mL,0.0,0,34.0,99,OXIMETAZOLINA ADULTO 50MG/100ML SOLUCION NASAL 20 ML 1 PIEZA,oximetazolina 20ml,principios activos completos; concentracion coincide; forma coincide
FC-8432071,Jaloma vaselina blanca 60 g,12.15,17.01,23.0,98,VASELINA PARA BEBE 60 GR 1 PIEZA,vaselina,principios activos completos; concentracion coincide
FC-03388008,Velatuss levodropropizina jarabe 120 mL,0.0,0,66.0,92,LEVODROPROPIZINA SOLUCION 120 ML 1 PIEZA,levodropropizina 120ml,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion
FC-04908738,Lidocaina unguento 5% tubo 35 g,0.0,0,43.0,92,NAPROXENO/LIDOCAINA 10G/2G GEL TOPICO 35GR,lidocaina,principios activos completos; concentracion coincide; forma equivalente unguento~gel
FC-1FFBB505,Supratex levodropropizina jarabe 120 mL,42.14,54.79,84.0,92,LEVODROPROPIZINA / AMBROXOL 0.6/0.3GR/100ML SOLUCION 120ML,levodropropizina 100ml,principios activos completos; concentracion coincide; forma equivalente jarabe~solucion
FC-6040351,Lotrimin-Uno Crema 1% 20 g,70.32,94.94,49.0,92,BIFONAZOL UNGÜENTO 20 GR 1 PIEZA,bifonazol,principios activos completos; concentracion coincide; forma equivalente crema~unguento
FC-08499818,Aspirina 500 mg,61.15,82.56,15.0,90,ACIDO ACETILSALICILICO 500 MG 20 TABLETAS,acido acetilsalicilico 500mg,principios activos completos; concentracion coincide; cantidad difiere 80≠20; forma coincide
FC-8491966,Aspirina 500 mg C/40,45.57,61.52,15.0,90,ACIDO ACETILSALICILICO 500 MG 20 TABLETAS,acido acetilsalicilico 500mg,principios activos completos; concentracion coincide; cantidad difiere 40≠20; forma coincide
FC-75723137,Novakosid senosidos A-B 8.6 mg C/20,0.0,0,54.0,90,SENOSIDOS AB 8.6MG 60 TABLETAS,senosidos 8.6mg,principios activos completos; concentracion coincide; cantidad difiere 20≠60; forma coincide
FC-8281209,Sedalmerck C/20 tabletas,79.33,107.2,23.0,90,AGRIFEN PARACETAMOL 500 MG / CAFEINA 25 MG / FENILEFRINA 5 MG / CLORFENAMINA 4 MG 10 TABLETAS,paracetamol cafeina 500mg,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; cantidad difiere 20≠10; forma coincide
FC-87154871,Graneodin F (flurbiprofeno),135.2,172.12,169.0,90,FLURBIPROFENO 8.75MG 24 PASTILLAS GRANEODIN F,flurbiprofeno 8.75mg,principios activos completos; concentracion coincide; cantidad difiere 16≠24; forma equivalente tableta~pastilla
FC-070839,Alliviax Garganta C/8 tabletas,24.5,33.08,39.0,90,NAPROXENO SODICO 550 MG 12 TABLETAS,naproxeno sodico 550mg,principios activos completos; concentracion coincide; cantidad difiere 8≠12; forma coincide
FC-8494226,Aspirina Junior 100 mg C/60,65.66,88.64,24.0,90,ACIDO ACETILSALICILICO 100MG ADULTO 30 COMPRIMIDOS,acido acetilsalicilico 100mg,principios activos completos; concentracion coincide; cantidad difiere 60≠30; forma coincide
FC-00740024,Silka Medic Gel,80.56,108.76,34.0,85,TERBINAFINA CLORHIDRATO CREMA 15 GR 1 PIEZA,terbinafina,principios activos completos; concentracion coincide; forma equivalente gel~crema
FC-08421321,Redoxon 1g 2-pack Naranja,130.0,175.5,51.0,85,ACIDO ASCORBICO 1 GR SABOR NARANJA 10 TABLETAS EFERVESCENTES,acido ascorbico 1000mg,principios activos completos; concentracion coincide; cantidad difiere 2≠10; forma coincide
FC-06257597,Talco Para Pies Rexona Efficient Orig,40.24,55.0,19.0,85,OXIDO DE ZINC 25GR/100GR PASTA 1 PIEZA,zinc,principios activos completos; concentracion coincide
FC-35908116,Talco para bebé Mennen azul chico,38.18,54,19.0,85,OXIDO DE ZINC 25GR/100GR PASTA 1 PIEZA,zinc,principios activos completos; concentracion coincide
