sku,nombre,tipo,costo,precio_fc,precio_similares,confianza,nombre_similares,termino,razones,tenia_ref,sim_previo,stock,cant_fc,cant_sim
EQ-NOV179,Acetif 10 Tab 500 Mg,generico,5.72,10.0,8.0,100,PARACETAMOL 500 MG 10 TABLETAS,paracetamol 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,8.0,9.0,10,10
EQ-ALP0300,Acido Acetilsalicilico Ef 20 Tab 300 Mg,generico,19.07,29.0,18.0,100,ACIDO ACETILSALICILICO 300MG 20 TABLETAS EFERVESCENTES,acido acetilsalicilico 300mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,18.0,5.0,20,20
FC-11780359,Aflusil (Ibuprofeno) suspensión 2 g/100 mL,generico,19.6,35.0,31.0,100,IBUPROFENO  2GR/100ML SUSPENSION 120 ML 1 PIEZA,ibuprofeno 100ml,principios activos completos; concentracion coincide; forma coincide,True,31.0,2.0,,1
FC-ACA2A2F6,Alopurinol 300 mg,generico,21.46,74.0,33.0,100,ALOPURINOL 300 MG 20 TABLETAS,alopurinol 300mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,33.0,2.0,20,20
FC-49021570,Amoxicilina 500 mg Caja con 12 cápsulas AMSA,generico,18.37,37.0,39.0,100,AMOXICILINA 500 MG 12 CAPSULAS,amoxicilina 500mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,39.0,5.0,12,12
FC-36000828,Argental (Sulfadiazina de plata) crema,generico,35.5,57.0,44.0,100,SULFADIAZINA DE PLATA CREMA 1% 28GR,sulfadiazina plata 28000mg,principios activos completos; concentracion coincide; forma coincide,True,44.0,2.0,,
FC-45307181,Arnica León Parche,generico,74.68,95.0,84.0,100,PARCHE DE LEON ARNICA 3% 12X18CM 1 PIEZA,arnica,principios activos completos; cantidad coincide; forma coincide,True,84.0,1.0,1,1
FC-49028913,Atorvastatina 40 mg Caja con 10 tabletas AMSA,generico,26.35,65.0,116.0,100,ATORVASTATINA 40 MG 10 TABLETAS,atorvastatina 40mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,116.0,2.0,10,10
EQ-MAV358,Avattor 30 Comp 20 Mg,generico,103.08,165.0,144.0,100,LEFLUNOMIDA 20 MG 30 COMPRIMIDOS,leflunomida 20mg,principios activos completos; concentracion coincide; cantidad coincide; forma coincide,True,144.0,1.0,30,30
FC-00422511,Bactiver sulfametoxazol/trimetoprima susp. 120 mL,generico,21.28,35.0,31.0,100,TRIMETOPRIMA/SULFAMETOXAZOL 800/4000MG SUSPENSION 120ML,sulfametoxazol trimetoprima 120ml,principios activos completos; equivalente generico verificado por composicion; concentracion coincide; forma coincide,True,31.0,1.0,,
FC-86100158,Benvia Infantil (Dimenhidrinato) 250 mg/100 mL,generico,32.38,52.0,79.0,100,DIMENHIDRINATO 250 MG/100 ML JARABE INFANTIL 120 ML,dimenhidrinato 100ml,principios activos completos; concentracion coincide,True,79.0,1.0,,
EQ-MAV410,Benzocaina Gel,generico,40.12,65.0,71.0,100,BENZOCAINA 0.1/1G GEL SABOR UVA SIMI BABY,benzocaina,principios activos completos; concentracion coincide; forma coincide,True,71.0,1.0,,
