sku,nombre,principio_activo,costo,precio_fc,mejor_confianza,mejor_candidato,motivo
FC-06237407,Shampoo Sedal Ceramidas,Surfactantes / formula capilar,16.48,27,39,PARACETAMOL/CAFEINA/FENILEFRINA 10 TABLETAS SEDALMERCK,no comparable: candidato sin tamano declarado
FC-08344495,Lactopram infantil 150 mg sabor chocolate,Lactobacillus,27.24,0.01,82,GOMITAS LACTOBACILLUS ESPORULADOS 60 GOMITAS,no comparable: candidato sin tamano declarado
FC-08498798,Bepanthen Cutanea,Dexpanthenol,131.81,155,0,,sin resultados VTEX
FC-01303464,Shampoo Pantene control caída,Surfactantes / formula capilar,75.7,103,0,,sin resultados VTEX
FC-02012468,Vicks Vaporub ungüento 50G,Alcanfor + Mentol + Eucalipto,82.41,124.0,82,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,no comparable: candidato sin tamano declarado
FC-02012475,Vicks Vaporub ungüento 100 G,Alcanfor + Mentol + Eucalipto,125.12,188.0,82,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,no comparable: candidato sin tamano declarado
FC-06226739,Desodorante Axe Conviction,Antitranspirante / desodorante,45.83,65,0,,sin resultados VTEX
FC-09839202,Old Spice Wolfthorn barra desodorante,,45.24,75.4,14,DESODORANTE EN AEROSOL PARA CABALLERO OLD SPICE 150 ML 1 PIEZA,no comparable: concentracion difiere ['50000mg']≠['150ml']
FC-50003314,Unguento Bronco Rub 40 g,Herbolario topico,29.01,39.16,0,,sin resultados VTEX
FC-12225027,Derman Crema 50 g,Ácido undecilénico + Undecilenato de zinc,44.69,60.34,0,ACIDO ACETILSALICILICO/BICARBONATO DE SODIO/ACIDO CITRICO 10 TABLETAS ALKA SELTZER,no comparable: al competidor le faltan 1/2 principios activos (undecilenato)
FC-25104268,Electrolit Fresa,,20.09,32,56,ELECTROLITOS ORALES FRESA 500 ML 1 PIEZA,no comparable: concentracion difiere ['625ml']≠['500ml']
FC-25104411,Electrolit Coco,,20.09,32,55,ELECTROLITOS ORALES COCO 500 ML 1 PIEZA,no comparable: concentracion difiere ['625ml']≠['500ml']
FC-25149221,Electrolit Fresa-Kiwi,,20.09,32,60,ELECTROLITOS ORALES FRESA / KIWI 500 ML  1 PIEZA,no comparable: concentracion difiere ['625ml']≠['500ml']
FC-30133021,Bedoyecta Tri,Hidroxocobalamina/Tiamina/Piridoxina,273.42,437.48,72,HIDROXOCOBALAMINA 10000 MCG / TIAMINA 100 MG / PIRIDOXINA 50 MG SOLUCION INYECTABLE 5 AMPOLLETAS,no comparable: forma difiere inyectable≠solucion
FC-39390230,Old Spice Lena barra desodorante,,45.24,75.4,20,DESODORANTE EN AEROSOL PARA CABALLERO OLD SPICE 150 ML 1 PIEZA,no comparable: concentracion difiere ['50000mg']≠['150ml']
FC-6C2878CF,Susp 125 Mg/Ml,,130.24,169.32,0,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,"no comparable: concentracion difiere ['125mg']≠['0.25mg', '0.5mg', '2ml']"
FC-92506045,Cera Ego Matte,Cera / resina,17.98,27,0,,sin resultados VTEX
FC-92506601,Gel Ego Attraction,,20.02,29.0,0,,sin resultados VTEX
FC-92509213,Nutribela Nutricion,,41.84,64.39,0,,sin resultados VTEX
FC-92511261,Nutribela Bio Colageno,,41.84,59.0,0,,sin resultados VTEX
FC-71829601,Tribedoce 50000 UI,Hidroxocobalamina + Tiamina + Piridoxina,73.11,98.7,70,HIDROXOCOBALAMINA 10000 MCG / TIAMINA 100 MG / PIRIDOXINA 50 MG SOLUCION INYECTABLE 5 AMPOLLETAS,"no comparable: concentracion difiere ['50000ui']≠['10000mcg', '100mg', '50mg']"
FC-76000284,Vitacilina agua micelar agua rosas,,81.74,110,0,NEOMICINA / RETINOL (VITAMINA A) UNGÜENTO 28 GR 1 PIEZA,no comparable: concentracion difiere ['500ml']≠['28000mg']
FC-79400556,Syncol (Paracetamol),Paracetamol/Pamabrom/Pirilamina,98.81,140,65,PARACETAMOL 500 MG 10 TABLETAS,"no comparable: al competidor le faltan 2/3 principios activos (pamabrom, pirilamina)"
FC-01303454,Pantene Control caída anticaída,,75.7,106.0,0,,sin resultados VTEX
FC-12250181,Rocainol Ung,Salicilato de metilo + Mentol,53.12,71.72,82,ALCANFOR / MENTOL / EUCALIPTO / TREMENTINA / SALICILATO DE METILO UNGÜENTO 1 PIEZA,no comparable: candidato sin tamano declarado
FC-35155847,Shampoo Pantene bambú control caída,Surfactantes / formula capilar,75.7,106.0,0,,sin resultados VTEX
FC-00701992,Crema Nivea manos antiarrugas,Emolientes / humectantes,36.3,51.0,0,,sin resultados VTEX
FC-10974329,Enjuague Buc Listerine Cool Mint,,54.06,76.0,0,ENJUAGUE BUCAL ANTISEPTICO SABOR MENTA POLVO 12 SOBRES,no comparable: candidato sin tamano declarado
FC-23111387,Jarabe dropropizina/bromhexina Quimpharma 100 mL,Dropropizina + Bromhexina,0.0,0,70,DROPROPIZINA / BROMHEXINA 0.300/0.160GR 200ML SOLUCION ADULTO,"no comparable: concentracion difiere ['100ml']≠['160mg', '200ml']"
FC-95201021,Pomada Hipoglos Pac,Oxido de zinc,69.58,110,70,OXIDO DE ZINC 25GR/100GR PASTA 1 PIEZA,"no comparable: concentracion difiere ['45000mg']≠['100000mg', '25000mg']"
