sku,nombre,tipo,principio_activo,costo,precio_fc,stock,tenia_ref,mejor_confianza,mejor_candidato,motivo
FC-DE106642,AMPIGRIM INFANTIL(Metamizol + Dexametasona + Vit. B),generico,Ampicilina,73.57,95.65,1.0,False,72,AMPICILINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-C9F4ACCC,Acemetacina,generico,Acemetacina,51.43,108.0,3.0,True,80,ACEMETACINA 90 MG  LIBERACION PROLONGADA 14 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-FD845E68,Aciclovir,generico,Aciclovir,64.09,176.0,1.0,True,80,ACICLOVIR 200 MG 25 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-05965071,Acroxil-C,generico,Amoxicilina / Bromhexina,24.05,36.0,1.0,True,80,AMOXICILINA / BROMHEXINA 500/8MG 12 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-85BDBD3D,Acroxil-C,generico,Amoxicilina / Bromhexina,25.42,53.0,1.0,False,72,AMOXICILINA / BROMHEXINA 250/8 MG POLVO PARA SUSPENSION 1 PIEZA,no comparable: forma difiere suspension≠polvo
FMX-500311,Ali-Gomitas Gomitas C/60,generico,INULINA/INOSITOL/COLINA,62.96,101.0,1.0,False,0,,sin resultados VTEX
FC-75710113,Alu-Mag suspensión hidróxido de aluminio/magnesio 3.70/4.00 g,generico,,23.77,94.0,2.0,False,1,ALUMINIO 3.7 GR / MAGNESIO 4 GR / SIMETICONA .5 GR SUSPENSION 320 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['240ml', '4000mg']≠['320ml', '3700mg', '4000mg', '5000mg']"
EQ-COL258,Alzocid Tadalafil,generico,Tadalafil,23.78,39.0,3.0,False,100,TADALAFIL 20 MG 4 TABLETAS,precio 7.1x el costo
FC-BE76D409,Amcef IM 1 g (Inyectable),generico,Ceftriaxona,19.72,25.64,10.0,True,72,CEFTRIAXONA SOLUCION INYECTABLE 1 GR  1 AMPOLLETA,no comparable: forma difiere inyectable≠solucion
FC-07F04F88,Amcef IM 500 mg (Inyectable),generico,Ceftriaxona,19.43,25.26,2.0,True,72,CEFTRIAXONA 500 MG SOLUCION INYECTABLE 1 PIEZA,no comparable: forma difiere inyectable≠solucion
FC-9A37D44A,Amdoryl,generico,LANSOPRAZOL,28.11,36.0,2.0,True,80,LANSOPRAZOL 30 MG 14 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-9F67BB73,Amifarin,generico,DICLOXACILINA,27.0,38.0,1.0,True,80,DICLOXACILINA SUSPENSION 60 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-11294615,Amikacina,generico,AMIKACINA,29.21,47.0,1.0,True,72,AMIKACINA 100MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: nuestro catalogo sin concentracion
FC-347A49C7,Amikacina,generico,AMIKACINA,8.46,28.0,1.0,True,72,AMIKACINA 100MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: nuestro catalogo sin concentracion
FC-1FEA2FB7,Amikacina,generico,AMIKACINA,16.11,38.0,1.0,True,72,AMIKACINA 100MG/2ML SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: nuestro catalogo sin concentracion
FC-4A0245DA,Amlodipino,generico,Amlodipino,32.52,44.0,0,True,80,AMLODIPINO 5MG 10 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-3B001F9B,Amlodipino,generico,Amlodipino,9.04,78.0,3.0,False,80,AMLODIPINO 5MG 10 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-F4E9C71F,Amoxicilina,generico,AMOXICILINA,23.57,98.0,1.0,False,80,AMOXICILINA 250 MG SUSPENSION 75 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-A0D320D1,Amoxicilina,generico,AMOXICILINA,18.37,30.0,5.0,True,80,AMOXICILINA 500 MG 12 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-F82A6E4B,Ampicilina,generico,AMPICILINA,27.05,49.0,2.0,True,80,AMPICILINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-D210172A,Ampicilina,generico,AMPICILINA,25.48,40.77,3.0,False,80,AMPICILINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-7F90064A,Ampicilina,generico,Ampicilina,20.37,33.0,3.0,False,80,AMPICILINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-2001A890,Ampigrin AD (Ampicilina + Dicloxacilina),generico,Ampicilina,81.71,106.23,2.0,False,72,AMPICILINA 500 MG 20 CAPSULAS,no comparable: nuestro catalogo sin concentracion
FC-D751525D,Animalin fórmula líquida 30 mL,generico,,22.65,56.0,1.0,False,0,GOMITAS LTEANINA 50 PIEZAS MULTIGOMI INFANTIL,no comparable: candidato sin tamano declarado
EQ-SON175,Ardosons 20 Caps 215/25/0.75 Mg,generico,Indometacina / Betametasona / Metocarbamol,60.33,97.0,0,False,82,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,no comparable: candidato sin tamano declarado
EQ-SER001,Asmaral-K Ketotifeno,generico,Ketotifeno,61.07,98.0,1.0,True,80,KETOTIFENO 1 MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-17376CAE,Aspitak-P,generico,Ácido acetilsalicílico,19.72,27.0,2.0,True,80,ACIDO ACETILSALICILICO 100MG ADULTO 30 COMPRIMIDOS,no comparable: nuestro catalogo sin concentracion
FC-E4BE37BE,Atorvastatina,generico,ATORVASTATINA,26.35,43.0,2.0,True,80,ATORVASTATINA 80MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-75723830,Atroxolam (Teofilina/Ambroxol) 7.0-1.5 mg/mL jarabe,generico,Teofilina/Ambroxol,29.77,48.0,1.0,False,70,TEOFILINA / AMBROXOL .7/.15 GR SOLUCION 150 ML 1 PIEZA,"no comparable: concentracion difiere en parte ['1.5mg', '150ml']≠['15000mg', '150ml']"
FC-D9391288,Azitromicina,generico,AZITROMICINA,68.5,110.0,1.0,True,80,AZITROMICINA 200MG SUSPENSION 15 ML 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-01166578,Baby Son's pomada dexpantenol 5 g/100 g,generico,,21.55,35.0,1.0,False,0,SACCHAROMYCES BOULARDI POLVO 6 SOBRES SIMI BABY,no comparable: candidato sin tamano declarado
FC-AE5EEDF7,Bactiver,generico,SULFAMETOXAZOL + TRIMETOPRIMA,16.89,28.0,2.0,False,80,TRIMETOPRIMA / SULFAMETOXAZOL 80/400MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-F8691496,Bactiver F (Sulfametoxazol/Trimetoprima),generico,SULFAMETOXAZOL + TRIMETOPRIMA,21.01,35.0,3.0,False,80,TRIMETOPRIMA / SULFAMETOXAZOL 80/400MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-COD086,Bano Coloide 1 Pvo,generico,Polividona,18.15,30.0,2.0,True,47,BAÑO COLOIDE POLVO EN SOBRE 90 GR 1 PIEZA,confianza 47 < 85
FMX-302206,Belapiel/Golpes Ungüento C/75 Gr,generico,ARNICA/CANEDULA/ALOE VERA,20.4,33.0,1.0,False,26,ARNICA 6C 30 TABLETAS,"no comparable: al competidor le faltan 2/3 principios activos (canedula, aloe)"
FMX-302287,Belapiel/Piernas-Cansadas Crema C/200 Gr,generico,"CENTELLA ASIATICA, CASTAÑA DE INDIAS",53.55,86.0,1.0,False,0,METRONIDAZOL / CENTELLA ASIATICA / NITROFURAL 12 OVULOS,no comparable: al competidor le faltan 1/2 principios activos (castana)
FC-75710465,Benciefedril jarabe dextrometorfano/guaifenesina,generico,,22.74,49.0,2.0,False,43,DEXTROMETORFANO / GUAIFENESINA  .2/2 GR ADULTO SOLUCION 120 ML 1 PIEZA,confianza 43 < 85
EQ-AMS398,Bencil/Benz Comp 1 Fa 1.2 U 3 Ml,generico,Benzatina / procaína / cristalina,18.07,29.0,5.0,False,26,BENCILPENICILINA / BENZATINA SUSPENSION INYECTABLE 1 PIEZA,"no comparable: al competidor le faltan 2/3 principios activos (procaina, cristalina)"
FC-9B93AC4C,Beneventol,generico,BENEVENTOL,97.6,157.0,1.0,True,0,CEFIXIMA 100MG/5ML SUSPENSION ORAL 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-4BD80686,Beneventol,generico,BENEVENTOL,88.17,147.0,1.0,True,0,CEFIXIMA 100MG/5ML SUSPENSION ORAL 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-369D1689,Beneventol,generico,BENEVENTOL,146.11,220.0,1.0,False,0,CEFIXIMA 100MG/5ML SUSPENSION ORAL 1 PIEZA,no comparable: nuestro catalogo sin concentracion
EQ-SON024,Bentix 1 Cma 40g 3/0.0 %,generico,Clioquinol / Fluocinolona,28.12,45.0,1.0,False,70,FLUOCINOLONA / CLIOQUINOL .01/3 GR CREMA 1 PIEZA,no comparable: concentracion difiere ['40000mg']≠['3000mg']
FC-B8D7C997,Bicarbonato Sobres,generico,Bicarbonato de sodio,48.0,72.0,1.0,True,72,BICARBONATO DE SODIO POLVO 100 GR 1 PIEZA,no comparable: nuestro catalogo sin concentracion
FC-08DB70CB,Bicarbonato Velazquez Grande 200G,generico,Bicarbonato de sodio,11.5,18.41,5.0,True,70,BICARBONATO DE SODIO POLVO 100 GR 1 PIEZA,no comparable: concentracion difiere ['200000mg']≠['100000mg']
EQ-BIO003,Biomesina Compuesta,generico,Butilbromuro de hioscina / Metamizol sódico,28.57,46.0,2.0,False,32,METAMIZOL / BUTILHIOSCINA  250/10MG 10 GRAGEAS,no comparable: al competidor le faltan 1/2 principios activos (butilbromuro)
FC-1041884,Biomiral Pleniform 40 isoflavonas soya C/30,generico,,74.27,101.0,1.0,False,0,,sin resultados VTEX
FMX-302138,Biotina-Naturex Capsulas C/30,generico,Vitamina E/ ACEITE DE GERMEN DE TRIGO,71.85,120.0,1.0,False,65,VITAMINA D3+VITAMINA K2 30 CAPSULAS,no comparable: al competidor le faltan 1/2 principios activos (germen)
FC-C101D5B1,Bisoprolol,generico,BISOPROLOL,97.51,157.0,1.0,True,80,BISOPROLOL  2.5MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
FC-58DB24C4,Bitenver,generico,Betahistina,62.78,88.0,1.0,False,80,BETAHISTINA 24 MG 30 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-VIT073,Bocetix 1 Sol 50 Mg 150 Ml,generico,Levocetirizina,73.19,118.0,1.0,False,70,LEVOCETIRIZINA 5MG 10TABLETAS,"no comparable: concentracion difiere ['150ml', '50mg']≠['5mg']"
EQ-COL016,"Bonazin Meclozina, Piridoxina, Lidocaína",generico,"Meclozina, Piridoxina, Lidocaína",26.28,43.0,1.0,False,60,MECLOZINA / PIRIDOXINA SOLUCION INYECTABLE 1 AMPOLLETA,no comparable: al competidor le faltan 1/3 principios activos (lidocaina)
FC-25304555,Braxigort (Nifuroxazida) suspensión 4.4 g/100 mL,generico,Nifuroxazida,39.45,64.0,1.0,False,82,NIFUROXAZIDA SUSPENSION 1 PIEZA,no comparable: candidato sin tamano declarado
FC-73903260,Bromhexina Adulto solución 160 mg/100 mL,generico,,17.59,34.0,1.0,False,55,BROMHEXINA 160MG/100ML ADULTO SOLUCION 1 PIEZA,confianza 55 < 85
FC-73903246,Bromhexina Infantil solución 80 mg/100 mL,generico,,17.11,49.0,1.0,False,55,BROMHEXINA 80MG/100ML SOLUCION INFANTIL 1 PIEZA,confianza 55 < 85
EQ-BRU016,Brulin (Dexametasona) 3 Fa 8mg/2 Ml,generico,Dexametasona,24.28,39.0,2.0,False,72,DEXAMETASONA SOLUCION INYECTABLE 8MG/2ML 1 PIEZA,no comparable: forma difiere inyectable≠solucion
EQ-NOV165,Budenova Susp .125 Mg/Ml 5 Amp 2ml,generico,Budesonida,130.24,209.0,1.0,False,70,BUDESONIDA SUSPENSION 0.250MG/2ML O 0.125MG/ML PARA NEBULIZACION 5 AMPOLLETAS,"no comparable: concentracion difiere en parte ['125mg', '2ml']≠['0.125mg', '0.25mg', '2ml']"
FC-447B30F9,Budesonida,generico,Budesonida,131.38,170.8,2.0,True,72,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,no comparable: nuestro catalogo sin concentracion
FC-281E0F22,Budesonida,generico,Budesonida,153.72,208.0,1.0,True,80,BUDESONIDA SUSPENSION 0.500MG/2ML O 0.250MG/ML SUSPENSION PARA NEBULIZACION 5 AMPOLLETAS,no comparable: nuestro catalogo sin concentracion
FC-C6C20517,Budimin,generico,Bumetanida,31.31,43.0,1.0,False,80,BUMETANIDA 1 MG 20 TABLETAS,no comparable: nuestro catalogo sin concentracion
EQ-SON033,Busconet 1 Fa 250/20mg/5 Ml,generico,Hioscina / Metamizol sódico,33.38,54.0,0,False,70,METAMIZOL SODICO / BUTILHIOSCINA 2.5G/20MG SOLUCION INYECTABLE 1 AMPOLLETA,"no comparable: concentracion difiere en parte ['20mg', '5ml']≠['20mg', '2500mg']"
EQ-SON034,"Busconet Metamizol sodico, Hioscina",generico,Metamizol sódico / Hioscina,24.92,40.0,2.0,False,80,METAMIZOL / BUTILHIOSCINA  250/10MG 10 GRAGEAS,no comparable: nuestro catalogo sin concentracion
EQ-AMS463,Butilhioscina,generico,Butilhioscina,12.13,20.0,3.0,True,80,BUTILHIOSCINA 10 MG 10 TABLETAS,no comparable: nuestro catalogo sin concentracion
