id,sku,nombre,costo,precio_actual,precio_similares,precio_propuesto,delta,margen_propuesto_pct,stock,nombre_similares,confianza,nuevo_match
942,EQ-SOF041,Vixgoplisol 60 Tab 500 Mg,112.04,180.0,379.0,378,198.0,70.4,1.0,LEVETIRACETAM 500 MG 60 TABLETAS,100,False
959,EQ-AMS498,Popram 28 Tab 40 Mg,37.54,61.0,220.0,219,158.0,82.9,2.0,PANTOPRAZOL 40 MG 28 TABLETAS,100,True
946,EQ-MAI144,Figral 10 Tab 100 Mg,80.04,129.0,274.0,273,144.0,70.7,5.0,SILDENAFIL 100 MG 10 TABLETAS,100,True
1222,EQ-MAI142,Figral 10 Tab 50 Mg,46.41,75.0,219.0,218,143.0,78.7,5.0,SILDENAFIL 50MG 10 TABLETAS,100,False
963,EQ-SER116,Cyrux 28 Tab 200 Mcg,222.22,356.0,499.0,498,142.0,55.4,1.0,MISOPROSTOL 200 MCG 28 TABLETAS,100,True
965,EQ-MAV198,Oxatech 14 Tab 10 Mg,26.46,8.27,149.0,148,139.73,82.1,3.0,OLANZAPINA 10 MG 14 TABLETAS,100,True
892,EQ-ACC066,Steryx 30 Tab 5 Mg,40.51,65.0,199.0,198,133.0,79.5,1.0,FINASTERIDA 5 MG 30 TABLETAS,100,False
1195,EQ-MAV380,Esomeprazol 14 Tab 40 Mg,51.64,83.0,199.0,198,115.0,73.9,1.0,ESOMEPRAZOL 40 MG 14 TABLETAS,100,False
987,EQ-SER165,Estranim 10 Caps 75 Mg,116.19,186.0,299.0,298,112.0,61.0,1.0,OSELTAMIVIR 75 MG 10 CAPSULAS,100,True
979,EQ-AMS503,Sitagliptina 14 Comp 100 Mg,87.57,141.0,249.0,248,107.0,64.7,1.0,SITAGLIPTINA 100MG 14 COMPRIMIDOS,100,False
1008,EQ-BEA468,Quetiapina,123.31,198.0,299.0,298,100.0,58.6,1.0,QUETIAPINA 100 MG 60 TABLETAS,100,False
1247,EQ-AMS279,Popram pantoprazol 40 mg C/14,26.26,43.0,139.0,138,95.0,81.0,2.0,PANTOPRAZOL 40MG 14 GRAGEAS,100,True
1048,EQ-SON220,Clotrimazol 1 Ov 500 Mg,27.55,45.0,139.0,138,93.0,80.0,1.0,CLOTRIMAZOL V 1 OVULO 500 MG,100,False
914,EQ-WER046,Mevedim 15 Tab 600 Mg,61.32,99.0,191.0,190,91.0,67.7,1.0,DIOSMINA 600 MG 15 COMPRIMIDOS,100,False
956,EQ-COL133,Nosipren 30 Tab 20 Mg,35.71,58.0,149.0,148,90.0,75.9,1.0,PREDNISONA 20 MG 30 TABLETAS,100,True
922,EQ-PGE059,Lorefic-D 30 Caps 4000 Ui,38.79,63.0,149.0,148,85.0,73.8,1.0,VITAMINA D3 (COLECALCIFEROL) 4000UI 30 TABLETAS MASTICABLES,92,False
896,EQ-BIO100,Biostafex 10 Tab 120 Mg,29.94,48.0,129.0,128,80.0,76.6,2.0,FEXOFENADINA 120 MG PIRQUET 10 COMPRIMIDOS,100,False
157,FC-27875568,Desrotan fexofenadina 180 mg C/10,47.31,67.0,144.0,143,76.0,66.9,1.0,FEXOFENADINA 180 MG PIRQUET 10 COMPRIMIDOS,100,False
766,FC-82200016,Omeprazol Aktyzar,46.79,75.0,147.0,146,71.0,68.0,2.0,OMEPRAZOL 20 MG 120 CAPSULAS,100,False
1041,EQ-MAV239,Linexel Venlafaxina,39.26,63.0,134.0,133,70.0,70.5,1.0,VENLAFAXINA 75 MG 20 CAPSULAS LIBERACION PROLONGADA,100,False
865,EQ-WER038,Charyn 3 Tab 500 Mg,24.98,40.0,110.0,109,69.0,77.1,6.0,AZITROMICINA 500 MG 3 TABLETAS,100,False
1183,FC-01007199,Valclan 500 mg / 125 mg Caja con 10 tabletas Wandel,18.03,27.0,95.0,94,67.0,80.8,3.0,AMOXICILINA / ACIDO CLAVULANICO 500 MG 10 TABLETAS,100,False
1103,FMX-301081,Hudiclor Tabletas 250 Mg C/28,94.19,168.0,229.0,228,60.0,58.7,1.0,TERBINAFINA 250 MG 28 TABLETAS,100,False
765,FC-16803800,Omeprazol Avivia,26.82,59.0,119.0,118,59.0,77.3,2.0,OMEPRAZOL 20 MG 60 CAPSULAS,100,False
849,FC-73909859,Sarox (Omeprazol) 20 mg,15.61,25.0,84.5,84,59.0,81.4,4.0,OMEPRAZOL 20 MG 28 CAPSULAS,100,False
906,EQ-AMS472,Citalopram 14 Tab 20 Mg,35.08,73.0,130.0,129,56.0,72.8,2.0,CITALOPRAM 20 MG 14 TABLETAS,100,False
1047,EQ-ULT224,Telmisartán / Hidroclorotiazida 80/12.5 mg C/14,47.18,76.0,133.0,132,56.0,64.3,3.0,TELMISARTAN / HIDROCLOROTIAZIDA 80 /12.5 MG 14 TABLETAS,100,False
1185,FC-09741425,Fasiclor 500 mg Caja con 15 cápsulas Maver,137.92,221.0,274.0,273,52.0,49.5,0,CEFACLOR 500 MG 15 CAPSULAS,100,False
952,EQ-AMS323,Sertralina 14 Tab 50 Mg,20.6,33.0,84.5,84,51.0,75.5,3.0,SERTRALINA 50 MG 14 TABLETAS,100,False
1180,FC-49028913,Atorvastatina 40 mg Caja con 10 tabletas AMSA,26.35,65.0,116.0,115,50.0,77.1,2.0,ATORVASTATINA 40 MG 10 TABLETAS,100,False
1160,FC-01162365,Mornin (Omeprazol) 40 mg C/7 SON'S,13.95,25.0,74.0,73,48.0,80.9,2.0,OMEPRAZOL 40 MG 7 CAPSULAS,100,False
1377,EQ-ALP0634,Losartan Alpharma 30 tab 50 mg,11.08,18.0,66.0,65,47.0,83.0,0,LOSARTAN POTASICO 50MG 30 TABLETAS,100,True
1051,EQ-BEA403,Tamsulosina 20 Caps 0.4 Mg,32.12,52.0,99.0,98,46.0,67.2,1.0,TAMSULOSINA 0.40MG 20 CAPSULAS,100,False
1378,EQ-AMS318,Losartan AMSA 30 comprimidos 50 mg,11.9,20.0,66.0,65,45.0,81.7,0,LOSARTAN POTASICO 50MG 30 TABLETAS,100,True
1001,EQ-WER040,Punab 30 Tab 50 Mg,12.33,20.0,66.0,65,45.0,81.0,3.0,LOSARTAN POTASICO 50MG 30 TABLETAS,100,True
939,EQ-ULT230,Levonorgestrel 1 Tab 1.5 Mg,15.5,25.0,65.0,64,39.0,75.8,4.0,LEVONORGESTREL  1.5 MG 1 TABLETA,100,False
1333,FC-16798878,Pioglitazona 30 mg 7 tabletas LGEN,17.76,45.0,85.0,84,39.0,78.9,0,PIOGLITAZONA 30 MG 7 TABLETAS,100,True
943,EQ-TEM009,Levotiroxina 100 Tab 100 Mcg,45.57,73.0,109.0,108,35.0,57.8,2.0,LEVOTIROXINA SODICA 100MCG 100 TABLETAS,100,False
910,EQ-QUM043,Histapharm 10 Tab 5 Mg,21.99,36.0,70.0,69,33.0,68.1,1.0,DESLORATADINA 5 MG 10 TABLETAS,100,False
882,EQ-MAI141,Flosef 8 Tab 400 Mg,27.33,60.0,93.0,92,32.0,70.3,1.0,OFLOXACINO 400 MG 8 TABLETAS,100,False
1101,FMX-301546,Montelukast-Neolpharma Tabletas 5 Mg C/20,41.21,66.0,99.0,98,32.0,57.9,1.0,MONTELUKAST 5 MG 20 TABLETAS MASTICABLES,100,False
1157,FC-49025967,Pregabalina 75 mg C/14 AMSA,25.09,41.0,74.0,73,32.0,65.6,1.0,PREGABALINA 75MG 14 CAPSULAS,100,False
1204,EQ-MAV318,Cariden 20 Tab 6 Mg,52.87,85.0,114.0,113,28.0,53.2,1.0,DEFLAZACORT 6 MG 20 TABLETAS,100,False
975,EQ-MAV307,Veratrin,33.36,54.0,83.0,82,28.0,59.3,1.0,INDOMETACINA / BETAMETASONA / METOCARBAMOL 20 CAPSULAS,100,True
919,EQ-AVT203,Cidorix 28 Tab 75 Mg,38.11,61.0,89.0,88,27.0,56.7,1.0,CLOPIDOGREL 75 MG 28 TABLETAS,100,False
769,FC-27872123,Raamcinet cetirizina 10 mg,19.65,32.0,60.0,59,27.0,66.7,4.0,CETIRIZINA 10 MG 10 TABLETAS,100,False
1114,FMX-303280,Melnotex Tabletas 5 Mg C/20,39.74,64.0,91.0,90,26.0,55.8,2.0,MELATONINA 5MG 20 TABLETAS SUBLINGUALES,100,False
1061,EQ-AMS292,Pantoprazol 7 Tab 20 Mg,11.29,19.0,46.0,45,26.0,74.9,2.0,PANTOPRAZOL 20 MG 7 TABLETAS LIBERACION RETARDADA,100,False
978,EQ-NOV092,Ixicorl 10 Tab 20 Mg,21.72,35.0,61.0,60,25.0,63.8,2.0,PAROXETINA 20 MG 10 TABLETAS,100,True
1033,EQ-HIS045,Cifhir 1 Gel 60g/5 %,45.68,74.0,99.0,98,24.0,53.4,1.0,BENCIDAMINA CLORHIDRATO GEL 60 GR 1 PIEZA,100,True
148,FC-52D2A43A,Zukedib glimepirida 2 mg C/30,29.08,40.0,63.0,62,22.0,53.1,1.0,GLIMEPIRIDA 2 MG 30 TABLETAS,100,False
997,EQ-NOV157,Glunovag 60 Tab 500 Mg,19.38,32.0,54.0,53,21.0,63.4,2.0,METFORMINA 500 MG 60 TABLETAS,100,True
899,EQ-BRU053,Nediclon Diclofenaco,7.56,13.0,35.0,34,21.0,77.8,4.0,DICLOFENACO 100MG 20 TABLETAS,100,False
1226,EQ-MAV098,Flexiver Meloxicam 15 mg C/10,8.76,20.0,40.0,39,19.0,77.5,2.0,MELOXICAM 15 MG 10 TABLETAS,100,True
1066,EQ-BRL072-1,Lo Bruquin 2 Tab 150/200 Mg,15.4,25.0,44.0,43,18.0,64.2,10.0,QUINFAMIDA / ALBENDAZOL 150/200MG 2 TABLETAS,100,True
1182,FC-01007250,Valclan 875 mg / 125 mg Caja con 10 tabletas Wandel,51.18,80.0,99.0,98,18.0,47.8,3.0,AMOXICILINA / ACIDO CLAVULANICO 875MG 10 TABLETAS,100,False
993,EQ-BEA424,Metoprolol 20 Tab 100mg,6.86,11.0,29.0,28,17.0,75.5,2.0,METOPROLOL 100 MG 20 TABLETAS,100,False
1207,EQ-MAV064,Presistín 30 Tab 10 Mg,33.93,55.0,71.0,70,15.0,51.5,1.0,CISAPRIDA 10 MG 30 TABLETAS,100,False
970,EQ-BEA368,Nifedipino 30 Comp 30 Mg,39.23,63.0,78.0,77,14.0,49.1,1.0,NIFEDIPINO 30 MG 30 COMPRIMIDOS LIBERACION PROLONGADA,100,False
1042,EQ-QUM052,Quimikan 1 Sol C/ Apli 10 Ml 200mg/ 1 Ml,63.68,102.0,117.0,116,14.0,45.1,1.0,BENZOCAINA 200 MG SOLUCION BUCAL CON APLICADOR 1 PIEZA,100,True
1230,EQ-AMS234,Pregabalina 28 Cáps 150 mg AMSA,65.67,105.0,119.0,118,13.0,44.3,1.0,PREGABALINA 150 MG 28 CAPSULAS,100,True
912,EQ-MAV320,Cariden 10 Tab 30 Mg,90.81,146.0,159.0,158,12.0,42.5,1.0,DEFLAZACORT 30 MG 10 TABLETAS,100,False
1018,EQ-LIF153,Realdrax Mxd 10 Tab 20/400 Mg,40.6,65.0,76.0,75,10.0,45.9,1.0,BUTILHIOSCINA HIOSCINA / IBUPROFENO 20/400 MG 10 TABLETAS,100,True
10,FC-1DA570E3,Cloxan ambroxol 30 mg,9.75,15.0,25.0,24,9.0,59.4,2.0,AMBROXOL 30 MG 20 COMPRIMIDOS,100,False
950,EQ-BEA338,Prednisona 5mg C/Blister 20tab Bea,6.51,11.0,21.0,20,9.0,67.5,5.0,PREDNISONA 5 MG 20 TABLETAS,100,False
948,EQ-AVT216,Soltadol 10 Tab 750 Mg,5.04,9.0,18.0,17,8.0,70.4,5.0,PARACETAMOL 750MG 10 TABLETAS,100,True
884,EQ-MAI099,Hidroxin,34.6,56.0,64.0,63,7.0,45.1,1.0,HIDROXIZINA 10 MG 30 TABLETAS,100,False
756,FC-01165953,Rexurdir nifuroxazida 400 mg C/16,29.92,48.0,56.0,55,7.0,45.6,2.0,NIFUROXAZIDA 400 MG 16 CAPSULAS,100,False
999,EQ-BEA429,Metformina 30 Tab 850 Mg,14.27,23.0,30.0,29,6.0,50.8,4.0,METFORMINA 850 MG 30 TABLETAS,100,False
968,EQ-ULT191,Piroxicam 20 Tab 20 Mg,9.49,16.0,23.0,22,6.0,56.9,3.0,PIROXICAM 20 MG 20 CAPSULAS,92,False
835,FC-06920021,Motilaxil-T (Picosulfato de sodio) 5 mg,17.02,28.0,34.0,33,5.0,48.4,1.0,PICOSULFATO DE SODIO 5 MG 20 TABLETAS,100,False
775,FC-09747366,Veridex ivermectina 6 mg C/4,75.46,95.0,101.0,100,5.0,24.5,1.0,IVERMECTINA 6 MG 4 TABLETAS,100,False
1175,FC-49020269,Ácido ursodeoxicólico 250 mg Caja con 50 cápsulas AMSA,217.23,333.0,339.0,338,5.0,35.7,1.0,ACIDO URSODEOXICOLICO 250 MG 50 CAPSULAS,100,False
43,FC-F183C6E9,Penipot bencilpenicilina procainica,19.44,25.28,31.0,30,4.72,35.2,6.0,BENCILPENICILINA BENZATINICA SUSPENSION INYECTABLE 1 PIEZA,91,False
862,EQ-HIS075,Terfhicid 40 Caps 100 Mg,46.05,74.0,79.0,78,4.0,41.0,1.0,NITROFURANTOINA 100 MG 40 CAPSULAS,100,False
776,FC-103521,Brunadol paracetamol/naproxeno C/10,19.31,30.0,34.0,33,3.0,41.5,4.0,NAPROXENO SODICO/PARACETAMOL 275MG/300MG 10TABLETAS,100,False
992,EQ-BEA416,Metoclopramida 20 Tab 10 Mg,5.42,9.0,13.0,12,3.0,54.8,1.0,METOCLOPRAMIDA 10 MG 20 TABLETAS,100,False
985,EQ-RAD093,Metronidazol 30 Tab 500 Mg,14.92,24.0,28.0,27,3.0,44.7,3.0,METRONIDAZOL 500 MG 30 TABLETAS,100,False
1100,FMX-502376,Norapred Tabletas 50 Mg C/20,34.77,56.0,60.0,59,3.0,41.1,1.0,PREDNISONA 50 MG 20 TABLETAS,100,False
895,EQ-AMS274,Ezetimiba/Simvasta 14 Tab 10/20 Mg,55.9,166.0,169.0,168,2.0,66.7,1.0,EZETIMIBA / SIMVASTATINA 10/20MG 14 COMPRIMIDOS,100,False
