sku,ean,nombre,marca,presentacion,concentracion,forma_farmaceutica,categoria,subcategoria,tipo,costo,precio,imagen_url,fuente,sku_externo
FC-08135297,,A-Cuts Artic Orange,Allmax,210 g,,,Suplemento,Deportiva,marca,289,0,,suplementosmayoreo,6474
FC-53226590,665553226590,A-Cuts Blue Raspberry,Allmax,210 g,,,Suplemento,Deportiva,marca,289,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553226590.jpg?alt=media&token=12319c70-e0fe-4dc3-8443-0f374bf29409,suplementosmayoreo,7341
FC-53227306,665553227306,A-Cuts Cotton Candy,Allmax,210 g,,,Suplemento,Deportiva,marca,289,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553227306.jpg?alt=media&token=a995b5d9-840a-4ede-9fd6-e53bc6dff3e7,suplementosmayoreo,8921
FC-53226828,665553226828,A-Cuts Grape,Allmax,210 g,,,Suplemento,Deportiva,marca,289,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553226828.jpg?alt=media&token=37392ecf-4dcc-4b0e-a450-8b36a0a2ed65,suplementosmayoreo,7342
FC-70678707,,A-Cuts Watermelon,Allmax,210 g,,,Suplemento,Deportiva,marca,289,0,,suplementosmayoreo,7343
FC-96228710,,All Whey Classic Chocolate,Allmax,5 lb,,Polvo,Suplemento,Proteína,marca,1233,0,,suplementosmayoreo,6332
FC-53228600,665553228600,Amino Core Blue Raspberry,Allmax,30 servicios,,,Suplemento,Deportiva,marca,365,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553228600.jpg?alt=media&token=f85c5dea-5760-44e4-a1fc-0e2ef27faa43,suplementosmayoreo,14244
FC-53228662,665553228662,Amino Core Watermelon,Allmax,30 servicios,,,Suplemento,Deportiva,marca,365,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553228662.jpg?alt=media&token=f4eddea5-0ca7-47d3-bf8b-910bc162bf20,suplementosmayoreo,15441
FC-92098625,,Arginine,Allmax,400 g,,,Suplemento,Deportiva,marca,363,0,,suplementosmayoreo,14248
FC-75321006,,Beta Alanine,Allmax,400 g,,,Suplemento,Deportiva,marca,315,0,,suplementosmayoreo,14249
FC-21805361,,Caffeine 200 mg,Allmax,100 piezas,200 mg,,Suplemento,Deportiva,marca,185,0,,suplementosmayoreo,10723
FC-85953843,,Creatine Unflavored,Allmax,400 g,,,Suplemento,Deportiva,marca,385,0,,suplementosmayoreo,19807
FC-62303636,,Digestive Enzymes,Allmax,90 piezas,,,Suplemento,Deportiva,marca,402,0,,suplementosmayoreo,25250
FC-53121154,665553121154,Isoflex Chocolate,Allmax,5 lb,,,Suplemento,Proteína,marca,1673,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121154.jpg?alt=media&token=57d78886-b65f-433b-b4b4-e3d84451bd21,suplementosmayoreo,9660
FC-53121758,665553121758,Isoflex Chocolate Peanut Butter,Allmax,5 lb,,,Suplemento,Proteína,marca,1673,0,https://firebasestorage.googleapis.com/v0/b/suplementos-mayoreo.appspot.com/o/products%2Fimg%2Fjpeg%2F665553121758.jpg?alt=media&token=efdefbdb-7d2e-491e-b6cb-cf7259fa3c6f,suplementosmayoreo,9819
