sku,barcode,ticket,sev,costo_ticket,costo_inv,precio_actual,precio_corr,nombre
FC-48690909,7501048690909,77827,CRITICO_OCR,21.14,405.32,648.52,32.00,Protec Tensolastic Plus 7Cmx5M Venda Elasti
FC-40171550,7794640171550,77827,CRITICO_OCR,106.44,405.32,648.52,150.00,C D Sensodyne Rapido Alivio 100G
FC-82176351,75012982176351,FL-080826,grave,273.42,819.71,0.00,438.00,Iv Sot.O-Neurobion Dc Ete Jga Sot.O-Neurobion Prell C/1 | Pg
FC-76000277,7506376000277,FL-080826,grave,277.00,77.03,123.25,374.00,Cre Vitacilina Humectante 100 Gr Vitacilina Humectante
FC-14121782,7505514121782,77827,grave,17.78,167.69,268.31,25.00,Jabon De Proteina De Arroz Y Concha Nacar 8
FC-48640751,7501048640751,77827,grave,14.53,147.15,235.45,22.00,Protec 5Cmx2.75M 1 Pza Venda De Yeso C12 Pz
FC-67905186,7506267905186,77827,grave,16.70,128.57,205.72,24.00,Jbn Liq Blumen Coconut Para 221Ml
FC-54500216,7501054500216,77827,grave,147.15,42.25,67.61,207.00,Cra Nivea Sdatarr Giga 400Ml
FC-85103015,619585103015,77827,grave,13.32,106.44,170.31,18.00,Bebin Super 4Opzs Toallitas Humedas
FC-42326414,3600542326414,77827,grave,108.24,27.75,44.41,152.00,Agua Mic Garnier De Rosas 400 Ml
FC-45307181,75010545307181,FL-080826,grave,74.68,149.35,238.96,101.00,Poroso Arnica Parche Leon Bde Poroso Arnica Parche
FC-25652716,7506425652716,77827,grave,7.39,73.65,117.85,11.00,Jbn Escudo Azul Rey 135G
FC-54558682,7501054558682,77827,grave,85.87,22.30,35.68,121.00,Cra Corp Niveamilk 400Ml+Cra100Ml
FC-56330378,7501056330378,77827,grave,88.80,28.10,44.97,125.00,Loc Limp Ponds Bio-Hydra Dual 200Ml
FC-76000284,7506376000284,77827,grave,81.47,21.08,33.73,115.00,Agua Mic Vitacilina Ros-Sab 500Mln
FC-72629012,7501072629012,77827,grave,96.63,36.30,58.08,136.00,Cep Dent Clinic Adulto Med 40 C12
FC-06249776,7506306249776,77827,grave,16.88,75.70,121.12,24.00,Sh Sedal Ceramidas Inf-Act 180Ml
FC-61124013,7501361124013,77827,grave,17.77,73.76,118.02,25.00,Tco Odolex Fresh 150G
FC-35908147,7501035908147,77827,grave,69.19,13.32,21.32,97.00,Tco Mennen Rosa 200G
FC-26462061,7501026462061,77827,grave,22.30,74.31,118.90,29.00,Chupon Ternura Ortodontic Miel C3
