ean,sku,nombre,archivo,fuente,origen,extra_eans,name_ilike,name_not_ilike,bytes,md5
7501868901124,FC-68901124,Alcohol etílico Dibar azul 71.5° 500 ml,alcohol-etilico-dibar-azul-71-5-500-ml-7501868901124.jpg,propia-recortada,propia,,,,53020,582eb088b0925c9011e73f6ef431386a
7501349021419,FC-C721E8D7,Levofloxacino AMSA 500 mg C/7 tabletas,levofloxacino-amsa-500-mg-c-7-tabletas-7501349021419.jpg,nadro,distribuidor,,,,79950,9ebb770099155dc9d0da66dc7dc77bc2
7501165011656,FC-65011656,Buscapina Fem hioscina/ibuprofeno 20/400 mg C/10,buscapina-fem-hioscina-ibuprofeno-20-400-mg-c-10-7501165011656.jpg,farmatodo,distribuidor,,%buscapina%fem%,,54739,de58c4772981b6622dcfcae3a7bbfd43
7502009748448,EQ-MAV392,Cetilver pirfenidona gel 8% tubo 10 g,cetilver-pirfenidona-gel-8-tubo-10-g-7502009748448.jpg,mercadolibre,distribuidor,,%cetilver%,,55173,3cf39395f60144c0d8682a8b63a4b2a0
7500435129367,FC-35129367,Secret gel invisible lavanda 45 g,secret-gel-invisible-lavanda-45-g-7500435129367.jpg,chedraui,distribuidor,,%secret%lavanda%,,82640,0fd8bafd38aabbd58c579533da793688
7502227875568,FC-B3B8F9BB,Desrotan fexofenadina 180 mg C/10,desrotan-fexofenadina-180-mg-c-10-7502227875568.jpg,nadro,distribuidor,,%desrotan%,,71279,46cd46c558f3f1085c06484d82901a33
,,Aceite de almendras dulces Flor de Aire 125 ml,aceite-de-almendras-dulces-flor-de-aire-125-ml.jpg,flordeaire,distribuidor,,%almendras dulces%125%,,30924,bf9c7f34b980459a6894e2cd166b0584
7501082780246,,Aceite para bebé Nuvel 250 ml,aceite-para-bebe-nuvel-250-ml-7501082780246.jpg,chedraui,distribuidor,750108278024,%aceite%nuvel%250%,,65933,4f77ff2d84520c5141ac8c31abf63b67
7501108763475,,Advil ibuprofeno 200 mg C/10 cápsulas,advil-ibuprofeno-200-mg-c-10-capsulas-7501108763475.jpg,farmatodo,distribuidor,,%advil%200%10%capsul%,,95708,fc5683f6a098fbe8140d2ed9d62d37fa
,,Ampigrin PFC cápsulas C/24,ampigrin-pfc-capsulas-c-24.jpg,plm,distribuidor,,%ampigrin pfc%caps%,,60212,f1c6b7f8e8c6d0562544a7887bf2c523
7501349029965,,Betahistina AMSA 24 mg C/30 tabletas,betahistina-amsa-24-mg-c-30-tabletas-7501349029965.jpg,chedraui,distribuidor,750134902996,%betahistina%amsa%24%,,88883,9246339c38e9dc4a8523e7d21b422842
7501573907992,,Broxtorfan adulto ambroxol/dextrometorfano jarabe 120 ml,broxtorfan-adulto-ambroxol-dextrometorfano-jarabe-12-7501573907992.jpg,sufarmed,distribuidor,,%broxtorfan%adult%,,71981,e04dfa42496218138a722527e5952889
7502211784180,FC-11784180,Calaffler diclofenaco gotas 15 mg/ml Loeffler,calaffler-diclofenaco-gotas-15-mg-ml-loeffler-7502211784180.jpg,ifarma,distribuidor,,%calaffler%,,36901,045b93b1bf52292a45fe22047e66e258
,,Cánula nasal pediátrica 2 mm x 1.80 m Sensi Medical,canula-nasal-pediatrica-2-mm-x-1-80-m-sensi-medical.jpg,promexsa,distribuidor,,%nula nasal%ped%,,67504,422bba8a7c386133c17a667b07c702a3
,,Carnitina fibra y complejo B Naturex 30 cápsulas 560 mg,carnitina-fibra-y-complejo-b-naturex-30-capsulas-560.jpg,mercadolibre,distribuidor,,%carnitina%naturex%,,43105,a7355f14a0fd84211f53d168077899e0
,,Teatrical crema suavizante con lanolina tarro 400 g,teatrical-crema-suavizante-con-lanolina-tarro-400-g.jpg,mercadolibre,distribuidor,,%teatrical%lanolin%400%,%rosas%,24246,c6b79c29f5839e4a7e3cbf70dbbaa93d
,,Teatrical crema suavizante con lanolina y rosas tarro 400 g,teatrical-crema-suavizante-con-lanolina-y-rosas-tarr.jpg,mercadolibre,distribuidor,,%teatrical%rosas%400%,,86505,c85f3158fe32dd7887506c0c2d2e7fb6
