ean,sku,nombre,archivo,fuente,origen,bytes,md5
2008500100013,FC-00100013,Cubrebocas tricapa desechable negro C/100,cubrebocas-tricapa-desechable-negro-c-100-2008500100013.jpg,generica-negra,propia,108326,01251a95cef6cc7a10bf17611eaf101a
2008550100018,,Dona / bolsa IJJ-10 C/12,dona-bolsa-ijj-10-c-12-2008550100018.jpg,dansking,distribuidor,172731,ed4b25a1d146f56f605704fd9714f22f
2008490100017,,Copa lavaojos de vidrio,copa-lavaojos-de-vidrio-2008490100017.jpg,farmavrim,distribuidor,21059,0a52e559345845d142c4cd5bb692fd5a
7501300422750,,Dorixina Forte clonixinato de lisina 250 mg C/20,dorixina-forte-clonixinato-de-lisina-250-mg-c-20-7501300422750.jpg,farmatodo,distribuidor,102924,e40c71e0ebad344983c08a46e36f4f71
7501573925071,,Dosteril lisinopril 10 mg C/30 tabletas,dosteril-lisinopril-10-mg-c-30-tabletas-7501573925071.jpg,bspharma,distribuidor,51929,f92465a8b24e2df3c31c59b1d71515f2
7502009740176,EQ-MAV028,Dolxen naproxeno 250 mg C/20 Maver,dolxen-naproxeno-250-mg-c-20-maver-7502009740176.jpg,bspharma,distribuidor,46468,4b98082d2fc8361d32060310e7436e95
7501300420824,,Dolac ketorolaco sublingual 30 mg C/6,dolac-ketorolaco-sublingual-30-mg-c-6-7501300420824.jpg,farmatodo,distribuidor,77265,c512a736c9bcb5e077dd32eec7cb039c
7501075711011,EQ-NOV007,Debisor 10 mg C/20 Novag,debisor-10-mg-c-20-novag-7501075711011.jpg,bspharma,distribuidor,28628,e06ab55bbb972b3038019655efa6eba9
7501836003140,FC-36003140,Contraxen carisoprodol/naproxeno 200/250 mg C/30,contraxen-carisoprodol-naproxeno-200-250-mg-c-30-7501836003140.jpg,farmaciaherrera,distribuidor,53900,a0b09888a0d4f36c45b65c4ced474854
7502009749322,EQ-MAV394,Coniax Citicolina 500 mg C/10 Maver,coniax-citicolina-500-mg-c-10-maver-7502009749322.jpg,sanorim,distribuidor,71055,438c77fe9291f05ac0a82a349cc9e197
75065102,,Savilé desodorante manzanilla stick 45 g,savile-desodorante-manzanilla-stick-45-g-75065102.jpg,delsol,distribuidor,85805,91d97afd2935629ff1b69f6646c8df17
7506306215511,,Savilé desodorante sábila y nácar spray 150 ml,savile-desodorante-sabila-y-nacar-spray-150-ml-7506306215511.jpg,dax,distribuidor,67991,46b0ca6e90f98a1405b5e0a23364234d
7506306209763,,Savilé desodorante manzanilla spray 150 ml,savile-desodorante-manzanilla-spray-150-ml-7506306209763.jpg,delsol,distribuidor,81361,cfa410ffa03c55ef7d5b9597b19483fb
78924345,,Rexona Women Bamboo roll-on 50 ml,rexona-women-bamboo-roll-on-50-ml-78924345.jpg,delsol,distribuidor,34522,30cddf1a13d36ea140fb0e70684aae0d
7500435141796,,Old Spice Mar Profundo spray 150 ml,old-spice-mar-profundo-spray-150-ml-7500435141796.jpg,delsol,distribuidor,83310,471af16fa171dbd9946faf49d522b5a0
7509546060477,,Lady Speed Stick Powder Fresh roll-on 50 ml,lady-speed-stick-powder-fresh-roll-on-50-ml-7509546060477.jpg,delsol,distribuidor,141809,449cd70a7a56242c0ebb0ff01be7a5fb
7509546071275,,Lady Speed Stick Powder Fresh spray 60 g,lady-speed-stick-powder-fresh-spray-60-g-7509546071275.jpg,farmaciasanjorge,distribuidor,24806,b2945f68edf6b808e143de423a269cac
7506309864822,,Gillette Arctic Ice spray 150 ml,gillette-arctic-ice-spray-150-ml-7506309864822.jpg,farmacorp,distribuidor,59514,9e3a66e2f4384fc679a0e6fce712fd18
7702018913954,,Gillette Cool Wave roll-on 60 g,gillette-cool-wave-roll-on-60-g-7702018913954.jpg,delsol,distribuidor,78308,714a537c5e856e6f372d410f386ea684
7501080950139,FC-80950139,Condones Trojan Pro-Tech C/3,condones-trojan-pro-tech-c-3-7501080950139.jpg,wecarepharma,distribuidor,204461,78be940cc0e193cf182e0bc464b323fd
