ticket,estado,ean_ticket,descripcion_ticket,cantidad,costo_ticket,sku,nombre_bd,ean_bd,costo_bd,precio_bd,stock_bd,nota
bodega_f42_77827,ya_esta,7509552844825,DESOD OBAO R-NAT COCO R-ON 65G,1,24.950,FC-52844825,Desodorante Obao Ritual Natural Coco (Mujer),7509552844825,24.95,35,1,
bodega_f42_77827,ya_esta,7509552933307,DESOD OBAO GAME 48HR R-ON 65G N,1,27.190,FC-52933307,Desodorante Obao Game 48Hr,7509552933307,27.19,39.0,1,
bodega_f42_77827,ya_esta,7501027250612,DESOD OBAO P/DEL R-ON 65G,1,25.830,FC-27250612,Desodorante Obao Piel Delicada,7501027250612,24.71,35.0,1,costo ticket 25.83 vs BD 24.71 | nombre no se parece
bodega_f42_77827,ya_esta,7501027286017,DESOD OBAO CLAS R-ON 65G,1,29.550,FC-27286017,Desodorante Obao Classic (Hombre),7501027286017,29.55,42.0,1,nombre no se parece
bodega_f42_77827,ya_esta,7509552876406,DESOD OBAO MEN TATTO AQUA R-ON 65G,1,24.710,FC-52876406,Desodorante Obao Men Tatto Aqua (Hombre),7509552876406,24.71,35.0,1,
bodega_f42_77827,ya_esta,7506306226722,DESOD AXE MEN YOUNG SPY 150ML,1,45.830,FC-30622622,Desodorante Axe Men Young (hombre),7506306226722,45.83,65.0,1,
bodega_f42_77827,ya_esta,7506306213906,DESOD AXE ICECHI E-FRIO SPY 150ML,1,45.830,FC-06213906,Desodorante Axe Ice Chill 48H (hombre),7506306213906,45.83,65.0,1,nombre no se parece
bodega_f42_77827,ya_esta,7791293037806,DESOD REXONA MEN MARINE SPY 150ML,1,54.680,FC-93037806,Desodorante Rexona Men Marine (hombre),7791293037806,54.68,77.0,1,
bodega_f42_77827,ya_esta,7509552780956,DESOD OBAO MEN TATO REBEL R-ON65,1,25.830,FC-55280956,Desodorante Obao Men Tattoo Rebel (Hombre),7509552780956,25.83,33,1,
bodega_f42_77827,ya_esta,7791293025919,DESOD AXE EXCITE SECO SPY 152ML,1,62.830,FC-93025919,Desodorante Axe Excite Seco (hombre),7791293025919,62.83,88.0,1,
bodega_f42_77827,ya_esta,7791293022567,DESOD REXONA MEN V8 TUN SPY 90G,1,54.680,FC-93022567,Desodorante Rexona Men V8 (Hombre),7791293022567,54.68,77.0,1,nombre no se parece
bodega_f42_77827,ya_esta,7506306244795,DESOD AXE INTENSE 48H SPY 150ML,1,45.830,FC-06244795,Desodorante Axe Intense 48H (Hombre),7506306244795,45.83,65.0,1,
bodega_f42_77827,ya_esta,75076009,DESOD REXONA 48H HAPPY-M STICK 45G,1,51.500,FC-75076009,Rexona 48H Happy (Mujer),75076009,51.5,73.0,1,
bodega_f42_77827,ya_esta,7791293025797,DESOD AXE MEN DARK TEMP SPY150ML,1,45.830,FC-93025797,Desodorante Axe Men Dark Temp (Hombre),7791293025797,45.83,65.0,1,
bodega_f42_77827,ya_esta,7791293038223,DESOD REXONA MEN SPORT SPY 150ML,1,54.680,FC-93038223,Desodorante Rexona Men Sport,7791293038223,54.68,77.0,1,
bodega_f42_77827,ya_esta,75062897,DESOD REXONA BAMBOO 48H STICK 45G,1,53.500,FC-75062897,Desodorante Rexona Bamboo 48H,75062897,53.5,75.0,3,
bodega_f42_77827,ya_esta,7506306245686,DESOD AXE MEN EPIC-F 48H SPY 150ML,1,45.830,FC-06245686,Desodorante Axe Men Epic-F 48H,7506306245686,45.83,65.0,3,
bodega_f42_77827,ya_esta,7791293025865,DESOD AXE MEN GOLD TEMP SPY 150ML,1,45.830,FC-93025865,desodorante Axe Men Gold Temp,7791293025865,45.83,65.0,1,
bodega_f42_77827,ya_esta,7501022105207,JBN GRISI NEUTRO 150 G,3,20.870,FC-22105207,Jabon Grisi Neutro,7501022105207,20.87,30,3,
bodega_f42_77827,ean_truncado_match,067238891190,JBN DOVE BARRA BLANCA 135G,2,30.205,FC-38891190,Jabon Dove Original,0672388911904,30.205,37,2,ticket 067238891190 → BD 0672388911904 | nombre no se parece
bodega_f42_77827,ya_esta,7501056371159,JBN DOVE EXFOLIAC DIARIA 135G,1,30.540,FC-56371159,Jabon Dove Exfoliacion,7501056371159,30.54,35,1,nombre no se parece
bodega_f42_77827,ean_truncado_match,650240036965,JBN ASEPXIA BICARBON SOD 100G,1,37.680,FC-40036965,Jabon Asepxia Bicarbon,6502400369656,37.68,53.0,1,ticket 650240036965 → BD 6502400369656
bodega_f42_77827,ean_truncado_match,650240004643,JBN ASEPXIA EXFOL 100G,1,38.660,FC-40004643,Jabon Asepxia Exfoliante,6502400046434,38.66,55.0,1,ticket 650240004643 → BD 6502400046434 | nombre no se parece
bodega_f42_77827,ya_esta,7501022150801,JBN GRISI AVENA 125G,1,21.720,FC-22150801,Jabon Grisi Avena,7501022150801,21.72,31.0,1,
bodega_f42_77827,ya_esta,7506425605514,JBN ESCUDO ANTIBACT 110GR,2,14.450,FC-25605514,Escudo Antibacterial Frescura,7506425605514,14.45,21.0,2,nombre no se parece
bodega_f42_77827,ya_esta,7503014119032,AZUFRE JABON C MIEL 80 GR,1,15.020,FC-14119032,Jabón azufre con miel,7503014119032,15.02,22.0,1,
bodega_f42_77827,ya_esta,75062927,DESOD REXONA POW-DRY48H STICK45G,1,53.500,FC-75062927,Desodorante Rexona Pom-Dry 48 H,75062927,53.5,75.0,1,nombre no se parece
bodega_f42_77827,ya_esta,7506306230507,JBN DOVE BARRA KARITE VAINILL 135G,1,30.210,FC-06230507,Dove Barra Karite Vainill,7506306230507,30.21,43.0,1,
bodega_f42_77827,ya_esta,7501022150092,JBN GRISI LECHE DE BURRA 125G,1,21.880,FC-22150092,Grisi Leche De Burra,7501022150092,21.88,31.0,1,
bodega_f42_77827,ya_esta,7501022111352,JBN GRISI CORP DIABECARE 125 G,1,39.940,FC-22111352,Grisi Corp Diabecare,7501022111352,39.94,56.0,1,
bodega_f42_77827,ya_esta,75069223,DESOD REX MOT-SEN SPORT STICK 45G,1,42.820,FC-75069223,Rexona Sport Stick,75069223,42.82,60.0,1,nombre no se parece
bodega_f42_77827,ya_esta,7509546059556,JBN LIQ PALMOL N-BAL DERMOL 221MLN,1,35.610,FC-46059556,Palmolive líquido neutro,7509546059556,35.61,50.0,1,nombre no se parece
