ticket,estado,ean_ticket,descripcion_ticket,cantidad,costo_ticket,sku,nombre_bd,ean_bd,costo_bd,precio_bd,stock_bd,nota
farmalive_9861,falta,7502276040610,DESENFRIOLITO TAB C/24 2PACK,1,91.92,,,,,,,
farmalive_9861,ean_truncado_match,650240017100,XL-3 VR TAB C/24,2,88.20,FC-40017100,XL-3 VR C/24,6502400171006,88.2,120.0,2,ticket 650240017100 → BD 6502400171006 | nombre no se parece
farmalive_9861,ya_esta,7501369200016,ESTOMAQUIL SOBRES C/20,1,91.58,FC-69200016,Estomaquil Polvo C/20,7501369200016,98.79,133.37,1,costo ticket 91.58 vs BD 98.79
farmalive_9861,ya_esta,7506460101231,TEMPRA XT NOCHE TAB C/12,1,59.69,FC-60101231,Tempra XT Noche,7506460101231,59.69,81.0,1,
farmalive_9861,ean_truncado_match,354312225164,VITACILINA BEBE 50 GR,1,53.70,FC-12225164,Vitacilina Bebé Pomada,3543122251648,53.7,70.0,1,ticket 354312225164 → BD 3543122251648
farmalive_9861,ya_esta,7501058715487,GRANEODIN F NARANJA TAB C/16,2,132.40,FC-87154871,Graneodin F (flurbiprofeno),7501058715487,135.2,183.0,2,costo ticket 132.4 vs BD 135.2
farmalive_9861,ya_esta,7506460101521,LUBRICANTE SOFT LUB PLEASURE 56.7 GR,1,94.75,FC-60101521,Soft Lub Pleasure 56.7 g,7506460101521,100.8,161.28,1,costo ticket 94.75 vs BD 100.8
farmalive_9861,ya_esta,7502250343072,VITACILINA 28 GR 2X1,1,38.12,FC-03430721,Vitacilina 28 Crema,7502250343072,38.12,51.47,1,
farmalive_9861,ya_esta,7501050613453,AFRIN SPRAY ADTO (ROJO) 20 ML,1,75.46,FC-06134531,Afrin Adulto spray 20 mL,7501050613453,75.46,120.74,20,
farmalive_9861,falta,7501008427330,BEPANTHEN POMADA 100 GR,1,131.81,,,,,,,
farmalive_9861,ya_esta,7501058792792,TEMPRA 24 HRS TAB C/12,1,58.70,FC-58792792,Tempra,7501058792792,58.7,96.0,1,
farmalive_9861,ean_truncado_match,354312225027,DERMAN CREMA 50 GR,1,44.69,FC-12225027,Derman Crema 50 g,3543122250276,44.69,60.34,1,ticket 354312225027 → BD 3543122250276
farmalive_9861,ya_esta,7501165000230,IV NEOMELUBRINA TAB C/10,1,72.23,FC-50002301,Neo-Melubrina metamizol tabletas C/10,7501165000230,72.23,98.0,1,nombre no se parece
farmalive_9861,ya_esta,7501328979502,HISTIACIL NF JAR ADTO 150 ML,1,121.91,FC-28979502,Histiacil NF adulto jarabe,7501328979502,121.91,165.0,1,nombre no se parece
farmalive_9861,ya_esta,7501328979496,HISTIACIL NF JAR INF 150 ML,1,123.28,FC-89794961,Histiacil NF Infantil (Jarabe),7501328979496,123.28,167.0,1,nombre no se parece
