ticket,estado,ean_ticket,descripcion_ticket,cantidad,costo_ticket,sku,nombre_bd,ean_bd,costo_bd,precio_bd,stock_bd,nota
surtidor_112558,ya_esta,7501868900264,*DIBAR ALCOHOL 125ML ROJO,48,9.00,FC-68900264,Alcohol Etilico Rojo 96°,7501868900264,8.1,14.0,48,costo ticket 9.0 vs BD 8.1
surtidor_112558,falta,7501868960257,*DIBAR ALCOHOL 1LT ROJO,12,56.00,,,,,,,
surtidor_112558,ya_esta,7501868900226,*DIBAR ALCOHOL 250ML. ROJO,36,16.50,FC-68900226,Alcohol Etilico Rojo 96°,7501868900226,15.68,24,36,costo ticket 16.5 vs BD 15.68
surtidor_112558,ya_esta,7501868990023,*DIBAR ALCOHOL 500ML. ROJO,24,30.00,FC-68990023,Alcohol Etilico Rojo 96°,7501868990023,28.2,43.0,3,costo ticket 30.0 vs BD 28.2
surtidor_112558,falta,7501677620056,AGUA DESTILADA LA FLOR 1 LT,3,19.00,,,,,,,
surtidor_112558,ean_duplicado_en_bd,3311000003920,ARNICA MERCURIO,10,15.00,,,,,,,FC-DFF99C3F Mercurio | FC-25E452B6 Mercurio Arnica Untar | FC-127F5753 Mercurio Arnica Tomar | FC-5EF90195 Mercurio Flor De Arnica | FC-89F00320 Mercurio Arnica
surtidor_112558,ya_esta,7506376000260,CREMA AMARILLA VITACILINA ACLARADORA,1,80.00,FC-76000260,Crema Vitacilina amarilla aclaradora,7506376000260,80.0,112.0,1,
surtidor_112558,ya_esta,7506376000253,CREMA ROJA VITACILINA ANTIARRUGAS 100GR,1,80.00,FC-76000253,Crema Vitacilina roja antiarrugas,7506376000253,80.0,112.0,1,
surtidor_112558,ean_truncado_match,7501943475,DIAPRO CONFORT GRANDE C/10,2,99.00,FC-43475014,Pañal Diapro Grande,7501943475014,99,129.0,2,ticket 7501943475 → BD 7501943475014
surtidor_112558,falta,7501116800803,DIAPRO CONFORT MED C/10,2,85.00,,,,,,,
surtidor_112558,falta,7501186901100,DIBAR ALCOHOL AZUL 125ML,5,7.40,,,,,,,
surtidor_112558,ya_esta,7501868901131,DIBAR ALCOHOL AZUL 1LT,5,41.00,FC-68901131,Alcohol Etilico Azul 71.6,7501868901131,41.0,62.0,1,
surtidor_112558,ya_esta,7501868901117,DIBAR ALCOHOL AZUL 250ML,5,11.30,FC-68901117,Alcohol Etilico Azul 71.6,7501868901117,11.3,17.0,1,
surtidor_112558,ya_esta,7501868901124,DIBAR ALCOHOL AZUL 500ML,5,24.00,FC-68901124,Alcohol Etilico Azul 71.6,7501868901124,24,45,2,
surtidor_112558,falta,7501298223704,DOLO NEUROBION TAB C/20,1,561.00,,,,,,,
surtidor_112558,falta,7501033950100,ENSURE LIQ 236ML CHTE,2,42.00,,,,,,,
surtidor_112558,falta,7501033950063,ENSURE LIQ 236ML FSA,2,42.00,,,,,,,
surtidor_112558,falta,7501033950070,ENSURE LIQ 236ML VNLLA,2,42.00,,,,,,,
surtidor_112558,ya_esta,7501033956133,GLUCERNA LIQ 237ML CHOCOLATE,2,51.04,FC-33956133,Glucerna chocolate,7501033956133,47.5,67.0,2,costo ticket 51.04 vs BD 47.5
surtidor_112558,falta,7501033952,GLUCERNA LIQ 237ML VAINILLA,2,47.50,,,,,,,
surtidor_112558,ya_esta,7501033956140,GLUCERNA SR LIQ 237ML FRESA,2,47.50,FC-33956140,Glucerna fresa,7501033956140,47.5,69.0,2,
surtidor_112558,ya_esta,7501507521317,GOTERO CRISTAL,100,1.20,FC-07521317,Gotero cristal,7501507521317,1.2,7,100,
surtidor_112558,falta,7501001157296,NATURELLA FLUJO MOD C/ALAS C/8,5,17.00,,,,,,,
surtidor_112558,falta,7501001405335,NATURELLA NOCHE CON ALAS C/8,5,18.50,,,,,,,
surtidor_112558,falta,7501033951008,PEDIASURE LIQ 236ML CHTE,2,44.00,,,,,,,
surtidor_112558,falta,7501033954245,PEDIASURE LIQ 236ML FSA,2,44.00,,,,,,,
surtidor_112558,falta,7501033950209,PEDIASURE LIQ 236ML VNLLA,2,44.00,,,,,,,
surtidor_112558,falta,7501019006623,SABA BUENAS NOCHES 8 EX LARGA,5,19.80,,,,,,,
surtidor_112558,falta,7501065054135,TUMS 7 TB 3 SURT,1,52.06,,,,,,,
surtidor_112558,falta,7501056323066,FASELINE PURO 42G,1,27.00,,,,,,,
surtidor_112558,falta,7501056323059,VASELINE PURO 85G,1,45.50,,,,,,,
surtidor_112558,falta,7501001246730,VICK VAPORUB POM 12G C12 LATAS,1,255.00,,,,,,,
surtidor_112558,ya_esta,7590002012475,VICK VAPORUB UNG 100G,1,238.32,FC-02012475,Vicks Vaporub ungüento 100 G,7590002012475,125.12,188.0,1,costo ticket 238.32 ≈ 2× BD 125.12 (posible 2-pack) | nombre no se parece
surtidor_112558,ya_esta,7590002012468,VICK VAPORUB UNG 50G,1,201.00,FC-02012468,Vicks Vaporub ungüento 50G,7590002012468,82.41,124.0,1,costo ticket 201.0 vs BD 82.41
