ean,pares,nombre,ticket,costo,qty
19828833707,5721:0062,Levofloxacino (Levofloxacino) Tableta 500 mg C/7 beadvance,BEA302 LEVOFLOXACINO 7 TAB 500 MG,18.77,2
52200809,5721:0072,Cina (Levofloxacino) Tableta 750 mg C/7 Landsteiner,LAN043 CINA 7 TAB 750 MG,28.87,2
54321342,5721:0047,Tropharma (ERITROMICINA) TABLETA 500 mg C/20 ALPHARMA,ALP0237 TROPHARMA 20 TAB 500 MG,44.53,2
581520933707,5721:0057,cefalexina (cefalexina) Cápsulas 500 mg C/20 AMSA,AMS322 CEFALEXINA 20 CAP 500 MG,39.84,2
5887400973807,5721:0052,clindamicina (clindamicina) Cápsula 300 mg C/16 AMSA,AMS296 CLINDAMICINA 16 CAP 300 MG,30.54,3
6348812732387,ordenadas2:0112,Diosmina Hesperidina (Diosmina / Hesperidina) Tableta 450/50 mg Caja con 20 tabletas beadvance,BEA428 DIOSMINA HESPERIDINA 20 TAB 450/50,39.41,3
7301348804309,5721:0067,Alopurinol (Alopurinol) Tabletas 300 mg C/20 beadvance,BEA434 ALOPURINOL 20 TAB 300 MG,21.46,2
741339020894,5721:0054,ciprofloxacino (ciprofloxacino) Tableta 250 mg  AMSA,AMS430 CIPROFLOXACINO 12 TAB 250 MG,13.69,2
75006433,5455:0051,Cirulan (Metoclopramida) solución oral 400 mg C/1 Novag,NOV005 CIRULAN 1 GOT 400MG/1/20 ML,14.38,2
7501075722604,ordenadas2:0047,Belazix (Levocetirizina) Tabletas 5 mg Caja con 20 tabletas Novag,NOV154 BELAZIX C/20 TAB 5MG,64.96,1
7501109763986,ordenadas3:0035,Magsokon (Sulfato de magnesio) 26 g Quifa,QUI091 MAGSOKON 1 CAJA 26 G,15.61,1
7501258206723,"5455:0040,5455:0056",Oxital-C (Ácido ascórbico (Vitamina C)) tableta efervescente 1000 mg C/10 Laboratorios Serral,SER093 OXITAL C 10 COMP 1G,45.14,3
7501299379158,5455:0066,Metronidazol / Diyodohidroxiquinoleína (Metronidazol / Diyodohidroxiquinoleína) Suspensión 2.5 g / 2.0 g / 100 mL C/frasco 120 mL PharmaGen,RAD093 METRONIDAZOL 30 TAB 500 MG,14.92,3
7501342803067,ordenadas2:0082,Dexametasona (Dexametasona) Tableta 1 mg Caja con 20 tabletas beadvance,BEA342 DEXAMETASONA 20 TAB 0.5 MG,4.41,1
7501349022485,ordenadas3:0033,Pantoprazol 20 mg 7 tab AMSA,AMS292 PANTOPRAZOL 7 TAB 20 MG,11.29,2
7501349024267,ordenadas2:0002,ketorolaco (ketorolaco) Solución 30 mg/mL inyectable Caja con 3 ampolletas AMSA,AMS160 KETOROLACO TROMETAMINA 6 TAB SL 30,9.19,5
7501349024540,ordenadas2:0092,"ezetimiba simvastatina (ezetimiba, simvastatina) Tableta 10/20 mg  AMSA",AMS274 EZETIMIBA/SIMVASTA 14 TAB 10/20 MG,55.90,1
7501349025806,5455:0003,Telmisartán AMSA (Telmisartán) tableta 80 mg C/28 AMSA,"ULT224 TELMISARTAN, HIDROCLO 14 TAB 80/12",47.18,3
7501349025929,ordenadas2:0043,diclofenaco (diclofenaco) Inyectable 75 mg/3 mL Caja con 2 amp AMSA,AMS362 DICLOFENACO 2 FA 75MG/3 ML,15.80,2
7501349027329,ordenadas2:0006,dexametasona (dexametasona) Solución 8 mg/2 mL inyectable Caja con 1 ampolleta AMSA,AMS253 DEXAMETASONA 1 FA 8MG/2 ML,8.55,10
7501349029712,ordenadas2:0025,"dexametasona neomicina (Dexametasona, Neomicina) Gotas 1/3.5 mg/mL  AMSA",BEA342 DEXAMETASONA 20 TAB 0.5 MG,4.41,1
7501384545659,ordenadas2:0075,Fenazopiridina (Fenazopiridina) Tableta 100 mg Frasco 20 tabletas psicofarma,RAD100 FENAZOPIRIDINA 1 FCO 20 TAB 100 MG,21.09,1
7501478316813,ordenadas2:0050,"Ibuprofeno Cafeína (Ibuprofeno, Cafeína) Cápsula 400/100 mg Caja con 10 cápsulas GEL",—,,
7501825304579,5721:0103,DEGORTZIN (Cetirizina) Solución 1 mg/mL 50 mL Degort's,DEG184 DEGORTZIN 1 SOL 100 MG/50 ML,35.71,2
7502001160019,5455:0087,Busconet (Hioscina / Metamizol sódico) Solución inyectable 20 mg / 2.5 g / 5 mL C/1 amp 5 mL SON'S,SON033 BUSCONET 1 FA 250/20MG/5ML,33.38,1
7502001162518,5455:0074,Meclison (Meclozina / Piridoxina) Solución 8.33 mg / 16.66 mg C/frasco gotero 15 mL SON'S,SON092 MECLISON 1 GOT 16.66/8.33MG/1/15 M,21.20,1
7502001165397,"ordenadas3:0001,ordenadas3:0008",Zimeton (Pancreatina/Bilis/Dimeticona) 20 tab SON'S,SON233 ZIMETON 20 TAB 130/50/40 MG,56.59,2
7502001165724,ordenadas3:0016,Raspisons (Neomicina/Retinol) ungüento 28 g SON'S,SON173 RASPISONS 1 UNG 28/35 G,19.61,1
7502004401409,ordenadas2:0030,"Dexne Nasal (Fenilefrina, Dexametasona, Neomicina) Gotas Frasco 10 mL Offenbach",OFF008 DEXNE NASAL 1 GOT 1/3.5/2.5/10 ML,37.87,1
7502004401454,ordenadas2:0065,"Dexne Oftálmico (Dexametasona, Neomicina) Gotas Frasco 5 mL Offenbach",OFF010 DEXNE OFTALMICO 1 GOT 500/100MG/5 ,33.74,1
7502006921974,5455:0031,Farmiver Junior (Quinfamida - Albendazol) suspensión 200 mg/400 mg C/1 Fármacos Continentales,FAC0058 FARMIVER JUNIOR 1 SUSP 200/400MG/2,24.72,1
7502009740435,ordenadas3:0041,Laritol (Loratadina) 10 mg 10 tab Maver,MAV182 LARITOL D 10 TAB 30/5 MG,38.59,2
7502009741005,5455:0038,"Laritol EX (Loratadina, Ambroxol) tableta 5 mg - 30 mg C/10 Maver",MAV182 LARITOL D 10 TAB 30/5 MG,38.59,2
7502009741487,ordenadas2:0040,"Doltrix (Clonixinato, Hioscina) Tableta 250/10 mg Caja con 10 tabletas Maver",MAV134 DOLTRIX 10 TAB 250/10 MG,56.45,2
7502009741784,5455:0050,"Laritol D (Loratadina, Fenilefrina)   Maver",—,,
7502009742095,5455:0076,Flexiver Compuesto (Meloxicam / Metocarbamol) Cápsula 15 mg / 215 mg,MAV175 FLEXIVER COMPUESTO 20 CAPS 215/7.5,43.87,1
7502009742392,ordenadas2:0046,"Doltrix (Clonixinato, Hioscina) Tableta 125/10 mg Caja con 20 tabletas Maver",MAV140 DOLTRIX 3 AMP 100/20MG/2 ML,61.88,1
7502009743856,5455:0049,"Laritol D (Fenilefrina, Loratadina) tableta 30 mg - 5 mg liberación prolongada C/10 Maver",MAV182 LARITOL D 10 TAB 30/5 MG,38.59,2
7502009744129,5455:0046,"Erispan Compuesto (Loratadina, Betametasona) solución 100 mg - 5 mg / 100 mL C/1 Maver",MAV187 ERISPAN COMPUESTO 1 SOL 5/100MG/60,22.53,1
7502009745126,5721:0087,Cefagen (CEFUROXIMA) Tableta 500 mg C/10 Maver,MAV227 CEFAGEN 10 TAB 250 MG,82.09,1
7502009746239,ordenadas2:0009,"Erispan Compuesto (Loratadina, Betametasona) Tableta 5/0.25 mg Caja con 10 tabletas Maver",MAV187 ERISPAN COMPUESTO 1 SOL 5/100MG/60,22.53,1
7502009746727,ordenadas2:0016,Cariden (Deflazacort) Tableta 6 mg Caja con 20 tabletas Maver,MAV318 CARIDEN 20 TAB 6 MG,52.87,1
7502009749148,5455:0012,Trimebutina / Simeticona pediátrico (Trimebutina / Simeticona) suspensión 0.60/0.60 g sobre+frasco Maver,—,,
7502209858237,ordenadas2:0012,Elaphterón (Lamotrigina) Tableta 25 mg dispersable Caja con 28 tabletas Avitus,AVT204 ELAPHTERON 28 TAB 100 MG,30.77,1
7502211788423,ordenadas2:0064,Indometacina (Indometacina) Supositorios 100 mg Caja con 6 Loeffler,LOE155 INDOMETACINA 6 SUPOSITORIOS 100 MG,92.35,1
7502211789277,5455:0021,Faribrox TM Adulto (Ambroxol / Dextrometorfano) jarabe 225/225 mg/100 mL 150 mL LOEFFLER,LOE131 FARIBROX TM INF 1 JBE 150/113MG/10,22.89,1
7502223111202,ordenadas3:0017,Pharmacaine (Lidocaína) 10% atomizador 115 mL Quimpharma,QUM014 PHARMACAINE 1 AER 10G/100ML/115 ML,101.30,1
7502226292182,ordenadas2:0108,Bioerter (Eritromicina) Suspensión 250 mg/5 mL Frasco 100 mL,ALP0567 BIOERTER 1 SUSP 250 MG/100 ML,47.70,1
7502226293776,5455:0103,Metamizol Sódico (Metamizol Sódico) Solución Inyectable 1 g / 2 mL C/3 ALPHARMA,ALP0628 METAMIZOL SODICO 3 AMP 1G/2 ML,14.68,2
7503000422191,ordenadas2:0054,Presistín (Cisaprida) Tableta 10 mg,MAV064 PRESISTIN 30 TAB 10 MG,33.93,1
7503008344785,5455:0026,Gelubrín (Ibuprofeno) cápsula 400 mg C/10,PGE057 GELUBRIN 10 CAPS 600 MG,21.95,5
