sku,ean,nombre,marca,categoria,motivo
FMX-301516,759684154881,Aceite bebé Jaloma manzanilla y caléndula 120 ml,JALOMA,Cuidado personal,no_esta_en_nadro_ni_levic
FC-7D1D9857,,Acetilsalicilico,Acido,Otro,sin_ean
FC-95779436,,Acetilsalicilico Ef,Acido,Otro,sin_ean
FC-84437151,7596844371510,Acetona Jaloma mediano,Jaloma,Cuidado personal,no_esta_en_nadro_ni_levic
FC-86901100,7501868901100,Alcohol Etilico Azul 71.6,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-68901124,7501868901124,Alcohol Etilico Azul 71.6,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-68990023,7501868990023,Alcohol Etilico Rojo 96°,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-68900264,7501868900264,Alcohol Etilico Rojo 96°,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-68900226,7501868900226,Alcohol Etilico Rojo 96°,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-89100101,7501868910010,Algodón 200 g,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-68910041,7501868910041,Algodón 25g,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-070839,650240070839,Alliviax Garganta C/8 tabletas,Alliviax,Analgésico,descartada_nadro_no_coincide
FC-A0D320D1,,Amoxicilina,,Antibiótico,sin_ean
FC-44B6751A,,Aquito 500/100/30/4 Mg,Laur,Otro,sin_ean
FC-08491074,7501008491074,Aspirina,Aspirina,Analgésico,no_esta_en_nadro_ni_levic
FC-B8D7C997,3311000003715,Bicarbonato Sobres,Bicarbonato,Herbolario,no_esta_en_nadro_ni_levic
FC-08DB70CB,7503022640153,Bicarbonato Velazquez Grande 200G,Bicarbonato,Suplemento,no_esta_en_nadro_ni_levic
EQ-VIT073,7501478317421,Bocetix 1 Sol 50 Mg 150 Ml,Vitae,Medicamentos,no_esta_en_nadro_ni_levic
FC-08491096,7501008491096,Cafiaspirina tartrato C/100,Cafiaspirina,Analgésico,no_esta_en_nadro_ni_levic
FMX-502046,637420223803,Calazin Suspension Topica C/180 Ml,SOLAR,Medicamentos,no_esta_en_nadro_ni_levic
FC-B18E386A,,Cefaroxil,Cefaroxil,Antibiótico,sin_ean
FC-B25B4654,,Cina (Ciprofloxacino),Cina,Antibiótico,sin_ean
FC-84500522,7506484500522,Cinta micropore blanca 2.5 cm x 5 m,,Botiquín,no_esta_en_nadro_ni_levic
FC-84500607,7506484500607,Cinta micropore blanca 2.5 cm x 9.1 m,Cintapore,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-301138,,Cinta-Microporosa-Codifarma 2.5 Cm X 5 M C/1 Blanco,,Dispositivo médico,sin_ean
FMX-301139,7506484500539,Cintapore cinta microporosa 1.25 cm x 5 m piel,CINTAPORE,Higiene,no_esta_en_nadro_ni_levic
FMX-301135,7506484500515,Cintapore cinta microporosa blanca 1.25 cm x 5 m,Cintapore,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-301136,,Cintapore cinta microporosa piel 2.5 cm x 5 m,Cintapore,Dispositivo médico,sin_ean
FC-84500546,7506484500546,Cintapore cinta microporosa piel 2.5 cm x 5m,Cintapore,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-302947,,Citrato Magnesio/Lecitina Soya-Naturex Capsulas C/30,,Medicamentos,sin_ean
FMX-502465,,Colageno-Naturex Tabletas C/60,,Suplemento,sin_ean
EQ-BIO212,7501573909958,Colchicina 30 Tab 1 Mg,Biomep,Medicamentos,no_esta_en_nadro_ni_levic
FC-64EB83AA,,Compl,Bencil/Benz,Otro,sin_ean
FC-85171118,7501685171118,Condón Sico,Sico,GENERAL,no_esta_en_nadro_ni_levic
IFC-LAVAOJOS,2008490100017,Copa lavaojos de vidrio,Arfam,Botiquín,no_esta_en_nadro_ni_levic
FC-20501765,8101205017656,Crema Grisi aloe vera para manos,Grisi,Cuidado personal,no_esta_en_nadro_ni_levic
FC-36040450,0378360404500,Crema Grisi concha nácar para manos,Grisi,Cuidado personal,no_esta_en_nadro_ni_levic
FC-36041273,0378360412734,Crema Hinds Clasica Rosa,Hinds,Cuidado personal,no_esta_en_nadro_ni_levic
FC-36041402,0378360414028,Crema Hinds hidratación extra almendras,Hinds,Cuidado personal,no_esta_en_nadro_ni_levic
FC-20501673,8101205016734,Crema Hinds líquida agave azul,Hinds,Cuidado personal,no_esta_en_nadro_ni_levic
FC-20500171,8101205001716,Crema para peinar Pert aceite oliva aguacate,Pert,Cuidado personal,no_esta_en_nadro_ni_levic
FC-40030963,6502400309638,Crema Teatrical Cel-Ma Nutrit,Teatrical,Cuidado personal,no_esta_en_nadro_ni_levic
FC-40013898,6502400138986,Crema Teatrical Lanol/Ros,Teatrical,Cuidado personal,no_esta_en_nadro_ni_levic
FC-40013850,6502400138504,Crema Teatrical Lanolina,Teatrical,Cuidado personal,no_esta_en_nadro_ni_levic
FC-00100013,2008500100013,Cubrebocas tricapa desechable C/100,,Dispositivo médico,no_esta_en_nadro_ni_levic
FC-09747786,7502009747786,Culminax Pediátrico (Carbocisteína) 250 mg/5 mL,Maver,Medicamentos,no_esta_en_nadro_ni_levic
FC-75064938,75064938,Desodorante Ego Force 24H roll-on,Ego,Higiene,no_esta_en_nadro_ni_levic
FC-54354677,7501054354677,Desodorante Nivea Men,Nivea,Higiene,no_esta_en_nadro_ni_levic
FC-8910003,7501868910003,Dibar algodon plisado absorbente 100 g,Dibar,Botiquín,no_esta_en_nadro_ni_levic
FC-IFC-DON01,2008550100018,Dona / bolsa IJJ-10 C/12,,Cuidado personal,no_esta_en_nadro_ni_levic
FC-AA7B0686,,Drosquim adulto jarabe 300/160,Drosquim,Producto,sin_ean
FC-DB4A39AE,,Eferox (Cefalexina),Calcio,Antibiótico,sin_ean
FC-53008221,855553008221,Encendedor desechable Riegel,Riegel,Botiquín,no_esta_en_nadro_ni_levic
FC-02045312,7503002045312,Esencia de clavo Frasco gotero Herbotec,Herbotec,Herbolario,no_esta_en_nadro_ni_levic
FMX-501619,,Eucalin-Miel Jarabe C/120 Ml,,Herbolario,sin_ean
FC-C8B741F6,,FC producto botiquín,Fc,Producto,sin_ean
FMX-501000,,Gelcavit-Colors Capsulas C/30,,Suplemento,sin_ean
FMX-500998,,Gelcavit-Platinum Capsulas C/30,,Suplemento,sin_ean
FMX-501003,,Gelcavit-Q-10 Capsulas C/30,,Suplemento,sin_ean
FC-40036354,6502400363548,Genoprazol tabletas C/7,Genoprazol,Gastro,no_esta_en_nadro_ni_levic
FC-63975795,,Gentamicina,,Antibiótico,sin_ean
FC-70100013,2008470100013,Gillette Prestobarba 3 rastrillo desechable 1 pza,Gillette,Cuidado personal,no_esta_en_nadro_ni_levic
FC-07521317,7501507521317,Gotero cristal,Genérico,Botiquín,no_esta_en_nadro_ni_levic
FC-1321B34F,,Hidroxon,Hidroxon,Otro,sin_ean
FC-40036965,6502400369656,Jabon Asepxia Bicarbon,Asepxia,Higiene,no_esta_en_nadro_ni_levic
FC-38891190,0672388911904,Jabon Dove Original,Dove,Higiene,no_esta_en_nadro_ni_levic
FC-40025839,6502400258394,Jabon Intimo Lomecan V,Lomecan,Higiene,no_esta_en_nadro_ni_levic
FC-40030338,6502400303384,Jabon Intimo Lomecan V Aclar,Lomecan,Higiene,no_esta_en_nadro_ni_levic
FC-84154058,759684154058,Jaloma Bebé vaselina lavanda 60 g,Jaloma,Cuidado personal,no_esta_en_nadro_ni_levic
FC-84273094,759684273094,Jaloma Kiuts hisopos biodegradables C/50,Jaloma,Botiquín,no_esta_en_nadro_ni_levic
FC-00001612,3311000001612,Jarabe de granada Frasco 50 mL Mercurio,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-22300881,7506022300881,Jeringa insulina SensiMedical 1 mL 27G x 13 mm,SensiMedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-307657,7506022300690,Jeringa SensiMedical 10 mL 22G x 32 mm negra,SensiMedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-307658,7506022314741,Jeringa SensiMedical 20 mL 21G x 32 mm verde,SensiMedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-506388,7506022300751,Jeringa SensiMedical 3 mL 21G x 32 mm verde,SensiMedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-506389,7506022300829,Jeringa SensiMedical 5 mL 21G x 32 mm verde,SensiMedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-506386,7506022300843,Jeringa SensiMedical 5 mL 22G x 32 mm negra,SensiMedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FMX-301565,7506022307897,Jeringa-Sensimedical 60 Ml Pivote/Concentrico,sensimedical,Dispositivo médico,no_esta_en_nadro_ni_levic
FC-08895196,7502208895196,KY6,KY6,Alergia,no_esta_en_nadro_ni_levic
FC-01167001,7502001167001,LAÜR Infantil solución inyectable C/3,SON'S,Antibiótico,no_esta_en_nadro_ni_levic
FC-LV-GNO016,6502400291650,Lomecan Duo 3 óvulos y crema 200 mg,Genomma Lab,Medicamentos,no_esta_en_nadro_ni_levic
FC-DFF99C3F,3311000003920,Mercurio,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-931B4809,3311000001476,Mercurio Aceite Coco,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-69387811,3311000001421,Mercurio Aceite Gomenolado,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-D037156B,3311000003708,Mercurio Bismuto Subnitrato,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-578F060C,3311000003739,Mercurio Borax Polvo,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-5D59ED54,3311000000776,Mercurio Cloruro De Magnesio Cajita,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-5EF90195,3311000003845,Mercurio Flor De Arnica,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-CB5C11ED,3311000003425,Mercurio Magnesia Anisada,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-47AAF23B,3311000003494,Mercurio Sulfatiazol Polvo,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-9827438F,3311000000882,Mercurio Veneno De Abeja,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-C4530823,3311000000936,Mercurio óxido de zinc C/50,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-46601138,7506346601138,Merthorab Frasco 20 mL Kohn,Kohn,Botiquín,no_esta_en_nadro_ni_levic
FC-926099D3,,Mertiolate Kohn Rojo,Mertiolate,Botiquín,sin_ean
FMX-506935,,Normogotero-Sensimedical Piezas C/1 S/Aguja,,Dispositivo médico,sin_ean
FC-82200016,7501482200016,Omeprazol Aktyzar,Aktyzar,Gastro,no_esta_en_nadro_ni_levic
FC-01303454,7501001303454,Pantene Control caída anticaída,Pantene,Higiene,no_esta_en_nadro_ni_levic
FC-IFC-PEI01,2008560100015,Peine caballero profesional N1 C/12,,Cuidado personal,no_esta_en_nadro_ni_levic
FC-IFC-PEI03,2008580100019,Peine para piojos de acero económico 9309,,Cuidado personal,no_esta_en_nadro_ni_levic
FC-IFC-PER01,2008540100011,Perfilador Tinkle C/3 pzs,Tinkle,Cuidado personal,no_esta_en_nadro_ni_levic
FC-9A1C64E7,,Perilla Edigar N O Caja,Perilla,Botiquín,sin_ean
FC-BCF59548,2008480100010,Perilla Edigar N1 (jeringa pera toda de hule),Edigar,Botiquín,no_esta_en_nadro_ni_levic
FC-C22EBFE6,,Perilla N2,Edigar,Botiquín,sin_ean
FC-614E4F82,,Perilla N3,Edigar,Botiquín,sin_ean
FC-FFC25DD1,,Perilla N4,Edigar,Botiquín,sin_ean
FC-A871D831,,Perilla N6,Edigar,Botiquín,sin_ean
FC-IFC-PIN01,2008530100014,Pinza depilar Mereje tenaza C/12,Mereje,Cuidado personal,no_esta_en_nadro_ni_levic
FMX-303091,793969285204,Piojitos Shampoo C/150 Gr,PIOJITOS,Higiene,no_esta_en_nadro_ni_levic
EQ-NOV176,7501075727517,Pirinovag 10 Tab 500 Mg,Novag,Medicamentos,no_esta_en_nadro_ni_levic
FMX-505937,,Pleniform-40 Tabletas C/30,,Suplemento,sin_ean
FC-00001049,3311000001049,Pomada de árnica Tarro 50 g Mercurio,Mercurio,Herbolario,no_esta_en_nadro_ni_levic
FC-6B2ADEE9,7501109900008,Protect aerosol 200 dosis,Protect,GENERAL,no_esta_en_nadro_ni_levic
FC-45720567,7502245720567,Quitaesmalte coco,SKN,Higiene,no_esta_en_nadro_ni_levic
FC-45720208,7502245720208,Quitaesmalte SKN · variante 208 · confirmar,SKN,Higiene,no_esta_en_nadro_ni_levic
FC-45720215,7502245720215,Quitaesmalte SKN · variante 215 · confirmar,SKN,Higiene,no_esta_en_nadro_ni_levic
FC-45720574,7502245720574,Quitaesmalte SKN · variante 574 · confirmar,SKN,Higiene,no_esta_en_nadro_ni_levic
FC-26EA40A4,,Ramcinet,Ramcinet,Antibiótico,sin_ean
FC-2E5B7248,,Reumatol,Del Viejito,Producto,sin_ean
FC-05405168,7503005405168,Saluk Fashion SA,Saluk,Cuidado personal,descartada_nadro_no_coincide
FC-17500820,7503017500820,Sanax Silica Gran,Sanax,Cuidado personal,no_esta_en_nadro_ni_levic
FC-73909859,7501573909859,Sarox (Omeprazol) 20 mg,Biomep,Gastro,no_esta_en_nadro_ni_levic
FC-20500201,8101205002010,Shampoo Pert Aceite oliva,Pert,Higiene,no_esta_en_nadro_ni_levic
FC-36033735,0378360337358,Shampoo Ricitos de Oro Agua De Coco,Ricitos de Oro,Higiene,no_esta_en_nadro_ni_levic
FC-36032776,0378360327762,Shampoo Ricitos de Oro Biopure,Ricitos de Oro,Higiene,no_esta_en_nadro_ni_levic
FC-IFC-SIL01,2008520100017,Silika Seda Pure Fruit Pera 120 mL,Silika,Cuidado personal,no_esta_en_nadro_ni_levic
FMX-302884,,Sol-Sun Crema C/50 Gr 50-Fps/Ah Av,,Cuidado personal,sin_ean
FC-00661391,6502400661391,Suerox 8 Iones Frutos Rojos 630 ML,Suerox,Bebidas,no_esta_en_nadro_ni_levic
FC-00721541,6502400721541,Suerox Vitamins Manzana V-Limón 630 ML,Suerox,Bebidas,no_esta_en_nadro_ni_levic
FC-6C2878CF,,Susp 125 Mg/Ml,Budenova,Otro,sin_ean
FC-89592876,4001895928765,Tegaderm 3M 10 x 12 cm C/50,Tegaderm,Dispositivo médico,no_esta_en_nadro_ni_levic
FC-IFC-TIJ01,2008510100010,Tijera para bigote,,Cuidado personal,no_esta_en_nadro_ni_levic
FC-85800198,6195858001980,Toallitas Bebin Super,Bebin Super,Higiene,no_esta_en_nadro_ni_levic
FC-85103015,6195851030154,Toallitas Humedas Bebin Super,Bebin Super,Higiene,no_esta_en_nadro_ni_levic
FC-3E863E37,,Tratidri,Tratidri,Otro,sin_ean
