sku,ean,nombre,fuente,nombre_fuente,url
FC-14701957,7501314701957,Adel suspensión 250 mg / 5 mL 60 mL,nadro,Adel 250 mg Suspensión 60 ml,https://nadro.vtexassets.com/arquivos/ids/155660/7501314701957_01.jpg
FC-11700134,013117001341,Affective Cover Pro protector desechable unitalla C/16,nadro,PROT SALVACAMA AFFECTIVE 16PZ,https://nadro.vtexassets.com/arquivos/ids/203333/13117001341_01.jpg
FC-08344747,7503008344747,Afrodit,nadro,AFRODIT 400 UI ORAL 30 CAPS LGEN,https://nadro.vtexassets.com/arquivos/ids/217486/7503008344747_01.jpg
FC-84999001,7501008499900,Alka-Seltzer,nadro,ALKA-SELTZER BOOST 50 TAB EFERV  N,https://nadro.vtexassets.com/arquivos/ids/231634/7501008499900_01.jpg
EQ-AMS075,7501349024045,Butilhioscina 3 Amp 20 Mg/1 Ml,nadro,HIOSCIN S INY 20MG AMP3X1ML LGEN,https://nadro.vtexassets.com/arquivos/ids/170742/7501349024045_01.jpg
EQ-MAV088,7502009740770,Cefabroxil Susp 250/15 Mg/5/75 Ml,levic,MAV088,https://visoti.mx/imagenes/Grande/MAV088.webp
EQ-AMS491,7501349020634,Cefalexina Susp 100 Ml 250 Mg/5 Ml,levic,AMS491,https://visoti.mx/imagenes/Grande/AMS491.webp
EQ-MAV007,7503000422610,Cefalver Susp 125 Mg/5/90 Ml,nadro,CEFALEXINA125MG,https://nadro.vtexassets.com/arquivos/ids/192012/7503000422610_01.jpg
EQ-MAV008,7503000422627,Cefalver Susp 250 Mg/5/90 Ml,nadro,Cefalver Cefalexina Suspensión 250 mg/5 ml Genérico Maver,https://nadro.vtexassets.com/arquivos/ids/200089/7503000422627_01.jpg
FC-10631207,7702010631207,Cepillo Dent Punta poderosa Medio 2 pack,nadro,CEP DENT COLGATE 3 ACCION2X1,https://nadro.vtexassets.com/arquivos/ids/199571/7702010631207_01.jpg
EQ-MAV089,7502009740978,Cepobrom Susp 100 Ml 250/4.39 Mg/5 Ml,nadro,CepoBrom  Cefalexina/ Bromhexina Suspension 250mg - 4.39 mg / 5ml Suspension  /100 ml,https://nadro.vtexassets.com/arquivos/ids/240786/7502009740978_01.jpg
FC-26462061,7501026462061,Chupon Ternura Ortodontic Miel C3,nadro,CHUPON TERNURA ORTODONTIC MIEL C3,https://nadro.vtexassets.com/arquivos/ids/165376/7501026462061_01.jpg
FC-26462078,7501026462245,Chupón con miel Ternura,nadro,CHUPON TERNURA FLOR,https://nadro.vtexassets.com/arquivos/ids/157415/7501026462245_01.jpg
FC-21012303,7502221012303,Claris toallas desmaquillantes aloe C/40,nadro,TAS HUM CLARIS DESMAQ ALOE C,https://nadro.vtexassets.com/arquivos/ids/201679/7502221012303_01.jpg
FC-35469151,7702035469151,Crema Lubriderm Uv Fps15,nadro,CRA LUBRIDERM UV FPS15 120ML,https://nadro.vtexassets.com/arquivos/ids/158415/7702035469151_01.jpg
FC-08802838,4005808802838,Crema Nivea Softmilk,nadro,CRA NIVEA B SOFMILK SEC400ML,https://nadro.vtexassets.com/arquivos/ids/198903/4005808802838_01.jpg
FC-99301968,7501299301968,Dafloxen F 100/200 mg supositorios C/5,nadro,Dafloxen F 100/200 Mg 5 Supositorios,https://nadro.vtexassets.com/arquivos/ids/179989/7501299301968_01.jpg
FC-85491085,7501385491085,Danzen 10 mg C/20 tabletas,nadro,Danzen 10 mg 20 Tabletas,https://nadro.vtexassets.com/arquivos/ids/178984/7501385491085_01.jpg
FC-42302289,070942302289,Enjuague Bucal GUM Paroex Gengivitis,nadro,ENJ BUC GUM PAROEX GING 300ML,https://nadro.vtexassets.com/arquivos/ids/205482/70942302289_01.jpg
FC-74305449,5000174305449,Fixodent Original crema dental 40 mL,nadro,ADH DENT FIXODENT ORIG 40 ML,https://nadro.vtexassets.com/arquivos/ids/159414/5000174305449_01.jpg
FC-42307109,070942307109,GUM Flossers hilo dental con mango C/30,nadro,Palillos Gum Con Hilo Dental Básico 30 Piezas,https://nadro.vtexassets.com/arquivos/ids/205582/70942307109_01.jpg
FC-27879559,7502227879559,JULAB norfloxacino/fenazopiridina 400/100 mg C/8,nadro,Norfloxacino/Fenazopiridina Caja Con 8 Tabletas De 400/100 mg .,https://nadro.vtexassets.com/arquivos/ids/240456/7502227879559_01.jpg
EQ-COL252,780083148928,Kenzoflex Duo 1 Sol 3.5/1 Mg/5 Ml,levic,COL252,https://visoti.mx/imagenes/Grande/COL252.webp
FC-09740435,7502009740435,Laritol (Loratadina) 10 mg,nadro,LORATADINA 10 MG 10 TAB MV  LGEN,https://nadro.vtexassets.com/arquivos/ids/191862/7502009740435_01.jpg
EQ-BRL072-1,,Lo Bruquin 2 Tab 150/200 Mg,levic,BRL072-1,https://visoti.mx/imagenes/Grande/BRL072.webp
FC-85278507,0736085278507,Manzanilla Sophia Solucion 15 ml,nadro,MANZANILLA SOPHIA GTS 15 ML,https://nadro.vtexassets.com/arquivos/ids/159009/736085278507_01.jpg
FC-58210379,7501258210379,Minociclina 100 mg C/10 Serral,nadro,Minociclina Caja con 10 tabletas De 100 mg,https://nadro.vtexassets.com/arquivos/ids/238228/7501258210379_01.jpg
FC-85132069,736085132069,Nazil Ofteno Solucion Oftalmica 15 ml,nadro,NAZIL OFTENO GTS 15 ML,https://nadro.vtexassets.com/arquivos/ids/160718/736085132069_01.jpg
FC-40001314,650240001314,Nikzon 90 tabletas masticables,nadro,NIKZON 90 TAB MAST,https://nadro.vtexassets.com/arquivos/ids/194576/650240001314_01.jpg
EQ-COL080,780083140076,Pasmodil 1 Fa 250/20 Mg,levic,COL080,https://visoti.mx/imagenes/Grande/COL080.webp
FC-09419324,7896009419324,Pasta Dent Sensodyne Original,nadro,Sensodyne Crema Dental Original 90 g,https://nadro.vtexassets.com/arquivos/ids/217049/7896009419324_01.jpg
FC-9511421,7501289511421,Pasta Lassar Andromaco 30 g,nadro,Pasta Lassar Andromaco Tarro 30 G,https://nadro.vtexassets.com/arquivos/ids/168412/7501289511421_01.jpg
FC-43475014,7501943475014,Pañal Diapro Grande,nadro,PANAL DIAPRO CONF MANZGDE,https://nadro.vtexassets.com/arquivos/ids/158011/7501943475014_01.jpg
FC-84471476,759684471476,Repelente de Insectos Jaloma Bio Clap,nadro,REPELENTE INSECTOS JALOMA 265 ML,https://nadro.vtexassets.com/arquivos/ids/204389/759684471476_01.jpg
FC-45720024,7502245720024,Silk Hair Silica · variante 024 · confirmar,nadro,SILICA SILKHAIR-F KIWI,https://nadro.vtexassets.com/arquivos/ids/164259/7502245720024_01.jpg
FC-45720031,7502245720031,Silk Hair Silica · variante 031 · confirmar,nadro,SILICA SILKHAIR-F PETALOS 120 ML,https://nadro.vtexassets.com/arquivos/ids/156841/7502245720031_01.jpg
FC-45720062,7502245720062,Silk Hair Silica · variante 062 · confirmar,nadro,SILICA SILKHAIR-F NARANJA 120 ML,https://nadro.vtexassets.com/arquivos/ids/164468/7502245720062_01.jpg
FC-45720086,7502245720086,Silk Hair Silica · variante 086 · confirmar,nadro,SILICA SILKHAIR-F COCO 120 ML,https://nadro.vtexassets.com/arquivos/ids/200500/7502245720086_01.jpg
FC-45720093,7502245720093,Silk Hair Silica · variante 093 · confirmar,nadro,SILICA SILKHAIR-F CEREZ,https://nadro.vtexassets.com/arquivos/ids/164262/7502245720093_01.jpg
FC-45720109,7502245720109,Silk Hair Silica · variante 109 · confirmar,nadro,SILICA SILKHAIR-F UVA 60 ML,https://nadro.vtexassets.com/arquivos/ids/184971/7502245720109_01.jpg
FC-00740024,650240007408,Silka Medic Gel,nadro,SILKA PIE DE ATLETA GEL 15 G,https://nadro.vtexassets.com/arquivos/ids/194603/650240007408_01.jpg
