producto_id,sku,ean,nombre_fc,oficial,permalink,foto,motivo
1129,FMX-307574,759684154935,"Aceite bebé Jaloma lavanda 120 ml","Aceite para bebé, aroma lavanda 120 ml",https://jaloma.com.mx/product/aceite-para-bebe-aroma-lavanda120-ml/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-115493.png,jaloma.com.mx nombre+120 ml
1102,FMX-301516,759684154881,"Aceite bebé Jaloma manzanilla y caléndula 120 ml","Aceite para bebé, con manzanilla y caléndula 120 ml",https://jaloma.com.mx/product/aceite-para-bebe-con-manzanilla-y-calendula120-ml/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-115488.png,jaloma.com.mx nombre+120 ml
278,FC-84437151,7596844371510,"Acetona Jaloma mediano","Acetona 120 ml",https://jaloma.com.mx/product/acetona120-ml/,https://jaloma.com.mx/wp-content/uploads/2025/03/Acetona-frasco-120-ml.png,EAN 759684437151 = 120 ml
734,FC-84154058,759684154058,"Jaloma Bebé vaselina lavanda 60 g","Vaselina blanca para bebé, aroma lavanda 60 g",https://jaloma.com.mx/product/vaselina-blanca-para-bebe-aroma-lavanda60-g/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-115409.png,jaloma.com.mx nombre+60 g
732,FC-84273094,759684273094,"Jaloma Kiuts hisopos biodegradables C/50","Kiuts Biodegradables, tarro 50 piezas",https://jaloma.com.mx/product/kiuts-biodegradables-tarro50-piezas/,https://jaloma.com.mx/wp-content/uploads/2025/04/Copia-de-Copia-de-Kiuts-Multiaplicadores-tarro-18x50-pz.png,jaloma.com.mx 50 piezas
716,FC-36041259,037836041259,"Crema Hinds Clásica piel seca 90 ml","Crema Corporal Clásica 90 ml",https://www.hinds.com.mx/p/crema-corporal-clasica-90ml,https://www.hinds.com.mx/img/Products/crema-hinds-Hinds-clasica-90ml.jpg,hinds.com.mx + EAN 037836041259 = 90 ml
582,FC-36041273,0378360412734,"Crema Hinds Clasica Rosa","Crema Corporal Clásica 400 ml",https://www.hinds.com.mx/p/crema-corporal-clasica-400ml,https://www.hinds.com.mx/img/Products/hinds-Hinds-clasica-400ml.jpg,EAN 037836041273 = Clásica 400 ml
711,FC-36041297,037836041297,"Crema Hinds Inspiración piel seca 90 ml","Crema Corporal Inspiración 90 ml",https://www.hinds.com.mx/p/crema-corporal-inspiracion-90ml,https://www.hinds.com.mx/img/Products/inspiracion-Hinds-inspiracion-90ml.jpg,hinds.com.mx + GTIN 037836041297 = 90 ml
710,FC-36041341,037836041341,"Crema Hinds Natural piel seca 90 ml","Crema Corporal Natural 90 ml",https://www.hinds.com.mx/p/crema-corporal-natural-90ml,https://www.hinds.com.mx/img/Products/natural-Hinds-natural-90ml.jpg,hinds.com.mx Natural 90 ml
697,FC-36041389,037836041389,"Crema Hinds Hidratacion Extrema Almendras ch","Crema Corporal Almendras 90 ml",https://www.hinds.com.mx/p/crema-corporal-almendras-90ml,https://www.hinds.com.mx/img/Products/almendras-Hinds-almendras-90ml.jpg,chico = 90 ml oficial Almendras
286,FC-20501673,8101205016734,"Crema Hinds líquida agave azul","Hinds Agave Azul 400 ml",https://www.hinds.com.mx/cat/hinds-agave-azul,https://www.hinds.com.mx/img/Products/agave-azul-400-Presentaciones-375x485-400ml-Frente.jpg,hinds.com.mx ficha Agave Azul 400 ml (botella)
300,FC-36041402,0378360414028,"Crema Hinds hidratación extra almendras","Crema Corporal Almendras / Hidratación Extrema 500 ml",https://www.hinds.com.mx/p/crema-corporal-almendras-500ml,https://www.hinds.com.mx/img/Products/almendras-Hinds-almendras-500ml.jpg,hinds.com.mx packshot 500 ml Hidratación Extrema + almendras
310,FC-42417644,42417644,"Crema Nivea Cuidado Int P/Mano","NIVEA HAND Cuidado Intensivo 75 ml",https://www.nivea.com.mx/productos/nivea-hand-ciudado-intensivo-75-ml-424176440060.html,https://img.nivea.com/-/media/miscellaneous/media-center-items/2/1/8/5454d550789e4a1a837fc18c5ed7449c-screen.jpg,nivea.com.mx EAN 42417644 en la URL
327,FC-00701992,4005900701992,"Crema Nivea manos antiarrugas","NIVEA HAND Antiarrugas Q10 75 ml",https://www.nivea.com.mx/productos/nivea-crema-manos-antiarrugas-40059007019920060.html,https://img.nivea.com/-/media/miscellaneous/media-center-items/8/8/1/2fb5dee803a3409d9ef3090c77565554-screen.jpg,nivea.com.mx EAN 4005900701992; packshot limpio 75 ml
291,FC-00942760,4005900942760,"Gel Nivea facial hidratante hialurónico","NIVEA Facial Hyaluron Gel 200 ml",https://www.nivea.com.mx/productos/nivea-gel-facial-hidratante-hialuronico-40059009427600060.html,https://img.nivea.com/-/media/miscellaneous/media-center-items/2/f/0/b17ec5c776b640839d518c1d19c26800-web_1010x1180_transparent_png.png,nivea.com.mx EAN 4005900942760 en la URL
705,FC-90031475,4005900314758,"Balsamo para Labios Labello Mora","Labello Mora 4,8 g",https://www.labello.com.mx/productos/labello-mora-40059003147580060.html,https://img.nivea.com/-/media/miscellaneous/media-center-items/f/2/8/019e046d060d7515b26da2839a8961c8-web_1010x1180_transparent_png.png,labello.com.mx EAN 4005900314758 en la URL
198,FC-42326414,3600542326414,"Garnier agua micelar De Rosas","Garnier Agua Micelar con Agua de Rosas Todo en 1",https://www.garnier.com.mx/skin-active/agua-de-rosas-todo-en-1,https://www.garnier.com.mx/-/media/project/loreal/brand-sites/garnier/usa/mx/es-mx/prd-facecare/agua-de-rosas-todo-en-1/3600542326414_1.jpg,garnier.com.mx EAN 3600542326414 en ficha y en el archivo oficial
