estado,match,sku,nombre,marca,categoria,ean,src,off_name,brands,img
"HIT","coincide","FC-25116810","Agrifen","Agrifen","Analgésico","7501125116810","openfoodfacts","AGRIFEN","","https://images.openfoodfacts.org/images/products/750/112/511/6810/front_es.3.400.jpg"
"HIT","coincide","FC-08443033","Alka-Seltzer C/12 alivio rapido","Alka-Seltzer","Gastro","7501008443033","openfoodfacts","Alka seltzer","","https://images.openfoodfacts.org/images/products/750/100/844/3033/front_es.5.400.jpg"
"HIT","coincide","FC-11294615","Amikacina","AMSA","Antibiótico","7501349021488","openfoodfacts","AMIKACINA","Amsa","https://images.openfoodfacts.org/images/products/750/134/902/1488/front_es.4.400.jpg"
"HIT","coincide","FC-D751525D","Animalin fórmula líquida 30 mL","Animalin","Vitaminas","7502009744105","openfoodfacts","animalin abc","animalin","https://images.openfoodfacts.org/images/products/750/200/974/4105/front_en.3.400.jpg"
"HIT","coincide","FC-8494226","Aspirina Junior 100 mg C/60","Aspirina","Analgésico","7501008494226","openfoodfacts","ASPIRINA JUNIOR","","https://images.openfoodfacts.org/images/products/750/100/849/4226/front_es.3.400.jpg"
"HIT","coincide","FC-08496701","Aspirina efervescente C/12","Aspirina","Analgésico","7501008496701","openfoodfacts","ASPIRINA EFERVESCENTE","","https://images.openfoodfacts.org/images/products/750/100/849/6701/front_es.3.400.jpg"
"HIT","coincide","FC-79071241","Bisolvon Infantil","Bisolvon","Respiratorio","7501037907124","openfoodfacts","Bisolvon Infantil","","https://images.openfoodfacts.org/images/products/750/103/790/7124/front_es.3.400.jpg"
"HIT","coincide","FC-C101D5B1","Bisoprolol","iQuifa","Hipertensión","7501109763375","openfoodfacts","Bisoprolol","","https://images.openfoodfacts.org/images/products/750/110/976/3375/front_en.3.400.jpg"
"HIT","coincide","FC-37103354","Brunadol Infantil paracetamol/naproxeno 100-125 mg/5 mL","Bruluart","Analgésico","7501537103354","openfoodfacts","brunadol","","https://images.openfoodfacts.org/images/products/750/153/710/3354/front_es.3.400.jpg"
"HIT","coincide","FC-65095718","Centrum Balance","Centrum","Vitaminas","7501065095718","openfoodfacts","centrum","centrum","https://images.openfoodfacts.org/images/products/750/106/509/5718/front_en.3.400.jpg"
"HIT","coincide","FC-007206","Cepillo Colgate Premier Clean","Colgate","Higiene","6910021007206","openbeautyfacts","Cepillo medio","Colgate - Palmolive","https://images.openbeautyfacts.org/images/products/691/002/100/7206/front_es.8.400.jpg"
"HIT","coincide","FC-95129166","Cepillo Dent Oral-B Limpieza Intens 2","Oral-B","Higiene","7506195129166","openbeautyfacts","oral b cepillo","","https://images.openbeautyfacts.org/images/products/750/619/512/9166/front_en.3.400.jpg"
