sku,ean,nombre,marca,presentacion,stock,motivo
FC-07521317,7501507521317,Gotero cristal,Genérico,,100,insumo_generico_dificil
FC-22300881,7506022300881,Jeringa insulina SensiMedical 1 mL 27G x 13 mm,SensiMedical,1 pieza 1 mL 27G x 13 mm,99,insumo_generico_dificil
FMX-506389,7506022300829,Jeringa SensiMedical 5 mL 21G x 32 mm verde,SensiMedical,Pieza 5 mL 21G x 32 mm (caja C/100 verde),97,insumo_generico_dificil
FMX-307658,7506022314741,Jeringa SensiMedical 20 mL 21G x 32 mm verde,SensiMedical,Pieza 20 mL 21G x 32 mm (caja C/50 verde),50,insumo_generico_dificil
IFC-ALCANFOR,7503048936018,Velázquez alcanfor pastillas C/50 sobres,Velázquez,Caja con 50 sobres,50,ean_sin_packshot_publico_encontrado
FC-68900226,7501868900226,Alcohol Etilico Rojo 96°,Dibar,250 ML,36,ean_sin_packshot_publico_encontrado
FMX-301138,,Cinta-Microporosa-Codifarma 2.5 Cm X 5 M C/1 Blanco,,,17,sin_ean
FC-08491074,7501008491074,Aspirina,Aspirina,80 TABLETAS,16,ean_sin_packshot_publico_encontrado
FC-IFC-PEI01,2008560100015,Peine caballero profesional N1 C/12,,Paquete con 12,12,ean_interno
FC-BCF59548,2008480100010,Perilla Edigar N1 (jeringa pera toda de hule),Edigar,PIEZA,12,ean_interno
FMX-301565,7506022307897,Jeringa-Sensimedical 60 Ml Pivote/Concentrico,sensimedical,C/1,11,insumo_generico_dificil
FC-84500607,7506484500607,Cinta micropore blanca 2.5 cm x 9.1 m,Cintapore,1 pz,8,insumo_generico_dificil
FC-17500820,7503017500820,Sanax Silica Gran,Sanax,,8,ean_sin_packshot_publico_encontrado
FC-75073114,75073114,Rexona Men Clinical Clean stick 46 g,,,7,ean_sin_packshot_publico_encontrado
FC-06246652,7506306246652,Jabón Dove blanco 90 g,,,6,ean_sin_packshot_publico_encontrado
FC-26EA40A4,,Ramcinet,Ramcinet,10 TABLETAS,6,sin_ean
FC-95779436,,Acetilsalicilico Ef,Acido,20 TABLETAS,5,sin_ean
FC-A0D320D1,,Amoxicilina,,12 CAPSULAS,5,sin_ean
FC-08DB70CB,7503022640153,Bicarbonato Velazquez Grande 200G,Bicarbonato,bolsa 200g,5,ean_sin_packshot_publico_encontrado
FMX-301139,7506484500539,Cintapore cinta microporosa 1.25 cm x 5 m piel,CINTAPORE,1 ROLLO,5,insumo_generico_dificil
FMX-301135,7506484500515,Cintapore cinta microporosa blanca 1.25 cm x 5 m,Cintapore,Rollo 1.25 cm x 5 m blanca,5,insumo_generico_dificil
FC-64EB83AA,,Compl,Bencil/Benz,1 FRASCO AMPULA,5,sin_ean
FC-08895196,7502208895196,KY6,KY6,C/10,5,ean_sin_packshot_publico_encontrado
EQ-AMS318,7501349028159,Losartan AMSA 30 comprimidos 50 mg,AMSA,Caja con 30 comprimidos,5,generico_lab_sin_packshot_publico
EQ-ALP0634,7502226294766,Losartan Alpharma 30 tab 50 mg,Alpharma,Caja con 30 tabletas,5,generico_lab_sin_packshot_publico
FC-931B4809,3311000001476,Mercurio Aceite Coco,Mercurio,50 mL,5,mercurio_herbolario_sin_packshot_publico
FC-46601138,7506346601138,Merthorab Frasco 20 mL Kohn,Kohn,Frasco 20 mL,5,ean_sin_packshot_publico_encontrado
FC-926099D3,,Mertiolate Kohn Rojo,Mertiolate,C/25,5,sin_ean
FMX-506935,,Normogotero-Sensimedical Piezas C/1 S/Aguja,,,5,sin_ean
FC-IFC-PER01,2008540100011,Perfilador Tinkle C/3 pzs,Tinkle,Blister con 3,5,ean_interno
EQ-NOV176,7501075727517,Pirinovag 10 Tab 500 Mg,Novag,Caja con 10 tabletas,5,ean_sin_packshot_publico_encontrado
FC-00001049,3311000001049,Pomada de árnica Tarro 50 g Mercurio,Mercurio,Tarro 50 g,5,mercurio_herbolario_sin_packshot_publico
FC-45720215,7502245720215,Quitaesmalte SKN · variante 215 · confirmar,SKN,100 ML,5,ean_sin_packshot_publico_encontrado
FC-75102537,7506475102537,Gerber Etapa 2 comida casera pollo 100 g,,,4,ean_sin_packshot_publico_encontrado
FC-75102520,7506475102520,Gerber Etapa 2 comida casera res 100 g,,,4,ean_sin_packshot_publico_encontrado
FC-IFC-PEI03,2008580100019,Peine para piojos de acero económico 9309,,Pieza,4,ean_interno
FC-45720567,7502245720567,Quitaesmalte coco,SKN,100 ML,4,ean_sin_packshot_publico_encontrado
FC-73909859,7501573909859,Sarox (Omeprazol) 20 mg,Biomep,Caja con 28 cápsulas,4,generico_lab_sin_packshot_publico
FC-IFC-TIJ01,2008510100010,Tijera para bigote,,Pieza,4,ean_interno
FC-40053634,650240053634,Alli Triple 50/.25/50/50 mg 6 tabletas,,,3,ean_sin_packshot_publico_encontrado
EQ-BIO002,7501573900535,Biomesina 10 tab 10 mg,Biomep,Caja con 10 tabletas,3,ean_sin_packshot_publico_encontrado
FC-02045312,7503002045312,Esencia de clavo Frasco gotero Herbotec,Herbotec,Frasco gotero,3,insumo_generico_dificil
FC-63975795,,Gentamicina,,25 COMPRIMIDOS,3,sin_ean
FC-75102476,7506475102476,Gerber Etapa 2 durazno 100 g,,,3,ean_sin_packshot_publico_encontrado
FC-75102469,7506475102469,Gerber Etapa 2 mango 100 g,,,3,ean_sin_packshot_publico_encontrado
