sku,ean,nombre,marca,stock,motivo
FC-23273451,7506022327338,Jeringa insulina 0.5 ml Sensi Medical,Sensi Medical,100,packshot_pendiente
FMX-506388,7506022300751,Jeringa SensiMedical 3 mL 21G x 32 mm verde,SensiMedical,100,packshot_pendiente
FC-22300881,7506022300881,Jeringa insulina SensiMedical 1 mL 27G x 13 mm,SensiMedical,99,packshot_pendiente
FC-22300775,7506022300775,Jeringa Sensi Medical 3 mL 22G x 32 mm negra,Sensi Medical,99,packshot_pendiente
FC-00100013,2008500100013,Cubrebocas tricapa desechable C/100,,98,ean_interno
FC-23272151,7506022327208,Jeringa insulina 0.3 ml Sensi Medical,Sensi Medical,97,packshot_pendiente
FMX-506389,7506022300829,Jeringa SensiMedical 5 mL 21G x 32 mm verde,SensiMedical,92,packshot_pendiente
IFC-ALCANFOR,7503048936018,Velázquez alcanfor pastillas C/50 sobres,Velázquez,50,packshot_pendiente
FC-68900226,7501868900226,Alcohol Etilico Rojo 96°,Dibar,36,packshot_pendiente
FC-17500820,7503017500820,Sanax Silica Gran,Sanax,18,packshot_pendiente
FMX-301138,,Cinta-Microporosa-Codifarma 2.5 Cm X 5 M C/1 Blanco,,17,sin_ean_no_identificado
FC-BCF59548,2008480100010,Perilla Edigar N1 (jeringa pera toda de hule),Edigar,12,ean_interno
FC-IFC-PIN01,7896075701040,Pinza depilar Mereje tenaza C/12,Mereje,12,packshot_pendiente
FC-IFC-PEI01,2008560100015,Peine caballero profesional N1 C/12,,12,ean_interno
FMX-301565,7506022307897,Jeringa-Sensimedical 60 Ml Pivote/Concentrico,sensimedical,11,packshot_pendiente
FC-IFC-PEI02,2008570100012,Peine mango chico colores C/12 pzs,,11,ean_interno
FC-68900127,7501868900127,Gasa 10 x 10,Dibar,9,packshot_pendiente
FC-84500607,7506484500607,Cinta micropore blanca 2.5 cm x 9.1 m,Cintapore,8,packshot_pendiente
FC-A0D320D1,,Amoxicilina,,5,sin_ean_no_identificado
FC-931B4809,3311000001476,Mercurio Aceite Coco,Mercurio,5,packshot_pendiente
FC-08DB70CB,7503022640153,Bicarbonato Velazquez Grande 200G,Bicarbonato,5,packshot_pendiente
FC-89F00320,,Mercurio Arnica,Mercurio,5,sin_ean_no_identificado
FMX-506935,,Normogotero-Sensimedical Piezas C/1 S/Aguja,,5,sin_ean_no_identificado
FMX-301135,7506484500515,Cintapore cinta microporosa blanca 1.25 cm x 5 m,Cintapore,5,packshot_pendiente
FC-00001049,3311000001049,Pomada de árnica Tarro 50 g Mercurio,Mercurio,5,packshot_pendiente
FC-45720215,7502245720215,Quitaesmalte SKN · variante 215 · confirmar,SKN,5,packshot_pendiente
FC-IFC-PER01,2008540100011,Perfilador Tinkle C/3 pzs,Tinkle,5,ean_interno
FC-68950702,7501868950702,Vaso recolector de muestras Dibar 100 ml,Dibar,5,packshot_pendiente
FC-45720567,7502245720567,Quitaesmalte coco,SKN,4,packshot_pendiente
FC-IFC-TIJ01,2008510100010,Tijera para bigote,,4,ean_interno
FC-75102520,7506475102520,Gerber Etapa 2 comida casera res 100 g,,4,packshot_pendiente
FC-75102537,7506475102537,Gerber Etapa 2 comida casera pollo 100 g,,4,packshot_pendiente
FC-IFC-82084,,Brocha para tinte con peine de cola,,4,sin_ean_no_identificado
FC-022543CD,,Valclan,Valclan,3,sin_ean_no_identificado
FC-D06E54FE,7503000422795,Valclan,Valclan,3,packshot_pendiente
FC-63975795,,Gentamicina,,3,sin_ean_no_identificado
FC-DFF99C3F,,Mercurio,Mercurio,3,sin_ean_no_identificado
