"SKU","Codigo_Barras","Nombre","Categoria","Tipo","Stock","Stock_Minimo","Precio_Venta","Costo","Proveedor","Lote","Fecha_Caducidad","Descuento_Porcentaje","Marca_Comercial","Principio_Activo","Concentracion","Presentacion","Contenido_Caja","Linea_Comercial","Grupo_Farmacologico","Jerarquia","SKU_Casa_Saba","Stock_Maximo","Notas"
"FC-06134531","7501050613453","Afrin Adulto spray 20 mL","Respiratorio","marca","2","5","120.74","75.38","Cityfarma Iztapalapa","2601928","","0","Afrin","Oximetazolina","","Spray 20 mL","","","","","","","Ticket Cityfarma 6315912 · ya existía"
"FC-05062376","7501050623766","Afrin No Drip solución nasal 15 mL","Respiratorio","marca","2","2","185.00","115.52","Cityfarma Iztapalapa","2601390","","0","Afrin","Oximetazolina","","Solución 15 mL","","","","","","","Ticket Cityfarma 6315912 · distinto de Afrin No Drip spray 7501050624732"
"FC-16500172","7501165001725","Allegra fexofenadina 180 mg C/10","Alergia","marca","1","2","436.00","362.97","Cityfarma Iztapalapa","GMX0303","","0","Allegra","Fexofenadina","180 mg","Caja con 10 tabletas","","","","","","","Ticket Cityfarma 6315912 · costo cerca de menudeo, margen 20%"
"FC-06500133","7501065001337","Caltrate 600 + D C/30","Vitaminas","marca","2","2","246.00","153.59","Cityfarma Iztapalapa","T75M","","0","Caltrate","Carbonato de calcio + vitamina D","600 mg","Caja con 30 tabletas","","","","","","","Ticket Cityfarma 6315912"
"FC-60403681","7502276040368","Desenfriol D","Respiratorio","marca","3","5","86.00","61.68","Cityfarma Iztapalapa","2601928","","0","Desenfriol","Clorfenamina/Fenilefrina/Paracetamol","","C/30","","","","","","","Ticket Cityfarma 6315912 · lote igual al de Afrin Adulto: confirmar en caja"
"FC-76040610","7502276040405","Desenfriolito Plus Masticables","Analgésico","marca","2","5","93.00","57.76","Cityfarma Iztapalapa","X26RXS","","0","Bayer","Clorfenamina/Fenilefrina/Paracetamol","","C/24 1 mg/2.5 mg/80 mg","","","","","","","Ticket Cityfarma 6315912 · costo subió; PVP 63→93 para no vender a 8%"
"FC-30042152","7501300421524","Dolac ketorolaco 10 mg C/10 cápsulas","Analgésico","marca","3","2","160.00","99.73","Cityfarma Iztapalapa","T0623","","0","Dolac","Ketorolaco","10 mg","Caja con 10 cápsulas","","","","","","","Ticket Cityfarma 6315912 · receta. Distinto de ketorolaco genérico AMSA/Maver"
"FC-79807468","3664798074680","Enterogermina 2 billones C/10","Gastro","marca","1","2","320.00","200.00","Cityfarma Iztapalapa","6I086","","0","Enterogermina","Bacillus clausii","2 billones","Caja con 10 frascos 5 mL","","","","","","","Ticket Cityfarma 6315912"
"FC-9511421","7501289511421","Pasta Lassar Andromaco 30 g","Botiquín","marca","2","2","31.89","22.50","Cityfarma Iztapalapa","26PL029","","0","Andromaco","Óxido de zinc 25%","","Frasco 30 g","","","","","","","Ticket Cityfarma 6315912 · stock estaba en 0"
"FC-28951141","7501289511414","Pasta Lassar Andromaco 60 g","Botiquín","marca","2","2","76.00","47.37","Cityfarma Iztapalapa","26PL057","","0","Andromaco","Óxido de zinc 25%","","Frasco 60 g","","","","","","","Ticket Cityfarma 6315912 · distinta de la de 30 g"
"FC-89592876","4001895928765","Tegaderm 3M 10 x 12 cm C/50","Dispositivo médico","marca","1","1","696.00","579.55","Cityfarma Iztapalapa","344JWY","","0","Tegaderm","","","Caja con 50 apósitos 10 x 12 cm","","","","","","","Ticket Cityfarma 6315912 · caja C/50. Costo alto, margen 20%"
