par,archivo,ean,todos,ean13_ok,nota
0001,0001_b_codigo.jpg,7502216803244,7502216803244,si,
0002,0002_b_codigo.jpg,7501836002020,7501836002020,si,
0003,0003_b_codigo.jpg,7501349025806,7501349025806,si,
0004,0004_b_codigo.jpg,7506353200645,7506353200645,si,
0005,0005_b_codigo.jpg,785118753955,785118753955,no,
0006,0006_b_codigo.jpg,7506476200126,7506476200126,si,
0007,0007_b_codigo.jpg,7501258207010,7501258207010,si,
0008,0008_b_codigo.jpg,7501573904700,7501573904700,si,
0009,0009_b_codigo.jpg,7503003738404,7503003738404,si,
0010,0010_b_codigo.jpg,7502009744839,7502009744839,si,
0011,0011_b_codigo.jpg,7501258205474,7501258205474,si,
0012,0012_b_codigo.jpg,7502009749148,7502009749148,si,
0013,0013_b_codigo.jpg,7502209851528,7502209851528,si,
0014,0014_b_codigo.jpg,785118753597,785118753597,no,
0015,0015_b_codigo.jpg,7502001164413,7502001164413,si,
0016,0016_b_codigo.jpg,7501836002969,7501836002969,si,
0017,0017_b_codigo.jpg,7501573908104,7501573908104,si,
0018,0018_b_codigo.jpg,75050740,75050740,no,
0019,0019_b_codigo.jpg,7501258215954,7501258215954,si,
0020,0020_b_codigo.jpg,7503003738404,7503003738404,si,
0021,0021_b_codigo.jpg,7502211789277,7502211789277,si,
0022,0022_b_codigo.jpg,7502211789284,7502211789284,si,
0023,0023_b_codigo.jpg,7503028771400,7503028771400,si,
0024,0024_b_codigo.jpg,7501590222214,7501590222214,si,
0025,0025_b_codigo.jpg,780083149055,780083149055,no,
0026,0026_b_codigo.jpg,7503008344785,7503008344785,si,
0027,0027_b_codigo.jpg,7502009745386,7502009745386,si,
0028,0028_b_codigo.jpg,7501277091034,7501277091034,si,
0029,0029_b_codigo.jpg,7503008344211,7503008344211,si,
0030,0030_b_codigo.jpg,7502208894915,7502208894915,si,
0031,0031_b_codigo.jpg,7502006921974,7502006921974,si,
0032,0032_b_codigo.jpg,7502001163485,7502001163485,si,
0033,0033_b_codigo.jpg,7502006921967,7502006921967,si,
0034,0034_b_codigo.jpg,7506353200645,7506353200645,si,
0035,0035_b_codigo.jpg,780083149024,780083149024,no,
0036,0036_b_codigo.jpg,7501573900153,7501573900153,si,
0037,0037_b_codigo.jpg,7501573908036,7501573908036,si,
0038,0038_b_codigo.jpg,7502009741005,7502009741005,si,
0039,0039_b_codigo.jpg,7501478317421,7501478317421,si,
0040,0040_b_codigo.jpg,7501258206723,7501258206723,si,
0041,0041_b_codigo.jpg,7502223112445,7502223112445,si,
0042,0042_b_codigo.jpg,7502009747205,7502009747205,si,
0043,0043_b_codigo.jpg,7501547522145,7501547522145,si,
0044,0044_b_codigo.jpg,7501836000927,7501836000927,si,
0045,0045_b_codigo.jpg,7502227426869,7502227426869,si,
0046,0046_b_codigo.jpg,7502009744129,7502009744129,si,
0047,0047_b_codigo.jpg,7501836010087,7501836010087,si,
0048,0048_b_codigo.jpg,7502001162525,7502001162525,si,
0049,0049_b_codigo.jpg,7502009743856,7502009743856,si,
0050,0050_b_codigo.jpg,7502009741784,7502009741784,si,
0051,0051_b_codigo.jpg,75006433,75006433,no,
0052,0052_b_codigo.jpg,7502001162426,7502001162426,si,
0053,0053_b_codigo.jpg,7501573900115,7501573900115,si,
0054,0054_b_codigo.jpg,7501342802565,7501342802565,si,
0055,0055_b_codigo.jpg,7502213040871,7502213040871,si,
0056,0056_b_codigo.jpg,7501258206723,7501258206723,si,
0057,0057_b_codigo.jpg,7502211783954,7502211783954,si,
0058,0058_b_codigo.jpg,7501342804583,7501342804583,si,
0059,0059_b_codigo.jpg,7501075722253,7501075722253,si,
0060,0060_b_codigo.jpg,7502223111288,7502223111288,si,
0061,0061_b_codigo.jpg,7501349024601,7501349024601,si,
0062,0062_b_codigo.jpg,7501573904403,7501573904403,si,
0063,0063_b_codigo.jpg,7503004908677,7503004908677,si,
0064,0064_b_codigo.jpg,7501349025943,7501349025943,si,
0065,0065_b_codigo.jpg,7501836000118,7501836000118,si,
0066,0066_b_codigo.jpg,7501299379158,7501299379158,si,
0067,0067_b_codigo.jpg,7503028771684,7503028771684,si,
0068,0068_b_codigo.jpg,7502216796843,7502216796843,si,
0069,0069_b_codigo.jpg,7506624900908,7506624900908,si,
0070,0070_b_codigo.jpg,7501644707506,7501644707506,si,
0071,0071_b_codigo.jpg,7501075717013,7501075717013,si,
0072,0072_b_codigo.jpg,7502240450070,7502240450070,si,
0073,0073_b_codigo.jpg,7502009742101,7502009742101,si,
0074,0074_b_codigo.jpg,7502001162518,7502001162518,si,
0075,0075_b_codigo.jpg,7502216796737,7502216796737,si,
0076,0076_b_codigo.jpg,7502009742095,7502009742095,si,
0077,0077_b_codigo.jpg,7502209858046,7502209858046,si,
0078,0078_b_codigo.jpg,7502001160026,7502001160026,si,
0079,0079_b_codigo.jpg,7501342804590,7501342804590,si,
0080,0080_b_codigo.jpg,7502211786788,7502211786788,si,
0081,0081_b_codigo.jpg,7501342804408,7501342804408,si,
0082,0082_b_codigo.jpg,7502216792197,7502216792197,si,
0083,0083_b_codigo.jpg,7501349021310,7501349021310,si,
0084,0084_b_codigo.jpg,7501349025967,7501349025967,si,
