par,portada,codigo,ean,nombre_foto,estado,sku,nota
0001,0001_a_portada.jpg,0001_b_codigo.jpg,7502216803244,"Telmisartán / Hidroclorotiazida Ultra (Telmisartán, Hidroclorotiazida) tabletas 80/12.5 mg C/14 ULTRA",otra_presentacion,FC-49025844,Telmisartán HCTZ 80/12.5 Ultra ≠ Telmisartán 40 mg
0002,0002_a_portada.jpg,0002_b_codigo.jpg,7501836002020,Queratal (Tretinoína) crema 0.05% tubo 20 g LIFERPAL,eq_sin_ean,EQ-LIF033,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0003,0003_a_portada.jpg,0003_b_codigo.jpg,7501349025806,Telmisartán AMSA (Telmisartán) tableta 80 mg C/28 AMSA,otra_presentacion,FC-49025844,Telmisartán AMSA 80 C/28 ≠ Telmisartán 40 mg
0004,0004_a_portada.jpg,0004_b_codigo.jpg,7506353200645,Tefilinb (Tolterodina) tableta 2 mg C/28 Nucitec,eq_sin_ean,EQ-NUC034,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0005,0005_a_portada.jpg,0005_b_codigo.jpg,785118753955,Figral (Sildenafil) tableta 50 mg C/10 MAVI,otra_presentacion,EQ-MAI144,Figral 50 mg C/10 ≠ Figral 100 mg (EQ-MAI144)
0006,0006_a_portada.jpg,0006_b_codigo.jpg,7506476200126,Delaphil (Tadalafil) tableta 5 mg C/14 DLP Pharma,eq_sin_ean,EQ-DEN074,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0007,0007_a_portada.jpg,0007_b_codigo.jpg,7501258207010,Oxital-C (Ácido ascórbico) efervescente 2000 mg C/10 Serral,en_inventario,FC-58207010,EAN exacto
0008,0008_a_portada.jpg,0008_b_codigo.jpg,7501573904700,Gristalit (Loratadina / Ambroxol) solución 100-600 mg/100 mL frasco 30 mL BIOMEP,eq_sin_ean,EQ-BIO112,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0009,0009_a_portada.jpg,0009_b_codigo.jpg,7503003738404,Rosel (Amantadina / Clorfenamina / Paracetamol) cápsula 50/3/300 mg C/24 WERMAR,eq_sin_ean,EQ-WER025,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0010,0010_a_portada.jpg,0010_b_codigo.jpg,7502009744839,Versalver (Valsartán) comprimido 80 mg C/30 Maver,eq_sin_ean,EQ-MAV206,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0011,0011_a_portada.jpg,0011_b_codigo.jpg,7501258205474,Lisertil (Tibolona) tableta 2.5 mg C/30,eq_sin_ean,EQ-SER117,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0012,0012_a_portada.jpg,0012_b_codigo.jpg,7502009749148,Trimebutina / Simeticona pediátrico (Trimebutina / Simeticona) suspensión 0.60/0.60 g sobre+frasco Maver,otra_presentacion,FC-25300366,Trimebutina/Simeticona pediátrico Maver ≠ Espabion gotas
0013,0013_a_portada.jpg,0013_b_codigo.jpg,7502209851528,beadvance Tamsulosina (Tamsulosina) cápsula LP 0.4 mg C/20 beadvance,otra_presentacion,FC-24901059,falso: beadvance Tamsulosina ≠ beadvance Senósidos
0014,0014_a_portada.jpg,0014_b_codigo.jpg,785118753597,Lesaclor (Aciclovir) crema 5% tubo 5 g MAVI,en_inventario,FC-18753597,EAN exacto
0015,0015_a_portada.jpg,0015_b_codigo.jpg,7502001164413,Clotrimazol óvulos (Clotrimazol) óvulo 500 mg C/1 SON'S,falta,,EAN nuevo y sin marca comercial en el catálogo
0016,0016_a_portada.jpg,0016_b_codigo.jpg,7501836002969,Cineprac (Trimebutina) tabletas 200 mg C/20 LIFERPAL,eq_sin_ean,EQ-LIF064,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0017,0017_a_portada.jpg,0017_b_codigo.jpg,7501573908104,Bixen (Naproxeno sódico) tabletas 550 mg C/12 BIOMEP,eq_sin_ean,EQ-BIO167,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0018,0018_a_portada.jpg,0018_b_codigo.jpg,75050740,Tobramicina oftálmica (Tobramicina) sol. oftálmica 3 mg/mL gotero 15 mL OPKO,otra_presentacion,FC-00005823,Tobramicina simple OPKO ≠ Tobra/Dexa
0019,0019_a_portada.jpg,0019_b_codigo.jpg,7501258215954,Murreolak (Acetilcisteína) efervescente 600 mg 2 tubos x 10 Serral,eq_sin_ean,EQ-SER183,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0020,0020_a_portada.jpg,0020_b_codigo.jpg,7503003738404,Rosel (Amantadina / Clorfenamina / Paracetamol) cápsula 50/3/300 mg C/24 WERMAR,eq_sin_ean,EQ-WER025,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0021,0021_a_portada.jpg,0021_b_codigo.jpg,7502211789277,Faribrox TM Adulto (Ambroxol / Dextrometorfano) jarabe 225/225 mg/100 mL 150 mL LOEFFLER,otra_presentacion,EQ-LOE131,Faribrox Adulto ≠ Faribrox Infantil (EQ-LOE131)
0022,0022_a_portada.jpg,0022_b_codigo.jpg,7502211789284,Faribrox TM Infantil (Ambroxol / Dextrometorfano) jarabe 150/113 mg/100 mL 150 mL LOEFFLER,eq_sin_ean,EQ-LOE131,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0023,0023_a_portada.jpg,0023_b_codigo.jpg,7503028771400,Maracina (Bencidamina) solución 150 mg/100 mL atomizador 30 mL SUANCA,eq_sin_ean,EQ-COD060,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0024,0024_a_portada.jpg,0024_b_codigo.jpg,7501590222214,Materfol (Ácido fólico) tabletas 400 mcg frasco 90 cmd,eq_sin_ean,EQ-CMD015,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0025,0025_a_portada.jpg,0025_b_codigo.jpg,780083149055,Alzocid (Tadalafil) tableta 20 mg C/4 Collins,eq_sin_ean,EQ-COL258,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0026,0026_a_portada.jpg,0026_b_codigo.jpg,7503008344785,Gelubrín (Ibuprofeno) cápsula 400 mg C/10,otra_presentacion,FC-5C8C9C11,Gelubrín EAN 7503008344785 ≠ FC-5C8C9C11 EAN 7503027446279 (¿otra caja?)
0027,0027_a_portada.jpg,0027_b_codigo.jpg,7502009745386,Linexel (Venlafaxina) cápsula LP 75 mg C/20 Maver,eq_sin_ean,EQ-MAV239,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0028,0028_a_portada.jpg,0028_b_codigo.jpg,7501277091034,Espadiva (Hioscina / Ibuprofeno) tableta 20/400 mg C/10,eq_sin_ean,EQ-APO142,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0029,0029_a_portada.jpg,0029_b_codigo.jpg,7503008344211,Progelben (Benzonato) cápsula 100 mg C/20,eq_sin_ean,EQ-PGE046,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0030,0030_a_portada.jpg,0030_b_codigo.jpg,7502208894915,Lo-Bruquin (Quinfamida / Albendazol) tableta 150/200 mg C/2 Bruluagsa,eq_sin_ean,EQ-BRL072,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0031,0031_a_portada.jpg,0031_b_codigo.jpg,7502006921974,Farmiver Junior (Quinfamida - Albendazol) suspensión 200 mg/400 mg C/1 Fármacos Continentales,otra_presentacion,EQ-FAC0057,Farmiver Junior ≠ Farmiver Infantil
0032,0032_a_portada.jpg,0032_b_codigo.jpg,7502001163485,Dual (Clotrimazol) óvulo 200 mg / crema 1% C/3 Son's,eq_sin_ean,EQ-SON164,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0033,0033_a_portada.jpg,0033_b_codigo.jpg,7502006921967,Farmiver infantil (Quinfamida - Albendazol) suspensión 100 mg/400 mg C/1 Fármacos Continentales,eq_sin_ean,EQ-FAC0057,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0034,0034_a_portada.jpg,0034_b_codigo.jpg,7506353200645,Tefilinb (Tolterodina) tableta 2 mg C/28 Nucitec,eq_sin_ean,EQ-NUC034,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0035,0035_a_portada.jpg,0035_b_codigo.jpg,780083149024,Volfenac GEL (Diclofenaco) gel 2.32% C/1 Collins,eq_sin_ean,EQ-COL239,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0036,0036_a_portada.jpg,0036_b_codigo.jpg,7501573900153,Docsi (Clorfenamina) tableta 4 mg C/20 BIOMEP,eq_sin_ean,EQ-BIO021,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0037,0037_a_portada.jpg,0037_b_codigo.jpg,7501573908036,Broxtorfan Infantil (Dextrometorfano / Ambroxol) jarabe 113 mg-150 mg/100 mL C/1 BIOMEP,eq_sin_ean,EQ-BIO188,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0038,0038_a_portada.jpg,0038_b_codigo.jpg,7502009741005,"Laritol EX (Loratadina, Ambroxol) tableta 5 mg - 30 mg C/10 Maver",otra_presentacion,FMX-501200,Laritol EX tabletas 5/30 ≠ Laritol solución / Laritol EX jarabe
0039,0039_a_portada.jpg,0039_b_codigo.jpg,7501478317421,Bocetix (Levocetirizina) solución 0.5 mg/mL C/1 vitae,eq_sin_ean,EQ-VIT073,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0040,0040_a_portada.jpg,0040_b_codigo.jpg,7501258206723,Oxital-C (Ácido ascórbico (Vitamina C)) tableta efervescente 1000 mg C/10 Laboratorios Serral,otra_presentacion,FC-58207010,Oxital-C 1000 mg ≠ Oxital-C 2000 mg (FC-58207010)
0041,0041_a_portada.jpg,0041_b_codigo.jpg,7502223112445,QUIMIKAN (Benzocaína) solución 200 mg/mL C/1 QUIMPHARMA,eq_sin_ean,EQ-QUM052,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0042,0042_a_portada.jpg,0042_b_codigo.jpg,7502009747205,Benzocaína (Benzocaína) gel 0.1 g/1 g C/1 Maver,falta,,EAN nuevo y sin marca comercial en el catálogo
0043,0043_a_portada.jpg,0043_b_codigo.jpg,7501547522145,"Trociletas B (Cloruro de cetilpiridinio, Benzocaína) tabletas 2.5 mg - 10 mg C/12 Silanes",eq_sin_ean,EQ-STR008,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0044,0044_a_portada.jpg,0044_b_codigo.jpg,7501836000927,Tiniazol (Ketoconazol) suspensión 2 g/100 mL C/1 LIFERPAL,otra_presentacion,EQ-LIF039,Tiniazol suspensión ≠ Tiniazol shampoo
0045,0045_a_portada.jpg,0045_b_codigo.jpg,7502227426869,Rotumal GEL (Diclofenaco) gel 1.16%  GEL pharma,eq_sin_ean,EQ-VIT055,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0046,0046_a_portada.jpg,0046_b_codigo.jpg,7502009744129,"Erispan Compuesto (Loratadina, Betametasona) solución 100 mg - 5 mg / 100 mL C/1 Maver",otra_presentacion,FC-50AC2C82,Erispan Compuesto solución ≠ Erispan (FMX)
0047,0047_a_portada.jpg,0047_b_codigo.jpg,7501836010087,"Realdrax-MXD (Hioscina, Ibuprofeno) tableta 20 mg / 400 mg C/10 LIFERPAL",eq_sin_ean,EQ-LIF153,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0048,0048_a_portada.jpg,0048_b_codigo.jpg,7502001162525,"Meclison (Meclizina, Piridoxina) tabletas 25 mg, 50 mg C/20 Son's",eq_sin_ean,EQ-SON091,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0049,0049_a_portada.jpg,0049_b_codigo.jpg,7502009743856,"Laritol D (Fenilefrina, Loratadina) tableta 30 mg - 5 mg liberación prolongada C/10 Maver",otra_presentacion,FMX-501200,Laritol D tabletas ≠ Laritol solución
