par,ean,estado,nombre_foto,sku,nombre_bd,codigo_bd,costo,precio,stock,nota
0001,7502216803244,otra_presentacion,"Telmisartán / Hidroclorotiazida Ultra (Telmisartán, Hidroclorotiazida) tabletas 80/12.5 mg C/14 ULTRA",FC-49025844,Telmisartán 40 mg,7501349025844,35.1,57,1,Telmisartán HCTZ 80/12.5 Ultra ≠ Telmisartán 40 mg
0002,7501836002020,eq_sin_ean,Queratal (Tretinoína) crema 0.05% tubo 20 g LIFERPAL,EQ-LIF033,Queratal 1 Cma 20 G,,25.09,41,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0003,7501349025806,otra_presentacion,Telmisartán AMSA (Telmisartán) tableta 80 mg C/28 AMSA,FC-49025844,Telmisartán 40 mg,7501349025844,35.1,57,1,Telmisartán AMSA 80 C/28 ≠ Telmisartán 40 mg
0004,7506353200645,eq_sin_ean,Tefilinb (Tolterodina) tableta 2 mg C/28 Nucitec,EQ-NUC034,Tefilinb 28 Tab 2 Mg,,35.29,57,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0005,785118753955,otra_presentacion,Figral (Sildenafil) tableta 50 mg C/10 MAVI,EQ-MAI144,Figral 10 Tab 100 Mg,,80.04,129,10,Figral 50 mg C/10 ≠ Figral 100 mg (EQ-MAI144)
0006,7506476200126,eq_sin_ean,Delaphil (Tadalafil) tableta 5 mg C/14 DLP Pharma,EQ-DEN074,Delaphil 14 Tab 5 Mg,,36.27,59,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0007,7501258207010,en_inventario,Oxital-C (Ácido ascórbico) efervescente 2000 mg C/10 Serral,FC-58207010,Oxital-C (Vitamina C) 2 g efervescente,7501258207010,62.48,100,6,EAN exacto
0008,7501573904700,eq_sin_ean,Gristalit (Loratadina / Ambroxol) solución 100-600 mg/100 mL frasco 30 mL BIOMEP,EQ-BIO112,Gristalit 1 Jbe 600/100mg/30 Ml,,9.38,16,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0009,7503003738404,eq_sin_ean,Rosel (Amantadina / Clorfenamina / Paracetamol) cápsula 50/3/300 mg C/24 WERMAR,EQ-WER025,Rosel solución infantil 0.5/0.02/3 g,7502240450230,26.88,44,2,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0010,7502009744839,eq_sin_ean,Versalver (Valsartán) comprimido 80 mg C/30 Maver,EQ-MAV206,Versalver 30 Comp 80 Mg,,76.3,123,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0011,7501258205474,eq_sin_ean,Lisertil (Tibolona) tableta 2.5 mg C/30,EQ-SER117,Lisertil 30 Tab 2.5 Mg,,256.42,411,1,"mismo producto ya cargado del ticket Equilibrio, sin EAN — solo hay que ponerle el código"
0012,7502009749148,otra_presentacion,Trimebutina / Simeticona pediátrico (Trimebutina / Simeticona) suspensión 0.60/0.60 g sobre+frasco Maver,FC-25300366,Espabion (Trimebutina) 20 mg/mL gotas,7501825300366,25.67,42,1,Trimebutina/Simeticona pediátrico Maver ≠ Espabion gotas
