par,archivo,ean,todos,ean13_ok,nota
0001,0001_b_codigo.jpg,7502009748929,7502009748929,si,leído a ojo
0002,0002_b_codigo.jpg,7501349024267,7501349024267,si,
0003,0003_b_codigo.jpg,7501349023369,7501349023369,si,
0004,0004_b_codigo.jpg,7502009740244,7502009740244,si,
0005,0005_b_codigo.jpg,785118752941,785118752941,no,
0006,0006_b_codigo.jpg,7501349027329,7501349027329,si,
0007,0007_b_codigo.jpg,7501249600813,7501249600813,si,
0008,0008_b_codigo.jpg,7502216804814,7502216804814,si,
0009,0009_b_codigo.jpg,7502009746239,7502009746239,si,
0010,0010_b_codigo.jpg,7501075717150,7501075717150,si,
0011,0011_b_codigo.jpg,7502211784036,7502211784036,si,
0012,0012_b_codigo.jpg,7502209858237,7502209858237,si,
0013,0013_b_codigo.jpg,7503004908721,7503004908721,si,
0014,0014_b_codigo.jpg,7501249606778,7501249606778,si,
0015,0015_b_codigo.jpg,7503027446408,7503027446408,si,
0016,0016_b_codigo.jpg,7502009746727,7502009746727,si,
0017,0017_b_codigo.jpg,7501075722543,7501075722543,si,
0018,0018_b_codigo.jpg,7501349024922,7501349024922,si,
0019,0019_b_codigo.jpg,780083140021,780083140021,no,
0020,0020_b_codigo.jpg,785120754681,785120754681,no,
0021,0021_b_codigo.jpg,785120755442,785120755442,no,
0022,0022_b_codigo.jpg,7501563380286,7501563380286,si,
0023,0023_b_codigo.jpg,75058661,75058661,no,
0024,0024_b_codigo.jpg,7502223112346,7502223112346,si,
0025,0025_b_codigo.jpg,7501349029712,7501349029712,si,
0026,0026_b_codigo.jpg,7501349020535,7501349020535,si,
0027,0027_b_codigo.jpg,7501573909958,7501573909958,si,
0028,0028_b_codigo.jpg,500487172707,500487172707,no,
0029,0029_b_codigo.jpg,7501563380439,7501563380439,si,
0030,0030_b_codigo.jpg,7502004401409,7502004401409,si,
0031,0031_b_codigo.jpg,7501342803418,7501342803418,si,
0032,0032_b_codigo.jpg,7502009741326,7502009741326,si,
0033,0033_b_codigo.jpg,7502001162600,7502001162600,si,
0034,0034_b_codigo.jpg,7506335700019,7506335700019,si,
0035,0035_b_codigo.jpg,7502274791163,7502274791163,si,
0036,0036_b_codigo.jpg,7501349022249,7501349022249,si,
0037,0037_b_codigo.jpg,7502216806474,7502216806474,si,
0038,0038_b_codigo.jpg,7501349012943,7501349012943,si,
